'768715101':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '266897078074289146', 'ENR_INSTRUMENTGROUPCODE': '8i', 'ENR_OFFICIALSEGMENT': 'jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy', 'ENR_TRADINGCURRENCY': 'eRU', 'ENR_CURRENCYCOEFFICIENT': '3936869548', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '4082490661', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'255231752':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10526347176353020884', 'ENR_INSTRUMENTGROUPCODE': 'aI', 'ENR_OFFICIALSEGMENT': 'oVg3fgIkvwEBwJ9ICQpoUw6MhcuPwUaf4KXBUOa9G92vP3a0nrF0FuabP4DV7zR0zc4YGp', 'ENR_TRADINGCURRENCY': '97D', 'ENR_CURRENCYCOEFFICIENT': '1579314002', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1496809732', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'906768783':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1941955256451427870', 'ENR_INSTRUMENTGROUPCODE': 'U2', 'ENR_OFFICIALSEGMENT': 'r561sFoMQiK5WuaJKa0kvTQ4hoIG5mShwa80wuL0U5vWAPeOBjcIgMFQTnpZYDrjCLmF8M', 'ENR_TRADINGCURRENCY': 'wsE', 'ENR_CURRENCYCOEFFICIENT': '1859601324', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3151477274', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'896742034':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6508669201590734907', 'ENR_INSTRUMENTGROUPCODE': 'x9', 'ENR_OFFICIALSEGMENT': 'TdbzAJ7bc8JyBFXvKkdK09SIx34YJk14Rlzl1MxRq8gEt5P48CrNRPVixvrwTYewUArhZc', 'ENR_TRADINGCURRENCY': '4z0', 'ENR_CURRENCYCOEFFICIENT': '1460889714', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2377036615', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'388645711':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '17178618988375998938', 'ENR_INSTRUMENTGROUPCODE': '38', 'ENR_OFFICIALSEGMENT': 'VS8shPftpZ3vOp4OfxaA44bBmrNYxGzvsHLaHFRAeI8704noqzjLWkWgDwc09jz6TM4wak', 'ENR_TRADINGCURRENCY': 'FIj', 'ENR_CURRENCYCOEFFICIENT': '3092920877', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '171703297', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'681310362':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '12672311597597191309', 'ENR_INSTRUMENTGROUPCODE': 'DQ', 'ENR_OFFICIALSEGMENT': 'mjYS0IGOuON8W9rka5o5qJ6Upf3g2HdL7wIQ6r6PuGtg7sW8TSLiVw6igYsvffvCXmguKE', 'ENR_TRADINGCURRENCY': '1YA', 'ENR_CURRENCYCOEFFICIENT': '1530548469', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '252317244', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'564169381':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '16538608658982160848', 'ENR_INSTRUMENTGROUPCODE': 'YD', 'ENR_OFFICIALSEGMENT': 'rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF', 'ENR_TRADINGCURRENCY': 'Z9l', 'ENR_CURRENCYCOEFFICIENT': '1149410083', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2517573438', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'189069970':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7127745270821806453', 'ENR_INSTRUMENTGROUPCODE': '75', 'ENR_OFFICIALSEGMENT': 'PdsUTbX4Gu6t8kcc4bbCYfzLbmKqCMO8vT8EYof0XF0DZndT82wd3cZ4PbhUH0AQZfNWks', 'ENR_TRADINGCURRENCY': 'QWZ', 'ENR_CURRENCYCOEFFICIENT': '1719884878', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '346840462', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'179555593':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '15410550345934938421', 'ENR_INSTRUMENTGROUPCODE': 'sB', 'ENR_OFFICIALSEGMENT': 'yiSjAOTwVMsH46V3RN6wvT2MEtGqotg07a6TVVOE2OlRMxbmsvAJBNRN5feCxn4IaKICfK', 'ENR_TRADINGCURRENCY': 'GZ2', 'ENR_CURRENCYCOEFFICIENT': '201310474', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2314124588', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'129588308':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '134081198521016079', 'ENR_INSTRUMENTGROUPCODE': 'XW', 'ENR_OFFICIALSEGMENT': 'ThQjhPI3wpEI4IMOGkQHxYfopoDWOGHIVvuclFJBkadF84b7Nh2N35TYArgo2cXGhqHfOZ', 'ENR_TRADINGCURRENCY': 'fbM', 'ENR_CURRENCYCOEFFICIENT': '1126464058', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2344463059', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'345150432':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10857787113686633384', 'ENR_INSTRUMENTGROUPCODE': 'B2', 'ENR_OFFICIALSEGMENT': 'bqTIcyZ1E6WnMCnyiXrs6axNzUDh8nZMHEdPrjCKVFtI5U3JeEkPHDYO42qq9we4MKGJNL', 'ENR_TRADINGCURRENCY': 'OCF', 'ENR_CURRENCYCOEFFICIENT': '1975180780', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3207683071', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
