msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;eMM;eventId;phaseId;tradingGroupState;instrumentState;changeType;symbolIndex;eventTime;bookState;statusReason;phaseQualifier;tradingPeriod;tradingSide;priceLimits;quoteSpreadMultiplier;orderEntryQualifier;session_;scheduledEvent;scheduledEventTime;tradingGroupOrderEntryQualifier;instrumentOrderEntryQualifier;phaseTime;contractSymbolIndex;priceLimitStyle;sequenceTime;startTimeSMC;actualEventTime;endTimeSMC
117;107;12001;0;331;2BLKPTOL;0;0;89;1707914901007232512;14434336664739060006;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914901007232512;14434336664739060006;14;7319348637562421028;1;0;21;2;45567501;1706095049746972385;3;4;5;3;4;22;3;0;9;10;1706095049747010130;1;2;1996376477052290817;3952073391;62;1706095049747023977;1706095049747026804;1706095049747029118;1706095049747031260
117;107;12001;0;331;2BLKPTOL;0;0;90;1707914901014919424;105721330992542981;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;12641822112283066665;Kz;vtyaoOQwxIkSZH28TpXNQvLDZYKwWLH42IHCGPPgjHaOvb2biBgwxjRDgIIm5TnhGBn3er;IvE;481675619;0;2965735876;7;1707914901014919424;105721330992542981;6;13668839698196062013;7;1;11;1;845948744;1706095049748639827;4;8;9;2;3;13;3;1;3;8;1706095049748676122;5;1;1636871507888563993;763919362;89;1706095049748689390;1706095049748692125;1706095049748698225;1706095049748700381
117;107;12001;0;331;2BLKPTOL;0;0;91;1707914901033715200;11443899810434598030;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;12641822112283066665;Kz;vtyaoOQwxIkSZH28TpXNQvLDZYKwWLH42IHCGPPgjHaOvb2biBgwxjRDgIIm5TnhGBn3er;IvE;481675619;0;2965735876;7;1707914901033715200;11443899810434598030;14;12035118411983160704;1;0;14;2;845948744;1706095049754220314;2;8;9;3;2;54;3;3;6;13;1706095049754256680;1;1;1475890011014024635;3307912575;160;1706095049754269736;1706095049754272553;1706095049754274922;1706095049754277023
117;107;12001;0;331;2BLKPTOL;0;0;92;1707914901037335296;18332770487706420884;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;14925397566473685119;iA;Ogflczs4rPshlHD0xP9maECwutCVkBj1hexeed0dAaheiydN7VDBKjScu5hRkrQTaH97Cp;CKB;3973333575;1;1472418203;7;1707914901037335296;18332770487706420884;6;13893521524815661301;5;1;11;0;75493707;1706095049755647233;4;23;9;3;2;186;3;1;4;14;1706095049755685096;3;4;3116890588309150872;3559036314;15;1706095049755712477;1706095049755720368;1706095049755726276;1706095049755732416
117;107;12001;0;331;2BLKPTOL;0;0;93;1707914901043113472;6241413488574747834;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;14821398345820716570;hL;gK5WoDlJRHnYjLE8QEZdtw2bjkd23PeuUlXSLsSpMKcf33A51yZeF9HgbVpD1FfkdMObEN;ehZ;859163287;0;2067586902;7;1707914901043113472;6241413488574747834;6;17610217979439709872;3;1;6;1;592228969;1706095049758080643;8;4;6;3;3;84;2;3;0;11;1706095049758117159;5;4;4670990008732932539;3086841360;180;1706095049758130088;1706095049758132778;1706095049758135083;1706095049758137208
117;107;12001;0;331;2BLKPTOL;0;0;94;1707914901077956608;15551482307170778124;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;13445691230971385553;Oj;yQK5LAsLcQb75NmmBy9nOhKt6h2wdEunzbMmX8iM3NZpdGNVTdIwgofa5sgDIPbvHMYPxT;iH9;1301425996;0;3314353334;7;1707914901077956608;15551482307170778124;15;2484384605758214070;5;0;13;2;844959358;1706095049777084101;99;0;10;3;2;217;3;4;6;13;1706095049777119425;2;3;15408097573579212798;2637403025;188;1706095049777132239;1706095049777134898;1706095049777137242;1706095049777139402
117;107;12001;0;331;2BLKPTOL;0;0;95;1707914901078775296;3516080390018185330;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;14324812313368930972;om;c1uuArs4e0ZYHf8Hg9ng85DEdL7EUnzWlPv9NQ7iHgNnRPmU37jBs4xvMnhRkwOm47Cccp;K1I;957906397;1;1372775908;7;1707914901078775296;3516080390018185330;9;906551502128976827;1;1;3;2;542212191;1706095049777629600;2;23;2;1;4;211;1;2;4;8;1706095049777666240;3;3;3259162971235185388;2581063035;109;1706095049777679488;1706095049777682383;1706095049777684772;1706095049777686894
117;107;12001;0;331;2BLKPTOL;0;0;96;1707914901092179712;13662917583355338800;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914901092179712;13662917583355338800;14;9417579113394490349;5;1;5;2;733634346;1706095049786431797;3;24;2;1;3;227;3;0;8;16;1706095049786468632;2;1;1891690313993096111;2776694388;224;1706095049786481903;1706095049786484798;1706095049786487191;1706095049786489338
117;107;12001;0;331;2BLKPTOL;0;0;716;1707914901276821248;4461776401810686796;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;12767424291471629292;GX;gYF5Bz7tO0o0UVHldyGTUII682evl8BfB3zpHRuZDsmMyc8J2lSVmmJ9NaOzNdszrO8flp;11k;1367226796;1;3263598576;7;1707914901276821248;4461776401810686796;1;6347315738982216387;5;0;19;2;293632506;1706095049793576049;7;20;4;2;2;137;1;4;8;8;1706095049793611671;2;5;7448550963060011997;4005776664;133;1706095049793624622;1706095049793627382;1706095049793629559;1706095049793631692
117;107;12001;0;331;2BLKPTOL;0;0;717;1707914901277657344;4315960892871243876;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;16171179892472711912;kG;sI5F8aR0S6q9fBp73Qq8vMWpqiFCqpqRvY7k6nBPe7HwO2XYXMkvvm9k5D7fX8WxABCrbH;T49;342248851;0;3943033858;7;1707914901277657344;4315960892871243876;2;12655817935170439911;5;0;7;2;587677045;1706095049794251559;2;13;2;2;4;194;2;5;6;13;1706095049794288133;1;3;13432731190562962304;3245937319;157;1706095049794301375;1706095049794304227;1706095049794306683;1706095049794308860
117;107;12001;0;331;2BLKPTOL;0;0;718;1707914901281774080;7330620131941980747;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;8961283129513184610;Tr;lh4fas3DzZqcCdIgmyBxbwrxMeoHzOyQK55X73SuHF5QR6JgJZvV0S5dzxc2CosSonpJSu;utl;2389041993;0;3640874400;7;1707914901281774080;7330620131941980747;8;8939623182224625715;7;0;11;1;584621813;1706095049797714117;8;23;4;3;4;154;2;1;6;16;1706095049797749929;3;4;14573775602681506805;2144470116;139;1706095049797762762;1706095049797765497;1706095049797767715;1706095049797769769
117;107;12001;0;331;2BLKPTOL;0;0;719;1707914901313967360;8994589538520065678;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13604799834562389145;nq;Wv82OA0jtClZKepHbcZzdD0qswfPYjRcQ3R1S9aUewlGrftdi3DFinN5V6N8fZe5BZCfLo;ach;4169615792;0;1667891578;7;1707914901313967360;8994589538520065678;17;807489334755133611;1;1;12;0;354837546;1706095049828620468;7;22;9;3;2;118;1;2;7;6;1706095049828655937;3;4;6800677950170062325;2017507690;217;1706095049828668919;1706095049828671717;1706095049828673937;1706095049828676044
117;107;12001;0;331;2BLKPTOL;0;0;1070;1707914901588402176;2957310071831769374;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;16171179892472711912;kG;sI5F8aR0S6q9fBp73Qq8vMWpqiFCqpqRvY7k6nBPe7HwO2XYXMkvvm9k5D7fX8WxABCrbH;T49;342248851;0;3943033858;7;1707914901588402176;2957310071831769374;14;1613703331692282651;3;1;21;0;587677045;1706095049845067443;2;22;7;3;2;99;1;0;8;10;1706095049845103282;3;3;9434296597719918996;105158818;94;1706095049845115998;1706095049845118761;1706095049845121057;1706095049845123138
117;107;12001;0;331;2BLKPTOL;0;0;1071;1707914901597504000;16735359408509399168;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901597504000;16735359408509399168;2;7236165793204207682;2;0;18;0;576024396;1706095049855190238;9;21;6;1;4;100;2;3;5;6;1706095049855226048;0;2;15909280654206996499;4008539972;163;1706095049855238795;1706095049855241543;1706095049855243802;1706095049855245890
117;107;12001;0;331;2BLKPTOL;0;0;1072;1707914901599135232;8462635714592237582;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;13023257585034230035;DB;tutQDaGhbA8MTq6zU695v4jck5egsnoQIb8AXaBq7GmGhLVVR7OFghoj6icYlmFDzJ7xKs;6yH;2168245239;1;948051717;7;1707914901599135232;8462635714592237582;9;10521261759380371621;5;0;10;1;451829176;1706095049857019795;1;13;4;3;1;243;3;3;7;6;1706095049857056801;4;3;15897967785927319078;1350101914;165;1706095049857070153;1706095049857073021;1706095049857075433;1706095049857077531
117;107;12001;0;331;2BLKPTOL;0;0;1073;1707914901601656576;9769876390546419899;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;17178618988375998938;38;VS8shPftpZ3vOp4OfxaA44bBmrNYxGzvsHLaHFRAeI8704noqzjLWkWgDwc09jz6TM4wak;FIj;3092920877;1;171703297;7;1707914901601656576;9769876390546419899;7;4530737615559119944;5;1;4;0;388645711;1706095049859782211;3;15;4;3;4;231;1;2;7;15;1706095049859819187;3;1;566877720153078172;2081116400;59;1706095049859832522;1706095049859835424;1706095049859837879;1706095049859839983
117;107;12001;0;331;2BLKPTOL;0;0;1074;1707914901602483200;13271298290725289312;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;1707914901602483200;13271298290725289312;4;8668114400067716305;4;0;16;2;168342053;1706095049860704807;99;8;10;2;1;67;3;0;5;13;1706095049860740942;0;2;3472325323422133002;898865451;206;1706095049860754005;1706095049860756777;1706095049860759037;1706095049860761117
