msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;eMM;eventId;eventTime;priceType;symbolIndex;price;quantity;imbalanceQty;imbalanceQtySide;priceDate;sequenceTime
89;79;12003;0;331;2BLKPTOL;0;0;1;1707914901002055168;16718624575643774414;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;17649996035600062801;y4;m4PtCqZwXANzbZQrdIlBaleJ4oy5edoOYgceVzQ9DHIn3gaNfCUmEpN6X2pkXoqtb1y24d;QX5;2817311705;1;1500233684;7;1707914901002055168;16718624575643774414;15;1975486824282842242;1706095052391190899;7;451161021;127;79;9229094755732416703;2;261;1706095052391212728
89;79;12003;0;331;2BLKPTOL;0;0;2;1707914901004075008;7923773292594895345;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;6626312878980010912;A7;XpJ7cVaRyMP30xrLVjb2DWNh9ZaSjgvjw5YoFvjZvV64vsdrARuyXeNZBwa6YHzBH1Vevb;95U;313942368;1;3542517590;7;1707914901004075008;7923773292594895345;8;460290030907600392;1706095052391338262;7;782873053;89;424;429924751229473445;0;369;1706095052391356669
89;79;12003;0;331;2BLKPTOL;0;0;3;1707914901005741056;9260866637322776527;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;5335225445799982555;AD;Jg6ib2ZECG9EPFc8IFgyokv5r12rEQ5oTwjHF9LFx3q7HRi5vQoGCXGaavtZOIynA2xqhd;XIU;1988816536;1;1403079657;7;1707914901005741056;9260866637322776527;11;14910781219809123412;1706095052391430276;6;356770038;306;375;1915102710215973534;1;54;1706095052391448028
89;79;12003;0;331;2BLKPTOL;0;0;4;1707914901007470848;17727099358876598577;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;1;7h;YAkKsipOtNK2wHtdKJBh35rOLWPJ5zKwz61qXiU2h1zJheU9svt032rQUc7H5yNjEH34jO;ECy;0;127;1;7;1707914901007470848;17727099358876598577;10;15929354523925313663;1706095052391519604;2;125257059;265;444;495370040052172260;1;289;1706095052391536322
89;79;12003;0;331;2BLKPTOL;0;0;5;1707914901009139456;2776878892496682074;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;16604201063603075126;C8;WTPQHMtC6OOssgUauml5HdbLjeYJcTxzShEdbz7us7BjAPTYkBOr5jhbH2t0C33otcERGC;nI9;2198488968;0;2497330175;7;1707914901009139456;2776878892496682074;5;1475210741398380276;1706095052391607271;2;116590120;108;420;9544192996284145319;0;246;1706095052391623257
89;79;12003;0;331;2BLKPTOL;0;0;6;1707914901010782720;6686650251769420254;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;8445089558153260292;oC;tNR9GZMegQGUSEFrWY0ZHM73TsfCZc7bEwyByBpHhhUgLWxhcYigs05uXKbIhT79JcPC5I;pDb;48157226;0;629981124;7;1707914901010782720;6686650251769420254;6;6843432917403263723;1706095052391700401;7;213087042;97;13;3156379173436141153;0;176;1706095052391716976
89;79;12003;0;331;2BLKPTOL;0;0;7;1707914901012439296;5200040563148069047;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;14806697138920524315;gv;oWPj4KYNzdbHn0i6WZvzYIrhl41PahZzJNHOycxlcp0d8rtztqCVECTHjuKY7n59ibsCoC;eQC;2599679337;1;2858420169;7;1707914901012439296;5200040563148069047;2;10569255769638064600;1706095052391790917;7;105538185;216;476;5673449844786970509;0;240;1706095052391806882
89;79;12003;0;331;2BLKPTOL;0;0;8;1707914901014112512;12592909176454670761;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;13180576197349592966;Ya;LvoLr3gGSgjQ3CPkb0hw1PsQNlPhohcO0PkmG8buRVBEzBmZeCta4pOCzb9TXvplE2lD5n;ZEE;1370878464;0;564556373;7;1707914901014112512;12592909176454670761;17;7589803028139996125;1706095052391880420;6;882027164;330;149;8482704287708343062;1;386;1706095052391896441
89;79;12003;0;331;2BLKPTOL;0;0;9;1707914901015780864;2018014198170105210;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;7106284146521157689;rE;NrJR0T0kAhd0OCKW4ojbaiikKNCoEASVaj7TQEhzIiPagWOrGfsJrPwNTW8UGCiNexH0VX;wFp;1600758537;1;3578671592;7;1707914901015780864;2018014198170105210;99;14609392146883359357;1706095052391975052;6;281877941;264;384;17312339463347506398;2;123;1706095052391991529
89;79;12003;0;331;2BLKPTOL;0;0;10;1707914901017433856;8447058377850446029;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;15410550345934938421;sB;yiSjAOTwVMsH46V3RN6wvT2MEtGqotg07a6TVVOE2OlRMxbmsvAJBNRN5feCxn4IaKICfK;GZ2;201310474;0;2314124588;7;1707914901017433856;8447058377850446029;14;18094416305538480092;1706095052392073000;4;179555593;421;92;6317756492178770346;2;468;1706095052392089187
89;79;12003;0;331;2BLKPTOL;0;0;11;1707914901019065344;4336977747551404319;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;3871136976767915508;no;OajY2qlWR2HM4F0bMOfPfMkm7mnoIvYqUq1qJAluBmPejFZhD5FXJZ98GN3eDGRjBzL2Vb;uK9;599176339;0;1991586982;7;1707914901019065344;4336977747551404319;7;15155035298948551008;1706095052392172464;7;911319188;83;19;16631346997321020476;0;14;1706095052392189160
89;79;12003;0;331;2BLKPTOL;0;0;12;1707914901020713984;8224222731857194690;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;1225024392578737793;Lu;7l2wKT2IudYJgSd7xUGD2fcdDshQAlPY7MWXng33moAoTLjFTyEF09R9irRnV7QlXLBVxQ;zyp;1087523540;0;1116760316;7;1707914901020713984;8224222731857194690;4;6241953087992262346;1706095052392271906;7;650176422;298;137;5644405221002241121;2;455;1706095052392288305
89;79;12003;0;331;2BLKPTOL;0;0;13;1707914901022366976;15790306860563065013;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;7127745270821806453;75;PdsUTbX4Gu6t8kcc4bbCYfzLbmKqCMO8vT8EYof0XF0DZndT82wd3cZ4PbhUH0AQZfNWks;QWZ;1719884878;1;346840462;7;1707914901022366976;15790306860563065013;9;1907273925790419330;1706095052392375580;4;189069970;155;357;10080628038937317852;0;48;1706095052392391699
89;79;12003;0;331;2BLKPTOL;0;0;14;1707914901024012288;17186646742076574739;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;17038630954790900019;BG;wufBdvc2f0ap17FPYPHfdelr7IaY0UqqHeN1EpCDmNABkYZ450Rbol7F1IVPvNdS7yEP8F;DXt;2810650698;0;3380190096;7;1707914901024012288;17186646742076574739;1;15354027824462397636;1706095052392479706;7;577265363;231;168;3904775509975616201;1;56;1706095052392495810
89;79;12003;0;331;2BLKPTOL;0;0;15;1707914901025660672;11581188747849849553;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;17178618988375998938;38;VS8shPftpZ3vOp4OfxaA44bBmrNYxGzvsHLaHFRAeI8704noqzjLWkWgDwc09jz6TM4wak;FIj;3092920877;1;171703297;7;1707914901025660672;11581188747849849553;7;17172988307409929915;1706095052392586072;6;388645711;343;67;4037899664352771311;2;235;1706095052392601936
89;79;12003;0;331;2BLKPTOL;0;0;16;1707914901027330304;2308069595911026706;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10302757817329576957;Bx;3wM7yZo65zxLpsBmhedpbDvyvlw81ITARFsdl2O6V7eLMaCJbEbfb9q2SYU5G55PwjmtaX;oRU;2178893625;1;3475080591;7;1707914901027330304;2308069595911026706;15;18116653869643533218;1706095052392697697;6;407371549;135;223;16963476538574980780;0;234;1706095052392713609
89;79;12003;0;331;2BLKPTOL;0;0;17;1707914901028968448;10028781543928097569;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914901028968448;10028781543928097569;11;3744057982146094887;1706095052392815501;2;958873221;303;21;8619996939311775320;1;201;1706095052392831629
