msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;accountType;ackPhase;ackQualifiers;ackType;bookIn;bookOUTTime;clientOrderID;darkExecutionInstruction;eMM;eventId;executionInstruction;firmID;indicativeAuctionPrice;indicativeAuctionVolume;leavesQty;oESessionID;lPRole;miFIDIndicators;oEGINFromMember;oEGOUTTimeToME;orderID;orderPriority;orderPx;orderQty;orderSide;orderType;origClientOrderID;sTPID;symbolIndex;timeInForce;displayedQty;crossOrderIndicator;quoteReqID;lISTransactionID;wholesaleTradeType;eSCBMembership;isInitiator;messagePriceNotation;sequenceTime;orderQualifiers;regulatorDisplayedQuantity;rFCID;exchangeIOIID;originalOrderType;orderTolerablePrice;FTS_freeText_1;OF_stopPx_1;OF_pegOffset_1;OF_undisclosedPrice_1;OF_disclosedQty_1;OF_orderExpirationTime_1;OF_orderExpirationDate_1;OF_tradingSession_1;OF_stopTriggeredTimeInForce_1;OF_undisclosedIcebergType_1;CF_clearingFirmID_1;CF_clientID_1;CF_accountNumber_1;CF_technicalOrigin_1;CF_openClose_1;CF_clearingInstruction_1;NMOF_tradingCapacity_1;NMOF_minimumOrderQuantity_1;NMOF_accountTypeCross_1;NMSC_originalClientIDShortCode_1;NMSC_originalExecWFirmShortCode_1;NMSC_originalInvestDecisWFirmShortCode_1;NMSC_originalNonExecBrokerShortCode_1;MSC_eventClientIDShortCode_1;MSC_eventExecWFirmShortCode_1;CF1_marketPhaseFlag_1;CF1_marginTradingFlag_1;CF1_accessFlag_1;CF1_traderID_1;CF1_senderLocationID_1;CF1_deskID_1;MCIF_eventInvestorID_1;NMCIF_originalInvestorID_1;ECA_clearingAccount_1;AI_longClientID_1;SCDNM_originalShortCodeType_1;SCDNM_originalShortCodeType_2;SCDNM_originalShortCodeType_3;SCDNM_originalShortCodeType_4;SCDNM_shortCodeRole_1;SCDNM_shortCodeRole_2;SCDNM_shortCodeRole_3;SCDNM_shortCodeRole_4;SCDNM_shortCodeRoleQualifier_1;SCDNM_shortCodeRoleQualifier_2;SCDNM_shortCodeRoleQualifier_3;SCDNM_shortCodeRoleQualifier_4;SCDM_eventShortCodeType_1;SCDM_eventShortCodeType_2;SCDM_shortCodeRole_1;SCDM_shortCodeRole_2;SCDM_shortCodeRoleQualifier_1;SCDM_shortCodeRoleQualifier_2
504;226;12007;0;331;2BLKPTOL;0;0;313;1707914901022116608;6420153969789812500;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;10783652485391872695;6y;AAzXD4bujik7RE99bS2xHAGROZnWeF3DgN61ad6wM2o9OPjfdobKJViKHsu7QUbOBey97W;BoL;3764808320;1;3273946360;7;1707914901022116608;6420153969789812500;17;10;7;0;4;1706095057695063803;1706095057695066122;6195434326106396224;0;9;1806254033791133277;2;84zS89rv;-261446798095930349;4818692865361613197;18432122020701955729;3283840090365375647;12;3;1706095057695087135;1706095057695089752;8235488747251273867;10476998489997794852;2808257320188845919;17045117545935244262;2;1;-4937952096467258143;8646;784339346;10;4841612087533688930;59;10427480708344264220;4260104145;0;91;142;134;1706095057695112467;6;15430502621107344220;2799244754;2802970915511836767;12;4044326249574171132;bt0znt9uT8uVJI2Pdu;-5968066763391952587;-12;2686195598451722815;16042330405475866421;2409333255;19151;1;10;2;7k3t7Ta1;fKMITZqn;QMvcYKhRplvJ;2;1;9;2;8382817543975595601;14;432564540;1207867357;111916062;872025142;191106040;241971898;2;0;77;OSMh40PxsQ3GlKRS;Ux9vZaLgfHV;k4Gub9pAoyN;TLn9U50tLZfS8q71;iMLZtrtweu4ylAyw;1CSaDwaIhFE6bsqO;n0muO7GfNBVr7UG4;4;1;2;1;3;17;122;17;24;23;23;24;1;1;12;26;23;22
504;226;12007;0;331;2BLKPTOL;0;0;1114;1707914901598465024;2660223893288775862;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;8961283129513184610;Tr;lh4fas3DzZqcCdIgmyBxbwrxMeoHzOyQK55X73SuHF5QR6JgJZvV0S5dzxc2CosSonpJSu;utl;2389041993;0;3640874400;7;1707914901598465024;2660223893288775862;20;1;4;5;1;1706095057704971854;1706095057704974232;50178210118923284;0;9;7670594077647508367;4;mAIBojKA;-7464113121781813473;12573811437857775057;17081012746943737372;9918508206813731337;12;0;1706095057704995588;1706095057704998324;872102054794959940;667418444908607551;8682972749442317054;13095469935802342425;3;10;7028938961104872226;51968;584621813;10;12883715903710287369;222;561674304034166116;259242640;1;159;47;43;1706095057705020520;3;1440881468958462847;3909689664;1321761719952519064;3;-1447990529354309627;avn5eTiaMMVkbXOHdL;-1523764725552954525;1;-3751558972600382775;10493458889730328737;1462067860;14378;2;3;4;JVPmHl9z;CCkFcxoA;hVKKGR2LrvQL;1;6;4009;1;11712532582819022522;6;-1908794304;-1414419558;-296588571;1634062347;1605945631;1479972864;1;1;22;nAbcEea2L71JTE1X;yU3UByt8glf;gGCVD4qLiKj;1L7FNm5s8Bwehsp7;ZiRHuJtunLhPiEaR;8rv5cSvqJg8qC2xJ;ldxENdqWwmPbZI9G;4;1;2;4;3;26;1;12;24;22;23;24;1;2;1;122;22;22
504;226;12007;0;331;2BLKPTOL;0;0;1115;1707914901660974080;8180830121125903600;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;;yR;wzHVfmb0YtvdhVLVlBUbaKCRsIegwDV1R9UNs2iAoBIudXyrqNXLqFX8voc6wsHd0b4lgY;3rR;;251;0;7;1707914901660974080;8180830121125903600;21;5;8;2;2;1706095057709581684;1706095057709584072;8536948152508945475;2;9;17071653466573186836;0;fDVT5bZv;4777871079909276580;1458918342856565406;17930435984290784782;15581346599050965140;3;5;1706095057709605058;1706095057709607748;12079224408587467478;17690723414085440125;-5204136449798924977;8273417887284801194;1;10;2384981285308044395;12510;189474699;8;11022866466306613534;40;10051738059712731316;3825006721;2;48;168;87;1706095057709630286;6;12222861374703376038;2787473457;-5758917358706012105;3;5450801230692321294;zndBtdUMWLBOjq931t;-20083706587649885;100;-7544448560154427517;331265758314973185;3611441117;44930;1;1;4;sS3Oc1CW;PwznK1Yt;voQ2a5juGad4;1;9;4010;2;14078746260951215370;10;-748122800;791624588;-951670896;-1187360733;-720228994;-1169669395;2;1;177;Wjz3VUk3SExDJCDp;WmnApKRuX3p;ckS54d9T63Z;bzrCAEVEwUdo2N3G;AOAsrwPOjvwE33ap;FIPzgEYuqDQFnl7d;sidGa3MQnGtW65vA;1;3;3;2;122;17;1;26;23;22;22;24;1;1;12;12;22;24
504;226;12007;0;331;2BLKPTOL;0;0;1416;1707914901754752512;2906227696711155589;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9607954405898040147;M0;jBvQLfCUaDTDRXO4nr0UuFYqDGnNvjcmsoxwNrf4sMSpOkPfRkA5FixoCGLynGRKvmTgwQ;65k;1518471675;0;3902323836;7;1707914901754752512;2906227696711155589;23;1;4;5;5;1706095057716919874;1706095057716922383;6641501803163034831;3;11;367440527057578277;1;H67xkI41;-2322207527834971095;10068367434846183497;1465358386900917966;12453007482086136190;1;5;1706095057716943513;1706095057716946281;15859664041330812031;13160715640544793802;7847696790277135647;16644419965357438950;3;13;4394256289905038562;27390;912775729;8;16035539070476342938;151;15617548128746767428;1078837638;1;140;215;87;1706095057716968104;6;5006945349675204543;4134544088;-887130164104963453;10;-4375939145576872386;EAHdYGKUOYO3XjujP0;8420593117468771518;-113;7423490111260091458;12614238182086854113;1753583043;31741;2;0;2;q6eL0DAk;vPGmx1UD;IIGBfpuagxXq;2;0;4009;3;3901843019308508665;2;-764427470;1604942359;1947466866;263620973;-948548918;1009279986;1;0;162;1WvbtQ5u4dEl9Ft1;bMAix8QCkcx;O6ZbhCekP5q;XOw67OaHMzl84BXd;KDhWc6zw2p7FYc0v;4wXc09vnzqCdeVKn;oT7AV6ZwsVAOUf0g;1;4;3;2;122;26;122;3;22;24;22;24;2;2;12;122;24;24
504;226;12007;0;331;2BLKPTOL;0;0;1417;1707914901827627520;12087763957294440647;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;4871479418555692688;92;6Ta980PnTTI0AYrc3xGHLIZ177OFgTUH4KSgiJIDZo3YFoQBcNrlMar3GAcBQ15tp725Rk;Htk;455828342;0;3467496179;7;1707914901827627520;12087763957294440647;12;8;1;1;8;1706095057722943534;1706095057722945839;1266617099865956066;2;10;5848895015306178529;0;wRz8dEJC;5195647938942738972;253302370557966027;1105929556596417142;17445954444319230211;1;2;1706095057722966943;1706095057722969642;10672586032707240441;7863523075493829350;9153268200910272037;18156277174287465758;2;4;74409729662577435;6171;51267762;8;7094846488792829001;218;11566789618646761185;76793543;2;96;190;191;1706095057722991834;4;7892927963360471802;2536475174;-2533533358780189184;6;4064003138794781221;BmTdLJwWgnCEeH5YYz;-4752571671591249194;32;-7971339836777455368;6880911150233543513;3018602872;65073;3;0;3;uZBjYVzI;4pcAWq6v;WB50DIKH6uxx;3;5;9;2;107731507349780848;5;451775975;-2100129672;-1999225091;-1353976283;-1744734463;1030732041;2;0;19;4JOFNLcWa985AjWQ;TqvcyaRWYkK;3x8ODsGO45g;zQ9qZcHErkKJ1u19;fDHxsu5oYoTwRyIg;gelfFyXRkbeMjzaG;KBTtePiU8hmVq1bO;2;2;3;3;3;122;17;17;22;22;23;22;1;2;12;17;22;24
504;226;12007;0;331;2BLKPTOL;0;0;1686;1707914901858821120;5047762010143451336;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;1225024392578737793;Lu;7l2wKT2IudYJgSd7xUGD2fcdDshQAlPY7MWXng33moAoTLjFTyEF09R9irRnV7QlXLBVxQ;zyp;1087523540;0;1116760316;7;1707914901858821120;5047762010143451336;5;13;5;5;14;1706095057725616690;1706095057725619110;3338290425233571539;0;1;9333836836803709300;5;m8OLXBHH;8454626895118405602;10913694519561895187;12214843906398418908;14092856166135418109;3;2;1706095057725640281;1706095057725643073;3816209189914744555;15662118934801113308;4844688302846230928;7990157355164953404;3;10;2073467845697248267;53992;650176422;10;13889945450271269198;37;9792440551417959420;256821723;0;71;185;182;1706095057725665322;0;9373454422447645895;87155232;8146332091468558275;7;-5798952861347593611;2Sz9g2tl5O9TbDvQ0M;1896156874146443348;16;3984236322758476937;7819753995364708693;1137066501;45892;2;10;2;WWhXz0rk;nYYCw6cw;191jh6UayK0p;5;5;4008;2;15334924241371119741;6;2038568142;1043426337;-1091567134;1015052662;-1170873601;-2115381288;2;1;13;n9ELgxXq1yY5QVxq;WGfmkITC1hY;yPB4bIRyhEt;dEwWHY9ADOU9reOS;Pvgkd0g5cgEFZsnZ;Hf0oqqQ0jIzgapVs;CowgWGgivwsuCOGT;2;1;4;3;3;3;17;12;22;24;24;24;1;2;12;12;22;23
504;226;12007;0;331;2BLKPTOL;0;0;1687;1707914901869230336;491631868674694211;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;5720535577681147897;ZJ;MLRxcRoTyAjj4iUUGfZQi5Se182yhXLZ0JbJzrQOwSWZYI8NwVpnbp8yLuVUOKFh2Vw13p;dsy;2996878951;1;4176256316;7;1707914901869230336;491631868674694211;17;4;7;2;24;1706095057726522971;1706095057726525239;1610614689590171156;3;2;12607623031539551533;7;cxhLyW7R;-6688044710021983;513981935301992678;8264140232492570395;11939995505097145954;3;1;1706095057726546150;1706095057726548846;11885585759672547462;9984037199518648077;-2883932382741441102;851050404900708102;1;5;612369153911325850;59111;873184920;1;94654927779725698;81;9379503758781857434;4070023098;0;195;88;139;1706095057726570994;5;7991268718445944212;2451388367;-4298274397852797146;11;-6537966125570348759;cc99bvzvV0ujbcEldg;9108273942056753504;-9;-7135724084988494044;18389388952256498804;2829409503;46370;2;3;4;mkWPEzwJ;guWpfh7C;iaCThuf1z0KE;1;4;8;2;6765747653002297198;14;1393487705;-869073928;523508211;-356895186;434336175;-2105885863;1;0;216;LG6ZOQNxYkY2g4vt;Ne8y1lsznAU;nvx9Z525Wxy;Kb5DFmK3VhZdpHIn;ObaoCtoHNNGJYset;XZT1wLRPINAOiDdg;hyS9kFPUgTEVfeT8;2;1;2;1;3;3;17;26;24;23;22;23;2;2;17;26;23;24
504;226;12007;0;331;2BLKPTOL;0;0;1688;1707914901931650048;1734319784749434939;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2553913687493546923;qi;05RFpwWXV9p2sRcqtJCNGO1oHqJVxUdmVGTpfD6cd0AoNgiCdnJU0GIcCdMhOR4V65Q9xs;jD3;174816006;1;3599672894;7;1707914901931650048;1734319784749434939;18;11;6;5;17;1706095057732051796;1706095057732054121;-7257109913894473646;3;14;4584838097123494658;4;enIQicDg;-4084477927935366473;15094457273016793219;6758212709179027711;2327992194118219004;1;4;1706095057732075477;1706095057732078197;3042930203481481610;10376503625392315624;-1101505664477272764;8428529420898112329;2;2;-8787114313123008952;8052;767156925;10;2358479151167211650;153;12991013447009774328;612692121;2;117;62;203;1706095057732100308;2;5088923158295722827;176308876;34376235593004790;5;1495955675478683859;xkNjOTaJ4T30XqjfQR;-3439780049229968847;-94;-6223583015943244486;16394001903330174569;3425184682;20854;3;1;3;qZVBJTY7;sg8ieXoX;WC3krBjzxn9H;5;5;4010;3;1096593951189503975;5;1824254759;-1037298721;846529759;-272777042;372941256;726546418;2;1;178;dblxtl9z2mSzuQHP;umUJl6nbdlJ;itW4VhDEMpR;EAyZL0VGhuZH7dTI;PMCBklEn765yC9BY;fospQFkAHTGEG3ll;G80pKxEvsDfJJMpz;4;4;3;3;12;12;1;17;22;24;22;24;2;2;122;122;24;24
504;226;12007;0;331;2BLKPTOL;0;0;1960;1707914901973276928;1421065889909164549;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;1941955256451427870;U2;r561sFoMQiK5WuaJKa0kvTQ4hoIG5mShwa80wuL0U5vWAPeOBjcIgMFQTnpZYDrjCLmF8M;wsE;1859601324;0;3151477274;7;1707914901973276928;1421065889909164549;9;5;7;0;9;1706095057735904638;1706095057735907025;-6526311601966102245;4;10;12096567414735423022;7;fAEzbW5s;-4728806060667061283;9616923112242197580;10551330485664678869;3095077681791460717;12;3;1706095057735928449;1706095057735931093;14075762976765455077;10497254062992337492;-800938445596263334;16817867432134970878;1;10;-213118237807540019;33254;906768783;2;14446745867547288928;147;7015293432083098207;1819130496;0;240;5;20;1706095057735953220;1;4271201403518437728;4115859171;6243855917156012768;8;-5395281408387961447;mgtm6qu3B3WgavlFHy;3129201462638496610;38;-8160628078109697254;2395996849317986690;121015420;17631;3;3;1;SkvzTTKK;HUzWznnj;AapqbsNlx3dC;5;7;4010;1;18322828450878323953;7;575428248;827702739;-396050929;-1690456853;-616295483;-1569282052;1;0;85;FnWqTXYpaxq6IrqC;RxjoRZUQI4R;EayaC2AMdjr;DwDJUQKLfPzHyQnO;P9ahMGDtcKs8zSHm;uM8MUNK23WXUnOZp;Afiy75SJ68Xld2BZ;2;1;4;3;122;12;1;17;24;23;23;24;2;1;17;12;24;23
504;226;12007;0;331;2BLKPTOL;0;0;1961;1707914902025348352;9501183585951899066;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;614541690210646299;2a;pxGtPAlyBvyxBsCOt0bcDksnbHdrK8j35AvN7ZfIIgWJorfy6RuLfujmS0fMnau2PeUyUH;rCa;3914517719;1;3154998015;7;1707914902025348352;9501183585951899066;19;13;8;1;23;1706095057740823312;1706095057740825594;-3877805726351801045;0;4;9851472815962619101;5;RubMnqrl;2865899341287870711;788899085974325909;3495849466356272943;3315501348242053214;12;5;1706095057740847092;1706095057740849801;2222142939228385526;14211103703559693733;4656069439340295213;13983893364235206395;3;7;-839281711589785270;37976;184047301;8;6780156745038996242;230;14981303080368977086;1905296549;1;59;145;158;1706095057740871636;0;3791258057493204072;158702359;-1962870366493825259;12;-8721960857321991234;OrU8f0EGSxkXYkULAy;6917369678263800266;-86;-7148104240143410416;4580371842166677175;1267778918;18945;4;1;3;7jcfBGTG;vRSMiZXT;9vsjMY1XsE0h;2;0;10;3;15666943711194280974;6;-1300538175;-350882342;-355555067;1312546078;431611226;-104109149;2;0;47;OnHTmogo98w60wIU;d9niOBTZf3K;sAXu1F2Dg6B;trea8fPfdYKw9Rua;o6FurbUbaXPrl6TL;X1FwiNiOcp5omvTB;7j2Qf0w3yCSyLFx9;4;1;1;4;1;122;122;26;23;24;23;23;2;2;3;3;24;23
