msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;bookOUTTime;eMM;eventId;symbolIndex;crossOrderIndicator;counterpartFirmID;executionID;executionPhase;lastShares;lastTradedPx;leavesQty;orderID;tradeQualifier;tradeTime;tradeType;counterpartyReasonType;tradingSession;displayedQty;sequenceTime;orderQualifiers;regulatorDisplayedQuantity;tradeUniqueIdentifier;QR_bidSize_1;QR_bidPx_1;QR_bidQuotePriority_1;QR_offerSize_1;QR_offerPx_1;QR_offerQuotePriority_1;SF_legLastPx_1;SF_legLastQty_1;SF_legInstrumentID_1;SF_legSide_1;SF_executionID_1;SF_tradeUniqueIdentifier_1;OFD_evaluatedPrice_1;OFD_messagePriceNotation_1;OFD_finalSymbolIndex_1;OFD_finalExecutionID_1;ISFO_symbolIndex_1;ISFO_orderSide_1;ISFO_orderPx_1;ISFO_orderQty_1;ISFO_lastTradedPx_1;ISFO_lastShares_1
298;137;12008;0;331;2BLKPTOL;0;0;494;1707914901070191104;10229491994863385290;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;17295773724827141798;A4;Yd484WmiJB1ncMsdjpMfE0HTf3gzH98sRLJY3K7sJDtxO3CNKF1UtOqhahX4ZGxyetjsCC;nRJ;4063280419;1;1961639532;7;1707914901070191104;10229491994863385290;2;1706095057926224848;14;18103994631570070218;338709066;230;NLfpK27n;1547487925;3;3446;413107307;1612160969971165309;17716624582457523867;7;1706095057926247964;29;5;4;10810486671235273746;1706095057926262592;1;1111351900614893879;7l1y8F9tiPiUd7pr;11378880591160251248;-7444600820091522628;1913563788556157206;14199678032855678037;8584378594124930795;4810018406200017886;-6582232242967403893;10447426737548055186;3255089479;1;1674857960;iqa5hKmkLEYS7pI4;-7516772836855208798;121;2215507381;590014936;338709066;3;3715004948598082630;969587464972551220;4095747156529129292;10939117605238661121
298;137;12008;0;331;2BLKPTOL;0;0;495;1707914901073936128;9695214178096279386;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;12767424291471629292;GX;gYF5Bz7tO0o0UVHldyGTUII682evl8BfB3zpHRuZDsmMyc8J2lSVmmJ9NaOzNdszrO8flp;11k;1367226796;1;3263598576;7;1707914901073936128;9695214178096279386;3;1706095057926439075;17;6047038788724938102;293632506;174;Tg931l18;3001332685;3;3411;452496383;12291352672625332154;4065757909568378894;4;1706095057926462511;32;3;4;9797469066381154279;1706095057926477706;0;1607315454417544884;FJ1xbrNpu8LEklAD;1774509715033407808;-1136602461606184233;11928941177065284908;14306402837449600435;-6720290366352606326;17348206486306849867;3060819553714084042;9114533770969990537;3908800845;2;2551547792;io0sP0F1wF1GEm5M;614862791037485047;30;445892737;3057102780;293632506;2;-3572883886734739661;6326635755552111643;-6440156557700312938;495576061207764139
298;137;12008;0;331;2BLKPTOL;0;0;496;1707914901081413376;9309249734423122521;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9607954405898040147;M0;jBvQLfCUaDTDRXO4nr0UuFYqDGnNvjcmsoxwNrf4sMSpOkPfRkA5FixoCGLynGRKvmTgwQ;65k;1518471675;0;3902323836;7;1707914901081413376;9309249734423122521;12;1706095057926886058;9;18420743785627941553;912775729;143;NVMLnH9k;217442393;2;4135;399597729;8846258245743416306;8334310459981607013;4;1706095057926909567;47;2;3;13224250158808077636;1706095057926924389;0;1546588403933322305;VG5OHxUoZsXZXpcS;15298380454555395328;-1421336635986129863;8489134247390442752;7031647628377091699;-3929663286972341960;10793162236386327503;6975893111551231295;15532746210196726697;192054330;2;2076608150;c6Y16FlY5o6DnGA6;2464308425012885746;17;1981746725;1057875815;912775729;3;-1967081413365379987;5306020916942360027;2638894866308771529;340133410475121760
298;137;12008;0;331;2BLKPTOL;0;0;1107;1707914901602979328;13766849755894963091;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;17024290165148727136;0t;GvLEPLqajK5rVbxGKuB35HxYtmXIOqpke6BRnFKj1QpxF6xOvQAvw47LJocdf29stjJpud;7hs;2333129586;0;4224521335;7;1707914901602979328;13766849755894963091;16;1706095057933057229;15;9903833225164177737;910422888;93;xzYe7pap;3998443144;1;2663;883948513;8566105653527533526;9692227690932693238;6;1706095057933080078;26;7;3;1575138725805689445;1706095057933094496;0;11528549904066323205;cbKKgWmXWh28K3RG;7684704943476614380;-5547054972712921717;9079952214258706758;5019019574028548686;7118853258014300162;5319186270797597179;2894538366395436192;11692854045225192792;4128381315;2;1034639414;5BnUHwt6Hw0xqf1x;-6609531065964336848;182;318128895;1194719911;910422888;3;-7077610917451232269;9226332256768187202;-6123183999154947451;3740005700508792706
298;137;12008;0;331;2BLKPTOL;0;0;1108;1707914901614215936;6394330648531110324;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;17649996035600062801;y4;m4PtCqZwXANzbZQrdIlBaleJ4oy5edoOYgceVzQ9DHIn3gaNfCUmEpN6X2pkXoqtb1y24d;QX5;2817311705;1;1500233684;7;1707914901614215936;6394330648531110324;14;1706095057934009900;14;5806093833746830387;451161021;35;OzaFpF8I;1019989442;1;351;429425882;11945754984804158497;1712232951483027106;3;1706095057934033039;41;6;2;2749496779577131986;1706095057934047628;1;5580032860351555133;rAgrMmYSFXkuAlKe;5140231959882582132;8556409091922301720;12880765777476512524;3086981241153505700;-845963694857320552;5976123147463168851;4232604691604343892;3905345291227404685;2451335695;2;3071674041;LZjSD8mhJ6bRvDEA;8039676938752558733;49;2082384546;832663117;451161021;1;-415853090069883479;17732922808281941125;-2073791234795103803;16230093112135857874
298;137;12008;0;331;2BLKPTOL;0;0;1109;1707914901621721344;6274907182072660598;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;9515101337159919625;Lq;kH7nIyLs9HS9idv5TyE8O2O3MM3Fv943nqIC2BQr86B8tH6Sx2wCn9ZDOsImz9o1oj43P6;U0S;1353536500;1;2729531948;7;1707914901621721344;6274907182072660598;5;1706095057934663589;2;2095555525252819930;47741981;181;nLvrLxdU;3054476788;1;3641;678987647;6644548958785597547;7010944342543010397;2;1706095057934686692;103;7;3;16436995444661573426;1706095057934711865;4;16825463524769666080;o695cF2BzV2u2gUM;10202431054529111344;-5735599084702040100;14263340561766223628;17357279357785575322;629006562069013955;18348703552953614863;6643003552168235538;3475683307733970451;742473882;2;1625163386;pnXEuNhySAxy0Zvs;-7328369333888901644;109;181793679;1517076751;47741981;2;2964482283840966887;11615151780574001565;-8805584040727645149;12505048115065225801
298;137;12008;0;331;2BLKPTOL;0;0;1110;1707914901644185856;7213323581790697515;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;13013610096980342663;zi;n2BzGHJQizdJuGeylooinNnYwY1D1IhgmTQAbQWnJwM2eI1LQMDsTsYxfU8f20YbXsc993;ZxP;1185135321;1;2700231817;7;1707914901644185856;7213323581790697515;15;1706095057936732402;6;14939007459578746504;315863755;138;qxZ2S4qt;600144448;2;793;440342146;1536718631478969485;3208310176451241442;3;1706095057936756342;39;4;2;8840661353964925439;1706095057936770675;3;5158108652881949451;ks8MiVW4VRHLvWoY;198343777640874121;-7525154517840404183;8722647094727526665;6740472471717401776;-1801582571415066374;8010954882644568306;8949039829510610577;3945139414531741592;3008042485;1;4000073211;chT86Hh70x7EYHzh;-7254275396447759627;242;3696753027;4077631495;315863755;3;-7918818622453576317;9639489137308549726;-9181094468297633145;17412435799643141128
298;137;12008;0;331;2BLKPTOL;0;0;1111;1707914901651698432;8622342459813357628;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;18446744073709551612;8n;6EdEl6DJL4CHIU9Ra3uHjoJ2tIR8YEYVD8WPMSp5HRGUjr9BYVPFjHxJ4WjN0voO8y4Nh7;7st;4294967284;251;2147483647;7;1707914901651698432;8622342459813357628;23;1706095057937442477;4;215273712217893231;355525551;104;FVFDrIfL;3161998736;4;2944;64951206;7847643355168380613;7988536646321137883;2;1706095057937465651;31;4;1;2639190014547009759;1706095057937479954;2;13176282549766526978;eWRPUncQ7XTAO2cW;6783922449183929842;-6537873952247337455;3550327154964726849;7563406650805000056;-8630650695599568091;11996332342355005647;-6842136964558886443;12863216122290125745;2706102448;1;1114859172;mGeCNQeBBdMDIr8L;-882106575421759532;155;699161409;3553670841;355525551;2;4312594287678729850;15390526083136305345;-2912393171901618422;7390465435090991858
298;137;12008;0;331;2BLKPTOL;0;0;1112;1707914901681570816;2661705360865406330;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;7946700087367777004;yq;CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh;H5X;4105738847;0;4102579803;7;1707914901681570816;2661705360865406330;16;1706095057940438191;10;1274319405386070242;306138594;76;trlm937H;284186783;5;1495;330951245;1750975948710709512;633556882852360532;4;1706095057940461638;28;4;4;13119064255287718621;1706095057940475901;4;1285455485880094798;4sPv8i9i754fs3Dt;17666321927412199445;1218461470431498056;2618489067366854863;9065434373630544450;3731655445859471309;17206179006543441046;-164338624615914718;13182205838583860421;103263099;1;1125064304;VBhctuT2mGpqHifq;538182567805648711;19;794661828;2971795012;306138594;2;-406245550388832972;4339075083535057579;-8638126221954980193;6872887972123491906
298;137;12008;0;331;2BLKPTOL;0;0;1113;1707914901689063680;1234678561529576946;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;7106284146521157689;rE;NrJR0T0kAhd0OCKW4ojbaiikKNCoEASVaj7TQEhzIiPagWOrGfsJrPwNTW8UGCiNexH0VX;wFp;1600758537;1;3578671592;7;1707914901689063680;1234678561529576946;8;1706095057941214232;99;18186562782856060570;281877941;180;Bw3dqrDJ;4028225534;1;2083;378647116;2264925370597981562;4211667300912854451;2;1706095057941237522;16;4;3;13959377580786793450;1706095057941251915;5;17969786528559848277;Gjf8hcwIdv2vL8Iv;11070056774120620311;1194846525427012240;3142796374436138810;5088536245284584782;-390330123309627163;1102551417371371388;2345316819508939807;8233977715256168958;1168045031;1;1495859769;IV7OzmKGdkweV7XY;-1450996596344277811;224;467423221;3227046980;281877941;1;-4848636593483883472;259994481662180429;8448980139453128708;15183331786797638679
