msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;bookIn;bookOUTTime;clientOrderID;eMM;eventId;indicativeAuctionPrice;indicativeAuctionVolume;oESessionID;oEGINFromMember;oEGOUTTimeToME;orderID;symbolIndex;killReason;sequenceTime;orderQualifiers;strategyIACAFinishDC;orderPx;orderQty
140;130;12009;0;331;2BLKPTOL;0;0;76;1707914901002568192;11421226960690659093;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;1975843389352265188;41;temCwWKv3emBG9RQN9OsPNMxEHNFe7KX23N1RfbG0VsAxWikeY2uuk4I0vmDn4DRZUaY8K;x6f;2817915161;1;3089514342;7;1707914901002568192;11421226960690659093;11;1706095058025776018;1706095058025778288;-914825344312449645;7;9647491013086357447;-8646838752302165925;5444845993383511659;14898886244898147827;1706095058025784407;1706095058025787141;7722697054984038183;927008545;42;1706095058025797026;6;0;200810246920638578;593722734542296647
140;130;12009;0;331;2BLKPTOL;0;0;77;1707914901007174656;9958274761765246905;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;5561708281641363767;C0;4lDnubiWbciUwbr6pY2OAs7luwFTqm5Er8M1icBDDygvuOlEQXYnjwZbZfG1jwLxdalTBO;szr;2271801785;1;3610844124;7;1707914901007174656;9958274761765246905;2;1706095058026334368;1706095058026336642;3011858485677645339;17;9895235031494946557;-6782048888207481112;16166099184416905793;12555352639087288263;1706095058026342634;1706095058026345253;11937318500776542284;521966104;33;1706095058026354660;2;1;-3754267587950952783;3857990513332347524
140;130;12009;0;331;2BLKPTOL;0;0;78;1707914901008013312;11887287755001809999;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;13591859895925755072;zZ;f6ImqzSFwElMMmRxOOdWXKFFSYqJwagAhSTFhF4rkwsiyf67hYZdddLOOwb3DLsycHNDwb;9UD;2141840673;1;965100886;7;1707914901008013312;11887287755001809999;7;1706095058026455564;1706095058026457643;4834064958437653072;6;15782928549711041064;-619910697178494035;11730388953930334977;1357267326098646338;1706095058026463981;1706095058026466748;15336521385223912388;231362315;13;1706095058026476379;6;1;-8010168081979173449;16735916859016380762
140;130;12009;0;331;2BLKPTOL;0;0;79;1707914901011458560;4472844208494635825;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;1372060987366733032;sa;YOGvsHtPStgtEDUgu7nK8KI3ZEXZPZ2LcGIFMgJgYCtpJMOALBh3wdXcyw4EVyWm7Sna9v;9Mx;2053645330;1;1659700653;7;1707914901011458560;4472844208494635825;9;1706095058026979865;1706095058026982163;-8847748867860661532;14;12218319423412878923;1335656029531115913;6570341705014893863;10050991063390430300;1706095058026988416;1706095058026991151;2093382067263102422;83351337;24;1706095058027000818;3;1;-9150075356134841818;3736740308694690839
140;130;12009;0;331;2BLKPTOL;0;0;80;1707914901022247168;13678848881176358402;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;17502663871563463515;iC;SvbAaI0IUWTzA4TDp1g4wa7rorRhs0vVKdzbeLZDjNVmVTWQ5gTiAT1Lwv3RkavfYZfUy2;G7T;2126895777;1;3651464833;7;1707914901022247168;13678848881176358402;13;1706095058029017706;1706095058029019827;7093505193067709639;5;13217051632700729716;3926031978905875723;11328176945438963212;8171828411552225636;1706095058029025568;1706095058029027944;4862634600492256790;880524655;44;1706095058029037242;2;0;3726745371597185289;1525029880635463032
140;130;12009;0;331;2BLKPTOL;0;0;81;1707914901024701184;8779251194847128445;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;7001165310921257812;KK;KbJIjflGiGZjXXW8g0UfZKSqSbrvFIoWreNqAOGUuYasnBu0k4EGgFem07VzYAY6qEPB4I;wUC;602357629;1;1971263874;7;1707914901024701184;8779251194847128445;1;1706095058029568937;1706095058029571078;-1855924356630488854;14;3054519758461277603;215992495579745360;14385955224490816483;11994251899140322050;1706095058029576830;1706095058029579285;9827940551192117334;493822760;35;1706095058029588669;0;0;7840752277733571267;6645023308475078552
140;130;12009;0;331;2BLKPTOL;0;0;82;1707914901026330368;15996525170072158347;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;18358697419713461226;Gt;dbOLDX8tS76zPqvB5SWN1vYVJgX4ZjBbkwL4tzGEh8bB5Bx70HWWhD9P1ZD5RVayfbrt4I;mut;1028372657;1;1708593561;7;1707914901026330368;15996525170072158347;19;1706095058029953597;1706095058029955825;-8814805159681526222;17;5094538813993090997;380829235603238943;5308196063830558058;6707179605182024070;1706095058029961805;1706095058029964341;14193336493140252911;984029995;9;1706095058029973675;4;0;4813193449566887358;6535985542210014600
140;130;12009;0;331;2BLKPTOL;0;0;83;1707914901033649408;12208026608728494300;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;15339731900989333959;Pu;8vsPmiNjTv4q8b3hMFoS59iQPaIpDl6ZARmTvMfSzpBIt97yvzDJYPbSkIJA82ohFaLcIG;xB7;4056966122;1;3771760196;7;1707914901033649408;12208026608728494300;13;1706095058031856181;1706095058031858370;3461878993638854432;11;12657890158490692359;6265962278902401527;18198105546061187764;10254697342783841147;1706095058031864061;1706095058031866579;14219845968857454392;273258314;38;1706095058031875652;6;1;-8786901524872371905;16499094890216511766
140;130;12009;0;331;2BLKPTOL;0;0;84;1707914901050508288;18369497115241213697;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13759351882060585018;tS;Od1uyWz3vPAj5EgoOiGg3A1DQJiAcUbgFwtNVTjv9jGsBEX14oJo1cE4OToxlTtNfrDJKm;M4N;1316862324;1;4249865977;7;1707914901050508288;18369497115241213697;8;1706095058037017323;1706095058037019522;4558001601095215203;15;1954691860167623494;-6795230496946537246;4528074715353241144;17814067906990352414;1706095058037025345;1706095058037027859;4827581496955457869;225699642;24;1706095058037036910;6;0;-5210739408564216009;11238027096228403038
140;130;12009;0;331;2BLKPTOL;0;0;85;1707914901069664512;15453760912151956263;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;2783946669380047195;Oa;mQ2VUztgmK2dTmOtt91u678WwI7kf1IAPcHL6T2fMBoCPksBOeTQECumhOOqcw5VIIyf0s;73x;3274536388;1;1881204819;7;1707914901069664512;15453760912151956263;12;1706095058044592516;1706095058044594746;-1941950568885397016;5;10743532803598330406;8809125807400877211;864066366408917705;2796027411340552434;1706095058044600425;1706095058044602930;14584106782743036511;338352934;37;1706095058044612004;3;1;4062578759746660691;16513102879323231867
