msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;bookIn;bookOUTTime;clientOrderID;eMM;eventId;firmID;oEGINFromMember;oEGOUTTimeToME;orderID;symbolIndex;breachedCollarPrice;collarRejType;rejectedMessage;errorCode;sequenceTime;orderQualifiers;executionWithinFirmShortCode;clientIdentificationShortCode;miFIDIndicators;oESessionID;orderSide;timeInForce;MSC_eventClientIDShortCode_1;MSC_eventExecWFirmShortCode_1;SCDM_eventShortCodeType_1;SCDM_eventShortCodeType_2;SCDM_shortCodeRole_1;SCDM_shortCodeRole_2;SCDM_shortCodeRoleQualifier_1;SCDM_shortCodeRoleQualifier_2
154;126;12010;0;331;2BLKPTOL;0;0;497;1707914901080424704;17124921634142760786;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8695965697730502662;dW;YOhJY9QsMyy7kB0oDnWSP4wzHU6mY2lBGgr5xNESnl0A58iBpZmbFbk23YtnKFzQYZGuON;RgQ;574056598;0;1464455073;7;1707914901080424704;17124921634142760786;4;1706095058119461598;1706095058119464153;1625875323136932621;8;13049839450753175791;9g9FWYf2;1706095058119470183;1706095058119472812;4752386539255656338;659932215;8558751619438973041;2;156;13163;1706095058119482296;5;-1215205172;1330475640;3;8539285152307474443;3;7;1823330886;910186691;1;2;3;1;22;24
154;126;12010;0;331;2BLKPTOL;0;0;756;1707914901279124736;7747017793244627973;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;14140019861529400051;em;yqXOEVdPWAD8E7c4Ja2ijpMZ0q4DqgCIcyTDSVJJ05siDOEmOR3inWsTEtiw779Uwv9msC;Xfh;3292631089;0;2631414048;7;1707914901279124736;7747017793244627973;11;1706095058122893272;1706095058122895841;1408504747124010089;9;12514571666573957115;sSQsskoQ;1706095058122902057;1706095058122904915;8921863671485085653;814610997;-4988991283102659647;2;42;12297;1706095058122914454;4;1203978718;-2065602115;2;6528806132746067827;1;0;103375639;713788354;1;2;12;122;22;24
154;126;12010;0;331;2BLKPTOL;0;0;757;1707914901306900224;16243971285758793774;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6285816865364031132;2y;TPEZxpXKI1v9sUW3p0HY3Bi7lvTUR946SfJJDJzc1ibRYuZazdKbBDH82d7z10On5jG2KW;rq5;2751551070;1;516439559;7;1707914901306900224;16243971285758793774;5;1706095058127535223;1706095058127537727;3418944437314712915;15;12269550850821293490;WHijhI7U;1706095058127544001;1706095058127546684;13386483780327025518;449655990;-5826904342894936549;1;221;21186;1706095058127556310;2;-2061525898;-1561774185;1;3302683953483979840;3;7;154678920;1253168382;1;1;1;122;22;24
154;126;12010;0;331;2BLKPTOL;0;0;1089;1707914901601052928;15519875851498249278;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;8943933701115578874;9G;VQlHFNtQYKhFqxHOD5ncjSC1q8uP7mF3yNEdGv1lFbzOiydlcyhTylb07Rq625ymS1twaz;Xr7;3629286593;0;235437051;7;1707914901601052928;15519875851498249278;1;1706095058134041543;1706095058134044035;-86928757483612016;5;16914790096889689576;kwdeSn6J;1706095058134050115;1706095058134052772;3696388589537599404;955011091;7670473384555088665;2;190;58820;1706095058134062491;6;-193414958;2070895534;5;12009120835652216830;1;4;1101408010;-1327134922;2;2;26;3;24;23
154;126;12010;0;331;2BLKPTOL;0;0;1090;1707914901660885248;9803857936795338397;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10302757817329576957;Bx;3wM7yZo65zxLpsBmhedpbDvyvlw81ITARFsdl2O6V7eLMaCJbEbfb9q2SYU5G55PwjmtaX;oRU;2178893625;1;3475080591;7;1707914901660885248;9803857936795338397;10;1706095058147521925;1706095058147524517;-5522114334325959845;10;4902843806827924670;sQwXqUhz;1706095058147530586;1706095058147533148;7593311411005733981;407371549;397900045005610831;2;222;28351;1706095058147542651;2;500374299;-129098124;2;13272748820959469401;3;1;-156081183;-2117527509;1;1;3;12;22;24
154;126;12010;0;331;2BLKPTOL;0;0;1407;1707914901732315136;18316187804839769221;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;8072011793266017923;ad;gQfwK6xd82vEPEBO62Hr5lnI5lBo4dLQRbuoSIGk90H5pG2D4bw3mZpjQo1Yv253il8J8R;btU;1516155693;1;687048176;7;1707914901732315136;18316187804839769221;19;1706095058167055348;1706095058167057747;5754519491577403568;5;1924490585470377814;EMX3Vsjv;1706095058167063735;1706095058167066365;9559199469963104771;376270613;-6712366183693155332;1;199;46198;1706095058167075785;2;-392214150;218257606;2;6240426570417058875;2;4;-1225469268;1840879093;1;1;12;12;23;23
154;126;12010;0;331;2BLKPTOL;0;0;1408;1707914901741512960;5270597337662617028;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;2337247468056382699;Ae;tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls;kFF;3527223126;0;4275500947;7;1707914901741512960;5270597337662617028;20;1706095058169870295;1706095058169872757;2317505049703359959;8;4601980443636844242;4I1lznLp;1706095058169878770;1706095058169881371;10710732774057855695;697925876;-1673579325984022019;2;5;35841;1706095058169890786;6;-1262881198;-1334584998;5;7692102023052712361;1;1;-1950503937;-2140216319;1;1;122;3;23;24
154;126;12010;0;331;2BLKPTOL;0;0;1409;1707914901748407040;7766764066454409847;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;12672311597597191309;DQ;mjYS0IGOuON8W9rka5o5qJ6Upf3g2HdL7wIQ6r6PuGtg7sW8TSLiVw6igYsvffvCXmguKE;1YA;1530548469;0;252317244;7;1707914901748407040;7766764066454409847;8;1706095058171985940;1706095058171988570;-4337423339463947362;5;6075386713407129136;0Xa4ftah;1706095058171994836;1706095058171997668;9913897660485715765;681310362;2201924140143615198;2;222;5175;1706095058172007661;0;-684041322;-309255365;5;18091620106739570530;3;0;1590635835;1117436951;2;1;26;17;22;23
154;126;12010;0;331;2BLKPTOL;0;0;1410;1707914901792077056;3271219234429559871;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8421005763191075415;2G;H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie;hhg;3138991619;0;1248976379;7;1707914901792077056;3271219234429559871;17;1706095058186312338;1706095058186314721;2591615728662842257;11;17227054585294990446;JU7dsZLy;1706095058186321033;1706095058186323774;3000199383591096613;897061568;-7705499289253391737;1;40;13719;1706095058186333348;3;62017673;-1748434490;4;14543857954521948754;1;4;-1543933174;-492030753;2;2;3;26;23;23
154;126;12010;0;331;2BLKPTOL;0;0;1411;1707914901803597824;10691827270779273825;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;352796078004099579;mN;dJdJn2sbIi47p85uxKE8FCyq5mIWl1v9loiVwvELpNyBpUHpo60JuBH1e0NBl3FP7dxUzM;QWD;2767315310;0;1247936017;7;1707914901803597824;10691827270779273825;17;1706095058190264678;1706095058190267308;4749619334018626400;1;1275122432534943274;7X5AUfco;1706095058190273501;1706095058190276131;11900142037057723189;841345320;1328421004805945255;1;189;43824;1706095058190285894;0;-1236137756;-2057896832;4;10338539297902825337;1;5;-2077508401;-452639953;2;2;3;3;22;24
154;126;12010;0;331;2BLKPTOL;0;0;1412;1707914901819682816;10874372087049513369;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;4403052311478408602;ZJ;HR0owOlnfPpmCv5A5GnTBNqsBLe02c6ZYsy2F9GRoCwO78CZL9btXNrGjLHPLTuNkB0Q3A;4bF;4187754424;0;2043547757;7;1707914901819682816;10874372087049513369;14;1706095058196042056;1706095058196044510;6692238459320941344;1;10263938367110839285;MliSlAAm;1706095058196050539;1706095058196053188;17986613716978073436;357076211;5853676701259236614;1;158;42953;1706095058196062747;5;-934255750;-105966541;2;14985111458621403504;1;3;-177639791;-661369879;1;2;1;12;22;24
154;126;12010;0;331;2BLKPTOL;0;0;1413;1707914901826562304;13879430164566280509;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;13591859895925755072;zZ;f6ImqzSFwElMMmRxOOdWXKFFSYqJwagAhSTFhF4rkwsiyf67hYZdddLOOwb3DLsycHNDwb;9UD;2141840673;1;965100886;7;1707914901826562304;13879430164566280509;23;1706095058198502794;1706095058198505412;6755452294092330427;4;4393944316859317884;huXlvV4J;1706095058198511513;1706095058198514132;12394494947702255754;231362315;-7442852760625086349;1;208;30762;1706095058198523592;0;475243051;1679266355;1;11057163343669910918;3;7;1397264987;1581771566;1;2;3;1;24;24
154;126;12010;0;331;2BLKPTOL;0;0;1684;1707914901856448256;6695966483942744557;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;12560490813292387585;5I;q5F66gf8yKxrWv1DonM4jJ9X63HYdo0nRgbyPJCxoQV3KDE8KbHUF0hK5qrVfz7hSicYNN;j66;1375150690;1;2128515861;7;1707914901856448256;6695966483942744557;17;1706095058209857715;1706095058209860183;-3577224331239596926;15;3626052775124553401;Pr2MmbvU;1706095058209866348;1706095058209869089;17894090363762396384;105108297;7898430024986277900;1;137;24641;1706095058209878526;5;-842634115;181941363;2;1049604760633744877;3;8;-1457479134;1077401828;1;2;26;1;22;22
154;126;12010;0;331;2BLKPTOL;0;0;1685;1707914901865643264;14372808326319023390;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6135723462153394188;6P;zhKMGSfCAMCboLpPrOSNKn5qqQTwlzy30lh08KCtEjs6W0ag7wXyKXgSXjmvEdc1fPRyAi;9vy;1610505332;1;2224170165;7;1707914901865643264;14372808326319023390;20;1706095058213468147;1706095058213470708;4599261488830868149;6;18364803034121956239;nPEN3FQY;1706095058213476824;1706095058213479461;3929764711889963730;138846668;-3610556514015481658;2;64;37812;1706095058213488998;3;1006042460;1892282576;4;16155621583320255722;2;4;1905878910;-1125884555;1;2;26;17;23;24
154;126;12010;0;331;2BLKPTOL;1;0;72;1707914901014844416;5036851378462366682;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10618195290529947463;CQ;GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD;AAq;2681927103;0;40643180;7;1707914901014844416;5036851378462366682;8;1706095058111812432;1706095058111814901;2164819886237679940;14;16721412761054635878;vDSnI7qL;1706095058111821306;1706095058111823970;3798081155230595075;703220993;-7329974920293823102;2;97;35974;1706095058111833739;4;655380824;-2060198706;4;3351751387659106348;2;7;992447763;967486998;1;1;122;12;22;23
154;126;12010;0;331;2BLKPTOL;1;0;73;1707914901033666048;665413229372407382;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;6005986335603308262;xw;8e0lDJ9LvwX7B6W7vcX8XVN04LE3qrizC9VuGLuGv9aFWtNUHHXxvGcn43osdlVeI28jcD;4IT;3521509732;0;1964750142;7;1707914901033666048;665413229372407382;12;1706095058113699552;1706095058113702163;-7231706799001234802;17;4672401423645045192;MNCEHKki;1706095058113708609;1706095058113711269;18389299100253986489;919853333;-7686163672275913795;2;64;37578;1706095058113720617;0;-1395847346;704930902;2;10217613195196610425;2;8;-788826428;-541797358;1;2;3;3;24;24
154;126;12010;0;331;2BLKPTOL;1;0;74;1707914901092677120;10464022834962885998;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;10420890321279608836;L4;BolzvsKg8RTfdvJD0QOoE42erjyXtu9Cuydilbxtx2GxQX4DCirIoB7UkbgedcEx6x1cyu;7HO;4044296391;1;4041271779;7;1707914901092677120;10464022834962885998;11;1706095058121127045;1706095058121129471;7094638270573194465;11;10227508654025707973;4HF2ARj6;1706095058121135627;1706095058121138350;4817710983367362851;773240909;-4634201642081088783;1;110;32757;1706095058121147813;4;-1262798111;170091174;2;4470504661866454961;3;6;-616420517;-841873657;1;1;122;26;24;23
154;126;12010;0;331;2BLKPTOL;1;0;289;1707914901281455872;16047006421919268695;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;2337247468056382699;Ae;tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls;kFF;3527223126;0;4275500947;7;1707914901281455872;16047006421919268695;12;1706095058123252221;1706095058123254608;4997005657435591010;4;11148571617329170303;G2rl0zQJ;1706095058123260827;1706095058123263324;6261917762798860591;697925876;-57269277436789142;2;167;57892;1706095058123272691;2;-778008238;160114403;1;13983830912110479325;3;10;-1144724607;-2105813718;1;1;122;1;22;24
154;126;12010;0;331;2BLKPTOL;1;0;290;1707914901288452096;12111674431095133497;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;9222983221400517313;oi;nsSiNFv22775HnasYddBsXGpDWMQiL2lLW0ENLgtoMKC1O3HNSjc1tJWpuoMtjgByDoUQQ;8ZD;2235014983;0;2553562222;7;1707914901288452096;12111674431095133497;4;1706095058124379182;1706095058124381665;-2497340424921164011;7;15426824074856265058;Wt9Ee2Zb;1706095058124387582;1706095058124390301;13212058575124765043;132552347;-3044847902544427942;2;77;35184;1706095058124399779;1;-636597316;720765245;5;2296650340954002237;2;5;-1870910310;1401034934;2;2;26;1;22;22
154;126;12010;0;331;2BLKPTOL;1;0;291;1707914901290763008;5834420420450204155;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6135723462153394188;6P;zhKMGSfCAMCboLpPrOSNKn5qqQTwlzy30lh08KCtEjs6W0ag7wXyKXgSXjmvEdc1fPRyAi;9vy;1610505332;1;2224170165;7;1707914901290763008;5834420420450204155;14;1706095058124764138;1706095058124766526;-8342176429165406652;6;17705458496386696514;kdMkto80;1706095058124772669;1706095058124775239;2854063357855206195;138846668;-8680720773215705092;1;200;32865;1706095058124784668;4;1372362694;-927940875;3;5309296435589032183;1;1;-651531012;1233619689;2;2;17;26;24;24
154;126;12010;0;331;2BLKPTOL;1;0;369;1707914901591822592;6245859188367126295;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;10420890321279608836;L4;BolzvsKg8RTfdvJD0QOoE42erjyXtu9Cuydilbxtx2GxQX4DCirIoB7UkbgedcEx6x1cyu;7HO;4044296391;1;4041271779;7;1707914901591822592;6245859188367126295;16;1706095058132225508;1706095058132228010;-472292701339831138;5;4322839680010603729;mDIKf47z;1706095058132233963;1706095058132236685;1147733111195047628;773240909;-838896788290462685;1;67;56267;1706095058132246234;6;1531740355;680645099;5;1905721367844919841;3;10;507765002;799455095;2;1;17;17;23;23
154;126;12010;0;331;2BLKPTOL;1;0;370;1707914901598746880;5397587883655290612;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;6508669201590734907;x9;TdbzAJ7bc8JyBFXvKkdK09SIx34YJk14Rlzl1MxRq8gEt5P48CrNRPVixvrwTYewUArhZc;4z0;1460889714;1;2377036615;7;1707914901598746880;5397587883655290612;21;1706095058133568649;1706095058133571094;-4262399556869895843;15;10510338821272940178;mjHG2Joj;1706095058133577129;1706095058133579928;17063561203124876841;896742034;-6607920689664797998;1;6;19355;1706095058133589795;3;-820132481;2100145408;2;13203230141130841392;1;8;-468526117;-1116001583;2;1;12;17;24;23
154;126;12010;0;331;2BLKPTOL;1;0;371;1707914901605658112;3410730434064363168;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4500241957006454205;7J;YRQzng57gf62Y7Zd7MRGcznzjYHzPPCqcfuCWczYvE2ZrVKKUsAJDflUaacJYbsVYpatIm;Rlx;417793756;1;938879602;7;1707914901605658112;3410730434064363168;16;1706095058134980707;1706095058134983215;-2126868318633246737;99;17959733971001716538;pAiTzS22;1706095058134989422;1706095058134991922;9539606574953117647;955146857;1225175683275708550;1;142;27136;1706095058135001577;0;1298393449;1348435968;2;13032666261227809840;1;8;162115929;2053039731;2;1;1;1;23;22
154;126;12010;0;331;2BLKPTOL;1;0;372;1707914901612562688;11522144454934210624;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;16171179892472711912;kG;sI5F8aR0S6q9fBp73Qq8vMWpqiFCqpqRvY7k6nBPe7HwO2XYXMkvvm9k5D7fX8WxABCrbH;T49;342248851;0;3943033858;7;1707914901612562688;11522144454934210624;2;1706095058136406469;1706095058136408951;-7767706751959208894;99;4019568579980953591;ezqW04GK;1706095058136414920;1706095058136417633;15315678542553772993;587677045;1627130267442967838;2;158;57199;1706095058136427180;2;2039577418;-1712994764;5;12931229708736249931;3;5;1435286782;68518362;2;1;122;3;24;24
154;126;12010;0;331;2BLKPTOL;1;0;373;1707914901621805312;2279895698406778850;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901621805312;2279895698406778850;12;1706095058138383382;1706095058138385887;-4939144131427392063;99;6167312118509427803;VZDdNmUs;1706095058138391875;1706095058138394411;5960361267921482216;433085588;-1516263954430247728;1;146;19680;1706095058138403996;5;-1644912233;1345913397;0;15462438299792907398;2;5;1090566930;1130384320;2;1;17;12;23;24
