msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;eMM;eventId;indicativeAuctionPrice;indicativeAuctionVolume;orderID;orderPriority;orderType;timeInForce;symbolIndex;sequenceTime;orderQualifiers
94;84;12011;0;331;2BLKPTOL;0;0;97;1707914901003436800;11729885641611251846;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;16567839055525559032;ms;RfdgZO6lprsO70UiSpDxvB3wED82l0tyPj1KouBGYbl63kmeuOu1Ir0ZzAEo7lZLvUS0u4;7MW;2798970869;1;2333845261;7;1707914901003436800;11729885641611251846;23;1;3;1;1706095058227076434;9;18364480683447509759;6008441118330066549;6539963465774491540;7350212251591459399;13112303675770121830;11;3;315339150;1706095058227092655;5
94;84;12011;0;331;2BLKPTOL;0;0;98;1707914901006251520;14494636859947293073;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;17467895347737353331;FW;nj0aDOedRgcRQzrXMSZyHe7zrB7U9D95JcLTj7t59GqhecuN1Ilj4b5oHOcgGq0DoSUptv;9AT;693201641;0;3222109028;7;1707914901006251520;14494636859947293073;12;7;5;22;1706095058227388205;10;1599295976462296767;-3307665101018861794;15584236168038921424;6359723733670986385;15130148156202019963;4;6;53738436;1706095058227403644;4
94;84;12011;0;331;2BLKPTOL;0;0;99;1707914901014269952;3474068599310364352;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16917003236363965301;Qk;jwDNjsVITWihoSQqmivXXAnC8XGisn3KeMwqbWGV5vy1gCn4tkRz1RXco3n3Pihz0Z5GI4;nlk;235036440;1;1142496033;7;1707914901014269952;3474068599310364352;22;6;0;5;1706095058228439434;15;6349937595044103397;-3161095885262821971;2208360809790972851;3330822018128716838;2070500071935434966;5;5;136283212;1706095058228455026;3
94;84;12011;0;331;2BLKPTOL;0;0;100;1707914901022255872;13751437552414072399;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914901022255872;13751437552414072399;3;2;1;12;1706095058229805771;15;11875538500360100076;9146641647214992603;14362584338713174469;13133172406202938398;12694691597583398084;8;3;733634346;1706095058229820826;6
94;84;12011;0;331;2BLKPTOL;0;0;101;1707914901023059200;3520299898713818528;K2CDW2BLKPTOL;XDMI;DSS_CDW_test;7;7;7;1434939254082355546;47;jTjKYQIzCLMIoy0DEdEJZrERSYoX1YnReQPfa04AMBCE31CTlzRXOVJhNkJbEVw8x7S8Ns;fu8;1342121182;1;3094473980;7;1707914901023059200;3520299898713818528;15;5;3;5;1706095058229950029;17;416174991629453895;3267780853348626020;17883405418285061304;16216623085343078917;8614338133616209604;6;5;880078379;1706095058229965150;4
94;84;12011;0;331;2BLKPTOL;0;0;102;1707914901023855104;6334545927287206298;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;7233542875087553737;7l;py8nuKQ6UPmKROFkHUE2KnxZ4lm8sjk0YJhOL59oEYqEeMTRaDLcAzoeC2NvwvKPLotX24;3aZ;2929561295;1;3397842308;7;1707914901023855104;6334545927287206298;15;8;3;5;1706095058230096344;9;9357701321037589297;7558436625682333123;18396167857648698291;16811315594707191705;1881114246908907097;3;5;839729658;1706095058230111055;3
94;84;12011;0;331;2BLKPTOL;0;0;103;1707914901030247680;9373502983468573528;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;10051211470154715749;tC;wgmMI6ngssJn0EcunmK2dTb6FGJjDGePQQINhET9LzV3FsVXuButMIPC1zO599CbfCLteg;2Jb;2164436114;0;3984001619;7;1707914901030247680;9373502983468573528;17;3;5;12;1706095058231361171;9;13713310916120148320;7792636921052092380;9350065896559668897;17862985830852807903;5591685675184605124;5;6;302074901;1706095058231375832;5
94;84;12011;0;331;2BLKPTOL;0;0;104;1707914901031043840;5930735714789830194;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;735870582654623346;BE;qUPQJFdet2tqfkZnBzE4fibDY4YKbdn1ADWcSBhfOfMWgRoj4PdwiQ1YNIaSE095MGkykK;9z6;2471500330;0;1795999533;7;1707914901031043840;5930735714789830194;17;5;3;15;1706095058231526511;5;7170360383521342217;-5681981981342692300;17194682132423578621;7185246955820884612;9825943237923020393;5;8;641357936;1706095058231541515;0
94;84;12011;0;331;2BLKPTOL;0;0;105;1707914901047579136;1791981456858766438;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;18224159925091816607;5G;IdH2iGRSsECR28fUxdAZ49HAvvcHbOuSKed7iA6F1ATAnZ6qzjFI3Fy43YAgp2tfa145EI;qwC;3235506832;1;2147312822;7;1707914901047579136;1791981456858766438;3;2;6;23;1706095058235364602;8;9461087226007725602;4184853346740269997;4659646258769803862;5216449790924595961;856896393599934429;12;2;120173096;1706095058235379233;2
94;84;12011;0;331;2BLKPTOL;0;0;106;1707914901049441792;700299092444183046;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;11511670735128227535;op;Zvgh0HbknVhKNb5TpOLJ4fK0Np3zqNFTeIcnnmSJ9q7v14MbHCK1cTRaJ7BQzvZErou4oY;mAM;3853572414;0;1850639244;7;1707914901049441792;700299092444183046;2;2;2;1;1706095058235796214;7;6363907245790693016;-4732675638335048122;7418164239932866195;5659631121930895983;11315303401627902831;9;1;37149125;1706095058235810990;2
