msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;eMM;eventId;orderID;orderPriority;symbolIndex;displayedQty;sequenceTime;orderQualifiers;regulatorDisplayedQuantity
92;82;12012;0;331;2BLKPTOL;0;0;110;1707914901003409152;17987245267641829474;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;8445089558153260292;oC;tNR9GZMegQGUSEFrWY0ZHM73TsfCZc7bEwyByBpHhhUgLWxhcYigs05uXKbIhT79JcPC5I;pDb;48157226;0;629981124;7;1707914901003409152;17987245267641829474;18;5;1;16;1706095058288781367;1;3807395420573202872;18022357699001614275;16082802457168390160;213087042;12482980654497742253;1706095058288790338;6;6869951993687844219
92;82;12012;0;331;2BLKPTOL;0;0;111;1707914901006180096;3795628804813882060;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;15091849173177922452;Uk;4rmtjvMNPNdDdat80PKsOx0KpxipsdvQVYudUaj8nDOBbj9LSbfbZYT8ElJdLthji0Kv7L;DMc;3083321081;1;695650919;7;1707914901006180096;3795628804813882060;13;7;3;4;1706095058289072996;14;4212651982283885466;2098328697771572936;14287599388354511924;778983872;17391579668008939012;1706095058289081956;2;11833329628579675966
92;82;12012;0;331;2BLKPTOL;0;0;112;1707914901022815744;17457008123100275770;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;15944547988559204306;dh;BsdLkFYr1Aar69IQf1zIgi2ljD8TsO7fMRuUG2Bz2MlgLTTEJvi0VjBxjof9oMWgV7JRiT;1Vy;759889583;1;452097841;7;1707914901022815744;17457008123100275770;2;3;4;3;1706095058291449597;1;17266170851749136977;13393463203815223269;2135722458597585532;662272845;10944468201506259327;1706095058291458432;4;17684455841381582275
92;82;12012;0;331;2BLKPTOL;0;0;113;1707914901040453376;4169907077310715513;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;14738162350122594880;9J;t5FqON4msuDdmTI6kSjPOEt0gLi20GST6Fewkgsh8keUP8SsRGu3Z175EpVeNAi6B8r8Gm;gYB;2295104860;1;3752047070;7;1707914901040453376;4169907077310715513;6;5;0;11;1706095058294819409;5;16592517788354117237;1487524175403246335;6367878319111462348;682402479;15100923337181271824;1706095058294828442;3;15240934063038310450
92;82;12012;0;331;2BLKPTOL;0;0;114;1707914901045244416;7031841959512289261;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16107250302887779993;Sh;y5iJI7lKI6H9U2Vq7qGynA6byv0VAht0A7Q9oaYZdJr6LJKQSPb148FGbyj3blgpXEPuVN;6dU;2743569216;0;1129791786;7;1707914901045244416;7031841959512289261;15;5;3;14;1706095058295947789;8;11568041411965858511;17362040412218235294;13130182215925117420;418664403;8814563317136632229;1706095058295956797;4;5557158105853988298
92;82;12012;0;331;2BLKPTOL;0;0;115;1707914901056571392;765222292376894405;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;11552654860280982924;o4;slUFfWqNLrwNHI1iSdCkGni0lGVV9NFTo3Mgl3gZUaowrDecGpXRDT5ItiutYfbNu5fG2D;L11;139323470;0;3933947039;7;1707914901056571392;765222292376894405;8;1;6;21;1706095058298640723;14;13678755682906970719;7075856519703894311;16543688189117255954;624214946;13767196672501055520;1706095058298649716;5;1067926529925812489
92;82;12012;0;331;2BLKPTOL;0;0;116;1707914901061332992;15504376015402912813;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;2808618809613454277;3p;4KSTodHB88pDPow5fKpEqgnfimfTagNDvfM3EddVYqBlAdDkXIwq5HNzNYkc9HQwBmdHCF;bi5;3849503028;0;1744694244;7;1707914901061332992;15504376015402912813;4;6;6;2;1706095058300006737;10;10550511766906028067;15903366505463706760;3309306161894460136;213949604;4613507247779230116;1706095058300015741;3;1361322964333526722
92;82;12012;0;331;2BLKPTOL;0;0;778;1707914901286083840;6734162029636786697;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;9222983221400517313;oi;nsSiNFv22775HnasYddBsXGpDWMQiL2lLW0ENLgtoMKC1O3HNSjc1tJWpuoMtjgByDoUQQ;8ZD;2235014983;0;2553562222;7;1707914901286083840;6734162029636786697;6;4;4;15;1706095058317814485;11;15516619471277271949;17177761656724428350;4579062487032878546;132552347;17117738742127284018;1706095058317823338;4;9567192192015983355
92;82;12012;0;331;2BLKPTOL;0;0;779;1707914901296799744;1700419675080341340;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;2214246784611142582;Em;nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C;aDz;3596835518;0;932878956;7;1707914901296799744;1700419675080341340;12;8;5;5;1706095058322638875;5;7869152328477483336;5496472126539874767;12842037985386609406;519103305;81513775574977796;1706095058322647488;0;17441830827851031118
92;82;12012;0;331;2BLKPTOL;0;0;780;1707914901318289664;13991153356526278603;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2864216930367635044;lo;67CogyjJh5BIwZmPmCruYc6aWCJ0zPxHvLqKAg6cSQfazQp2TRoJIhaIsRVuvXt2tqGnrE;7U4;1653924567;0;2095074526;7;1707914901318289664;13991153356526278603;17;8;7;13;1706095058333769244;10;15782198278121668200;4165317704516151916;2726638589169549620;235516096;15403117987099439312;1706095058333778022;5;3982284542443071705
92;82;12012;0;331;2BLKPTOL;0;0;1085;1707914901591287040;13440521574401997072;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;735870582654623346;BE;qUPQJFdet2tqfkZnBzE4fibDY4YKbdn1ADWcSBhfOfMWgRoj4PdwiQ1YNIaSE095MGkykK;9z6;2471500330;0;1795999533;7;1707914901591287040;13440521574401997072;8;1;4;1;1706095058341554876;7;10269598288316740083;5364886657736972558;17461464051716278079;641357936;2349653096560604528;1706095058341563769;0;7998913988875358820
92;82;12012;0;331;2BLKPTOL;1;0;62;1707914901016394752;10288300718081917990;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4640402740626867509;ip;TO96hkuUkDICr2jjAYWIfrWOXmdSiGesV7DAK8LapQei2GowH06EGxbUpgzAmJ6n1NREUD;Cei;1113971318;0;339277556;7;1707914901016394752;10288300718081917990;12;1;1;14;1706095058290403410;17;9461386094448362816;10972639321859618907;17279467053435171546;162618251;12286273594258979774;1706095058290412278;5;3198557155200331234
92;82;12012;0;331;2BLKPTOL;1;0;63;1707914901029995264;4639285992781990293;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;3871136976767915508;no;OajY2qlWR2HM4F0bMOfPfMkm7mnoIvYqUq1qJAluBmPejFZhD5FXJZ98GN3eDGRjBzL2Vb;uK9;599176339;0;1991586982;7;1707914901029995264;4639285992781990293;11;2;6;9;1706095058292776162;17;18081351625834724506;18025130326070764400;17931152967759805127;911319188;12299980438954477653;1706095058292785035;5;18159379521802962663
