msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;eMM;eventId;orderType;orderID;orderPriority;symbolIndex;orderPx;sequenceTime;orderQualifiers
85;75;12013;0;331;2BLKPTOL;0;0;354;1707914901040139264;10989134702001314400;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;16538608658982160848;YD;rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF;Z9l;1149410083;0;2517573438;7;1707914901040139264;10989134702001314400;14;4;1;15;1706095058351952554;15;1063513147133454799;11;5553765531384969337;12448163341362941360;564169381;182528035634102061;1706095058351964857;1
85;75;12013;0;331;2BLKPTOL;0;0;355;1707914901041758208;1287900141019419846;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;13023257585034230035;DB;tutQDaGhbA8MTq6zU695v4jck5egsnoQIb8AXaBq7GmGhLVVR7OFghoj6icYlmFDzJ7xKs;6yH;2168245239;1;948051717;7;1707914901041758208;1287900141019419846;17;7;3;17;1706095058352318167;10;2948570952869357443;8;4091208303923322619;15741365572931693385;451829176;7668943268834629522;1706095058352330241;1
85;75;12013;0;331;2BLKPTOL;0;0;356;1707914901061190912;12121436608136950697;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;5295398863502197985;ea;f3R6BUopgMEyJetj4PlB2oLfR0DEY5lDmXcdq5h6s2QqEeqOjtbEQO7rAPF0wlluxjRhKW;zoY;2022587352;0;3677129230;7;1707914901061190912;12121436608136950697;11;7;5;17;1706095058357164672;11;12221335837657265177;10;17054187263524285312;17928206426901389843;869985226;-2235879808045040304;1706095058357176567;3
85;75;12013;0;331;2BLKPTOL;0;0;357;1707914901069913344;4936417239025677091;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;18425908593694622649;hb;tH1LaMjfiFF3GpkHqYiGqBzam734WYCwZHudzQScj5fS5XNSAo6xzhMsTHTE4StM1SWRft;0Qv;3114588180;0;2620991329;7;1707914901069913344;4936417239025677091;9;3;0;17;1706095058359879507;1;14557280660981653081;4;15082709860677798237;16312200034106812190;942403957;-4011363374464602959;1706095058359891449;6
85;75;12013;0;331;2BLKPTOL;0;0;358;1707914901081028608;12669160724139848818;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;735870582654623346;BE;qUPQJFdet2tqfkZnBzE4fibDY4YKbdn1ADWcSBhfOfMWgRoj4PdwiQ1YNIaSE095MGkykK;9z6;2471500330;0;1795999533;7;1707914901081028608;12669160724139848818;22;7;2;14;1706095058363687027;7;11032305905227155548;5;7744258349753737495;6341061692862997107;641357936;-3529677662818344890;1706095058363702802;2
85;75;12013;0;331;2BLKPTOL;0;0;359;1707914901092739072;16095121116098650336;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;18446744073709551612;GY;cFOR1cVJ7MtXpi5RnS6p6mB2HGb6CRGcAxzLaYwmDkgkEKnGzpQsGz8Atlbfe3SZ2qtJqi;ll3;4294967291;244;4294967294;7;1707914901092739072;16095121116098650336;6;2;1;13;1706095058367610823;7;13653996038525550979;1;3672614681061768722;18251988543518788073;142043921;-9029196214639709825;1706095058367622615;5
85;75;12013;0;331;2BLKPTOL;0;0;743;1707914901278736128;9511576928387032881;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;2337247468056382699;Ae;tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls;kFF;3527223126;0;4275500947;7;1707914901278736128;9511576928387032881;15;7;4;16;1706095058371581161;8;2355309429526845209;13;7277522893997402109;2959977270347528716;697925876;5073839068490289581;1706095058371593525;4
85;75;12013;0;331;2BLKPTOL;0;0;744;1707914901283533824;15839047711330595423;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;15683498924355126261;B3;XL7LD750JEMIYKXnfj7zDkIsCRMjbRP5F7M9G5dx4rdg4yFIQTTWlFg3KQofDkxNvLDpgY;oOU;3451839064;1;2587173959;7;1707914901283533824;15839047711330595423;5;6;4;18;1706095058373720782;17;2074821455858092147;13;16001007648959581872;11263860740115350363;780255171;-4598528870340934720;1706095058373733024;1
85;75;12013;0;331;2BLKPTOL;0;0;745;1707914901284330496;15534213206931458590;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;11037862016003139632;TY;cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr;5Ty;2794813678;1;2305051789;7;1707914901284330496;15534213206931458590;15;1;7;22;1706095058374077365;17;3331170472840541192;5;15929797898196801639;4942811184171639184;397856163;8973842058079436709;1706095058374089711;6
85;75;12013;0;331;2BLKPTOL;0;0;746;1707914901291511552;6847883913165805194;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;1707914901291511552;6847883913165805194;17;2;2;21;1706095058377379243;8;3395766266528376799;7;973041953626711872;7341386572103650129;941734235;1074696089484403466;1706095058377391448;1
