msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;eMM;eventId;indicativeAuctionPrice;indicativeAuctionVolume;orderID;orderPriority;symbolIndex;sequenceTime;orderQualifiers
92;82;12014;0;331;2BLKPTOL;0;0;117;1707914901009913600;15232571704681957609;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;13427938165684466644;nf;jUZ39D8GID7zdBueF0jDztsLCdCnXsiDJhtZTV4dNbQm13xw83bjwOTsSxJM2jxTC0cCxi;6UR;3504059426;0;1595551522;7;1707914901009913600;15232571704681957609;7;3;7;4;1706095058406662156;14;6366856376387120941;-1631533173921753421;17876263551393584752;14712530692457173302;5747620824681674827;485081213;1706095058406671204;5
92;82;12014;0;331;2BLKPTOL;0;0;118;1707914901019632640;4076928772507998124;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;2214246784611142582;Em;nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C;aDz;3596835518;0;932878956;7;1707914901019632640;4076928772507998124;9;7;0;5;1706095058408108392;6;2761515148289850087;3024568984564214723;4172898701844049806;6709222643767206102;2740887314593262171;519103305;1706095058408117649;0
92;82;12014;0;331;2BLKPTOL;0;0;119;1707914901023608576;11950692818771053944;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;18425908593694622649;hb;tH1LaMjfiFF3GpkHqYiGqBzam734WYCwZHudzQScj5fS5XNSAo6xzhMsTHTE4StM1SWRft;0Qv;3114588180;0;2620991329;7;1707914901023608576;11950692818771053944;8;8;6;5;1706095058408782141;7;15588412603351983088;-2104587052316376354;18313792481708188678;16519091219762435626;1390898705408325676;942403957;1706095058408791083;6
92;82;12014;0;331;2BLKPTOL;0;0;120;1707914901024392704;10597129049742412671;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;2337247468056382699;Ae;tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls;kFF;3527223126;0;4275500947;7;1707914901024392704;10597129049742412671;16;4;3;4;1706095058408921370;7;14696815426289358639;-263328499902703874;10933214874664265087;895472502596669076;9829419481194737741;697925876;1706095058408930028;6
92;82;12014;0;331;2BLKPTOL;0;0;121;1707914901025186560;11378362943081703780;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16081107132960409725;GG;Bdeo6knsWTbefYk6hQBUG9ZEkHUnxWPtTMfZkg6tKIaHikanm5bSHLTy1Bgd2xao7wbV9n;9UV;468501852;1;2448287991;7;1707914901025186560;11378362943081703780;6;6;2;1;1706095058409060211;8;8407689991324918200;913517088433822299;1041486438181938993;13235689984927280683;11012461149662388057;579919728;1706095058409069346;4
92;82;12014;0;331;2BLKPTOL;0;0;122;1707914901042105088;4719408293456027475;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;5892877872095613379;Ss;kWHhmWoknEaGxT1WyJCvNLfu2XlIZlLFCd2zXjvRDcdkP8NeB5bqJGXzjVURzQvY7jpsh2;9Dg;2611233839;1;1151219429;7;1707914901042105088;4719408293456027475;9;7;3;17;1706095058412284471;4;5730828111839351982;7896299232316822405;10976760355028912487;13641486256239137199;10733869586734876313;146079271;1706095058412293212;3
92;82;12014;0;331;2BLKPTOL;0;0;123;1707914901045305088;11847263332930039802;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;5335225445799982555;AD;Jg6ib2ZECG9EPFc8IFgyokv5r12rEQ5oTwjHF9LFx3q7HRi5vQoGCXGaavtZOIynA2xqhd;XIU;1988816536;1;1403079657;7;1707914901045305088;11847263332930039802;6;4;3;2;1706095058413030959;1;450314860230434769;4951203783013176672;6972055770728878473;16271447211095763277;12137165539348355605;356770038;1706095058413039951;0
92;82;12014;0;331;2BLKPTOL;0;0;124;1707914901049496320;16198852900299499315;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;14023083985803221550;Zn;cbM7jmfmSkhjoVAIY88F9wWuxeuQ4guNlDUrAWX1J5fXD39GlFbiuGfj7xQEkuXk1ZM71J;tYG;369584988;0;1209581377;7;1707914901049496320;16198852900299499315;23;7;1;2;1706095058414004577;4;14353773882396836052;7588057293385900491;3996861205827064606;5027402946408358143;16398633139609477909;923345875;1706095058414013504;0
92;82;12014;0;331;2BLKPTOL;0;0;125;1707914901063658240;15155176254851892247;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;6626312878980010912;A7;XpJ7cVaRyMP30xrLVjb2DWNh9ZaSjgvjw5YoFvjZvV64vsdrARuyXeNZBwa6YHzBH1Vevb;95U;313942368;1;3542517590;7;1707914901063658240;15155176254851892247;7;3;7;7;1706095058417712769;9;7588878892527612158;4271732373330480603;6901311336604916114;7596411887881167541;1482782663856589628;782873053;1706095058417721837;4
92;82;12014;0;331;2BLKPTOL;0;0;126;1707914901071561216;13979956739469824937;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;9126161773135246369;V4;b0SGWAvUgBOnw7r5EbqcROWq1cS8TKHYtIc5hpmMFZRim2fOGhJMTC09Cv8KXMWllhQ6aY;HqT;111313295;1;2239711727;7;1707914901071561216;13979956739469824937;12;2;4;22;1706095058420182005;6;11493362593687711664;-5722287879912999605;10069488391032204482;2905300842278525990;7657337751126894480;104997053;1706095058420190572;6
92;82;12014;0;331;2BLKPTOL;0;0;127;1707914901073971456;15681778063320547681;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;12369365502866502262;yp;Bif62lLmaxmwv5WSDVLqX1246SlTdVDRbRl4rFJi0pEe6wLFagE8My6OsbFa5j5vjUAqie;jEL;4083509881;0;2262818496;7;1707914901073971456;15681778063320547681;3;6;3;1;1706095058420961453;14;4049800631862273878;-5390446931946121416;5930538741687027649;9358683703941470036;11719283322303509995;365314678;1706095058420970282;3
92;82;12014;0;331;2BLKPTOL;0;0;128;1707914901078736896;1984596010833397066;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;17295773724827141798;A4;Yd484WmiJB1ncMsdjpMfE0HTf3gzH98sRLJY3K7sJDtxO3CNKF1UtOqhahX4ZGxyetjsCC;nRJ;4063280419;1;1961639532;7;1707914901078736896;1984596010833397066;22;5;1;13;1706095058422577759;15;9231317040890352321;-8490211444029472236;12339738535864399220;16716787705772846862;9705297029150738164;338709066;1706095058422586505;3
92;82;12014;0;331;2BLKPTOL;0;0;129;1707914901087710720;2109757556241122018;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;4162630343438579170;Wo;iIrXrGD84i1cSExhKh5ydTAbUaFwYpEYYS4mqlWJr1GtvOT0c7ptc6ShJaQNyktb9AFOHu;yhj;3270525008;0;2643206244;7;1707914901087710720;2109757556241122018;4;7;7;1;1706095058426279328;10;16527688755804326350;-6683119170993313835;10021054195947217805;13142550594797850748;1009145296693660182;164996825;1706095058426288333;5
92;82;12014;0;331;2BLKPTOL;0;0;130;1707914901096038144;12507691273433750781;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;754693969242946701;Lp;DUkXLrYRNI1obHwI9il6R6yM1lpfCA8ENzPfpHkthVMg2AiUr2rEiu3TUUVkCMkZfQBEB4;PvH;3292635971;0;4077098094;7;1707914901096038144;12507691273433750781;11;3;7;10;1706095058429057616;1;17539891168154213689;460593288725478338;2504490449730580439;2704649250572104298;13114678796005860453;24832667;1706095058429066503;0
92;82;12014;0;331;2BLKPTOL;0;0;131;1707914901098430464;15391032540904084579;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;7284258380882109656;UL;36AaBiO39uTJw7NsyPbpCrBnqtspYw7hDsuTe9k15jb6dltAlX8xT3KgYKNTP7IzM4jvc9;MR3;786392512;1;2029096719;7;1707914901098430464;15391032540904084579;6;3;6;22;1706095058430019396;5;15336168171682632179;9169445503629122912;8926555098364475833;10653586262317612574;909653957951543373;645935213;1706095058430028220;3
92;82;12014;0;331;2BLKPTOL;0;0;787;1707914901293461248;11032066878982354372;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;15683498924355126261;B3;XL7LD750JEMIYKXnfj7zDkIsCRMjbRP5F7M9G5dx4rdg4yFIQTTWlFg3KQofDkxNvLDpgY;oOU;3451839064;1;2587173959;7;1707914901293461248;11032066878982354372;1;6;6;22;1706095058438669654;99;16666373005526813394;-3030317809533588705;2849202542836465029;2899844593873823716;6549009110384504996;780255171;1706095058438678727;1
92;82;12014;0;331;2BLKPTOL;0;0;788;1707914901295828736;5705054895887592046;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;11037862016003139632;TY;cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr;5Ty;2794813678;1;2305051789;7;1707914901295828736;5705054895887592046;8;3;7;15;1706095058439804866;17;16718566383665913218;-2198380802059504631;8349419303069039398;137539556896916097;4929386881038924352;397856163;1706095058439813833;3
