msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;bookIn;clientOrderID;eMM;eventId;firmID;orderID;originalClientOrderID;symbolIndex;oESessionID;sequenceTime;orderQualifiers;MSC_eventClientIDShortCode_1;MSC_eventExecWFirmShortCode_1
107;87;12015;0;331;2BLKPTOL;0;0;257;1707914901018150400;6690305538340244964;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707914901018150400;6690305538340244964;11;1706095058465151493;-2836219794554289233;6;7034520905954443075;xG0FEebN;14579139107341903066;8567891752333478976;836350944;8485394468547748784;1706095058465160790;6;-25943607;2010461268
107;87;12015;0;331;2BLKPTOL;0;0;258;1707914901028998144;7883618639078841944;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9848883454440340583;EJ;pcRDaAkms5RTF26dRq7DsjfOELBZharWXfUGlpiGd7tKUl4j703deHGQYpLxc9a62m1XvL;gn4;4139956870;1;1521830368;7;1707914901028998144;7883618639078841944;19;1706095058465844999;8824067970576626603;15;6027098781599800159;V43Ci0EU;7788812255318556632;4684816852704577247;783519657;8938070470313103188;1706095058465854213;6;-1105420407;1519421185
107;87;12015;0;331;2BLKPTOL;0;0;259;1707914901040303872;8714158711646445987;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;1923596569799240162;YR;MFDMUANVIMKjubSSj2x50ufkIL1e4Rgmj6OsyJa2SEzT7K3LP3jr6h7jIJb0biQz3RjPcR;UQl;260465426;0;2334806526;7;1707914901040303872;8714158711646445987;15;1706095058466631206;-2700144867132156911;9;3688294058545821384;Ck9gkz4d;12208725393953298467;-5609249966031160875;742696025;6969483415417165551;1706095058466640170;1;71146793;1922169983
107;87;12015;0;331;2BLKPTOL;0;0;260;1707914901049516800;17117891524106158233;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;10967367424687215335;2v;W5yenAAoIomWU4kALbRaJMKENpFvG1I9IofaLLylfSITmofckklNWJLwhcjGliIh3jXYYc;LVD;1587570106;1;2079309820;7;1707914901049516800;17117891524106158233;2;1706095058467374854;-4732187421086385454;8;16222870566337861819;boQG9IEK;3100229007884299373;-2065408695548990282;726810605;4859498279029390652;1706095058467383714;1;1848495494;-1456264386
107;87;12015;0;331;2BLKPTOL;0;0;261;1707914901074304000;3222496713588622835;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8695965697730502662;dW;YOhJY9QsMyy7kB0oDnWSP4wzHU6mY2lBGgr5xNESnl0A58iBpZmbFbk23YtnKFzQYZGuON;RgQ;574056598;0;1464455073;7;1707914901074304000;3222496713588622835;14;1706095058469691048;4369098245102379722;6;2928960385099801108;oklAGSQN;9240263117948895718;7179700577163332700;659932215;10647520006089156245;1706095058469705134;0;339705175;-821582981
107;87;12015;0;331;2BLKPTOL;0;0;262;1707914901097997824;5843984820799919418;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;5200628661262325779;9t;d7lSQy6i8V7QosbRjZFj0leMKk6MWoIgX3jYRFEjPD53q5PYmbMVc1rObMm3tzUH8ejqAv;epj;3570621880;1;1830681795;7;1707914901097997824;5843984820799919418;7;1706095058472345065;-8649259871343135125;7;16643535692608621275;GJjE16Vu;14285560411431036465;3033067391836323281;25531303;17984226343142516616;1706095058472354191;3;-1426859491;1899110045
107;87;12015;0;331;2BLKPTOL;0;0;781;1707914901289165312;7250575871855384783;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;741129824976247114;V4;chHa6bIIiZTLJo7rACHr2Ieb9atyEAmamnhMWEeRB4m6iezgRFDMqi4Uh93DkPOtnL9RZd;Fef;2845345562;0;3018145225;7;1707914901289165312;7250575871855384783;7;1706095058474334551;-7534828138548807452;10;1877458659788915937;EMz0gp3S;18112104929256353048;-3368300585036373578;765519849;15136626555512452917;1706095058474343817;0;1247235904;1120954532
107;87;12015;0;331;2BLKPTOL;0;0;782;1707914901299977728;15553704973383930837;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;1707914901299977728;15553704973383930837;18;1706095058475837530;-2950075062549775627;99;2768318855941074648;HaL54YZC;2351778602069534780;-2689445204197103608;168342053;8242766014925520278;1706095058475846682;6;-359472871;-228760774
107;87;12015;0;331;2BLKPTOL;0;0;1116;1707914901609572352;17552530065968159230;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;4304038278104595839;bm;cthTYnAm2VXfdsNiky5YLoSlKJbVrSZ5jhjTDUp9eaB9riBAV1Wt4PTdhcD3MoOe5Hihu1;ZGz;3460919413;1;3053356509;7;1707914901609572352;17552530065968159230;11;1706095058484242052;-3826898713937697368;5;12062789973311763544;yMzWbFSc;16464444307142862355;1648029070414757344;526725252;6829154641400687378;1706095058484251562;3;1110707290;-3118546
107;87;12015;0;331;2BLKPTOL;0;0;1117;1707914901632512512;1883506030312613023;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;1084506781393670789;Bt;6IblcImme8QpQBuSbpO9lKVbRq5ILNPUpatLf59V3Il0t3L2on76peqY7hi7LNKQpvxiOS;2PM;2586114677;0;2274376626;7;1707914901632512512;1883506030312613023;7;1706095058488768840;7213987320889705668;5;2310681332306267314;qtMieqiS;17770224673455602887;-3918363950239949579;168342053;5874229600028422632;1706095058488778000;0;-303734894;-2069933826
107;87;12015;0;331;2BLKPTOL;0;0;1118;1707914901643164416;7614280139100461232;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;12394693413727062746;ug;X9exMBSwqxeUwLunKGKCTjR8wTRIlMdCgfs8Fj3rFIlS2fYNzBvSBwCBG5QzY8TICdAyHN;7lO;2180949356;1;315526868;7;1707914901643164416;7614280139100461232;21;1706095058491014703;-1857803290788489530;4;463573846356631415;vWmwoaKB;3543560552310461707;120162505705597833;179056924;840365665058271266;1706095058491024005;0;1972515523;435036369
107;87;12015;0;331;2BLKPTOL;0;0;1119;1707914901656938752;17816179701560252373;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16081107132960409725;GG;Bdeo6knsWTbefYk6hQBUG9ZEkHUnxWPtTMfZkg6tKIaHikanm5bSHLTy1Bgd2xao7wbV9n;9UV;468501852;1;2448287991;7;1707914901656938752;17816179701560252373;16;1706095058494067404;8317150444108107560;5;16678993543678010420;LYFqrAMN;15735704789061226715;-5003514635665938525;579919728;9719370729259191467;1706095058494076508;6;1746555581;1907948880
107;87;12015;0;331;2BLKPTOL;0;0;1120;1707914901664596480;2221725257251224578;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;1323854212775701313;0o;562u7DQtJopIhShkdQZ3Vq8sZS6BWkh9hdm1NDrMqDrwhBo8W15A9mhrXOSdjEe7V2iG69;jLI;1364211919;0;1396619064;7;1707914901664596480;2221725257251224578;21;1706095058495822776;6004586679864289895;99;16163035997922825117;1KHQhqHX;18192874727167807104;-3852945676148007835;154123499;882061158160149724;1706095058495832367;0;-1597692655;2104218457
107;87;12015;0;331;2BLKPTOL;0;0;1121;1707914901672233728;11265589473844018649;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;15219404500678569998;yU;pYzfInj10xax2M5eN0Ke21OzovwHKLodoySra3aH7sMfNBDCiJfUz5yNXX19Wc8nlwiIzW;xNJ;2649737116;0;3640176814;7;1707914901672233728;11265589473844018649;15;1706095058497625860;3963536554126505116;15;16371633322825479593;OKxxSl5R;3656124490079204375;604141240169665841;411542454;7365271066446220942;1706095058497635117;5;1168322701;-2057637534
107;87;12015;0;331;2BLKPTOL;0;0;1122;1707914901704381184;12024078330187623103;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;7487099411368351722;Bp;Lkk9fF6t7UC6GukUtZADRKWjTIeSlGoiGJS6WvmWR6YOfHzmxGHnHnUBkRnNyovH1gTYhE;2Qt;1829541870;0;3035844106;7;1707914901704381184;12024078330187623103;16;1706095058505713149;-5005629212491553555;15;13195439907939774048;nAGLoI6H;6559554408023800638;7798897961576589669;315494969;13250024373978643074;1706095058505722625;6;331198702;-534942718
107;87;12015;0;331;2BLKPTOL;0;0;1406;1707914901730311936;6853808221723712695;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10031496303304613600;aB;ePRcPltk3UajEtJmMiK95nZcnGrIeX5vVx93sIY4arXRWZyFoVJcM1QHPUCb43MhHuzJ2B;BSj;3477342094;1;2703678993;7;1707914901730311936;6853808221723712695;1;1706095058512917633;299417203231036192;10;5134801507074104673;rWnvoPOp;7125572614939709057;2152773041254022163;843359534;2253085098230092227;1706095058512926648;3;1300834418;1913042925
107;87;12015;0;331;2BLKPTOL;1;0;52;1707914901008845056;12899718024040040765;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10618195290529947463;CQ;GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD;AAq;2681927103;0;40643180;7;1707914901008845056;12899718024040040765;20;1706095058464623261;-5100530903298385071;7;8047756092269419002;gvWAMnGq;9820730511186831536;5798423046884986092;703220993;16186731748104206863;1706095058464632882;3;-2145765125;1864444870
107;87;12015;0;331;2BLKPTOL;1;0;53;1707914901011943424;4218028908315132226;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;12542800833602624961;yI;Hf9fLzOBmlrkamWAHMwkjOWBQvKSsP9p5uGLaTYehw20VUtMKlX6GODnRU76H2MSQzzETU;NDy;2458137713;0;3291237633;7;1707914901011943424;4218028908315132226;13;1706095058464800775;-1342874499913605981;2;6785579880951848774;PpSZWTKE;14592410569389195148;-7933489734318266591;273371376;11452367440201690356;1706095058464810030;4;2034999193;2118717140
107;87;12015;0;331;2BLKPTOL;1;0;54;1707914901021271296;4595274738546298495;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9607954405898040147;M0;jBvQLfCUaDTDRXO4nr0UuFYqDGnNvjcmsoxwNrf4sMSpOkPfRkA5FixoCGLynGRKvmTgwQ;65k;1518471675;0;3902323836;7;1707914901021271296;4595274738546298495;4;1706095058465336786;413103825873486285;17;4240193131122837237;wV0l1eA3;18099576649643828874;5834768879035497763;912775729;18166318827764850597;1706095058465346088;0;522715533;-443635746
107;87;12015;0;331;2BLKPTOL;1;0;55;1707914901025916672;1119253087388826033;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914901025916672;1119253087388826033;14;1706095058465633946;7384336864049075356;11;15297749421373329595;85X1Xwx4;11900867730518790401;6576746681360930860;946518645;13156737197452006322;1706095058465643112;2;-1860942498;-2132005810
107;87;12015;0;331;2BLKPTOL;1;0;56;1707914901051411712;824867778353415620;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;14761009529419667952;aD;mojCgy7BXlXPGI63DNU3a0uABAYLomA80ZrKAEd5S7V9LfwSPUjVPNA1xFA3ivzUQ4M9Wl;oqS;3649434989;1;2752062206;7;1707914901051411712;824867778353415620;18;1706095058467505400;-1056091214923884712;7;18184808177504543768;Rhd2Mz2t;1019985388421952352;-4674838576362203274;911386486;7993475565331221922;1706095058467514532;0;-1865959740;546615293
107;87;12015;0;331;2BLKPTOL;1;0;57;1707914901054467584;4897011672163435864;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11871043582309635757;bK;zWIRpiGwyQnoiWiYLZUbYqgmNpu9KQRkXbitvFOIP16LfGeBnvxLxJSkh0hD88LU93YBRX;n53;4133966827;0;2968765200;7;1707914901054467584;4897011672163435864;4;1706095058467772286;-8855906695722957826;9;17985143692645578740;S0lwH8D7;14394789597677847398;-1164440167032595342;952282621;18360322333873704843;1706095058467781400;0;-2001181302;924077249
107;87;12015;0;331;2BLKPTOL;1;0;58;1707914901059064576;10770086403074832312;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;3983510484137490242;dc;IOK56pu3c95aJY8hh1x3CghAlofEmRvbKRTBp8l2F825ckvWjAQqp8lqDPQ3m0SoxVIuEX;gSS;2337822234;0;121355362;7;1707914901059064576;10770086403074832312;7;1706095058468182266;-7112268320299630398;14;17409977345877007779;Tar6BeXs;8497083228623721150;-487180317982546730;870348840;9009882865796715974;1706095058468191419;0;-1747632361;-316161099
107;87;12015;0;331;2BLKPTOL;1;0;59;1707914901062115840;337813867790875534;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;14314350040313475973;yO;8eDcpA7oK5EP9K3MiljtqBR6JGKHXB2SSd18IS3WvcN9aNylqL27mpzDWq6MDFTydNd6Re;OD9;3962766034;0;1016289431;7;1707914901062115840;337813867790875534;6;1706095058468466344;3364834301614662959;5;2457702369464680144;K5Z9xoiT;17897518194777214239;8044170455508482925;968476971;17742876433616582335;1706095058468475307;5;-1429472918;420337426
107;87;12015;0;331;2BLKPTOL;1;0;60;1707914901072787968;10380962059509304325;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;15219404500678569998;yU;pYzfInj10xax2M5eN0Ke21OzovwHKLodoySra3aH7sMfNBDCiJfUz5yNXX19Wc8nlwiIzW;xNJ;2649737116;0;3640176814;7;1707914901072787968;10380962059509304325;7;1706095058469531317;-4827199385921198320;6;12410111949559967772;K26fJSrA;8397337697048623583;-8886392790448147078;411542454;17334353767789158838;1706095058469540754;3;1016598989;737461617
107;87;12015;0;331;2BLKPTOL;1;0;61;1707914901080448256;15512022442522438359;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;14925397566473685119;iA;Ogflczs4rPshlHD0xP9maECwutCVkBj1hexeed0dAaheiydN7VDBKjScu5hRkrQTaH97Cp;CKB;3973333575;1;1472418203;7;1707914901080448256;15512022442522438359;8;1706095058470361420;-4607474618510658346;15;1066777748949864020;VUQ16gIc;3402764854613781057;-4514896108653485044;75493707;1806599423079317196;1706095058470370807;6;646370927;852093437
107;87;12015;0;331;2BLKPTOL;1;0;329;1707914901313684992;3847782784777491664;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;432575572496956472;51;ZoN8AMqKRSFWAZmSVY89AUkV2eY0sqm4DpjgHMC8Q4P3OhOdI5SJqnIub1mGZw59Y8JsnT;1Oh;4154696354;0;128672798;7;1707914901313684992;3847782784777491664;14;1706095058477918021;-8780960287944650907;14;17313912594529860279;jI6JjI3I;15658872519535549567;6420518617574656891;48267691;5495526594984079727;1706095058477927298;6;-410280056;1662928756
107;87;12015;0;331;2BLKPTOL;1;0;342;1707914901327391744;7347270792427220173;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;17295773724827141798;A4;Yd484WmiJB1ncMsdjpMfE0HTf3gzH98sRLJY3K7sJDtxO3CNKF1UtOqhahX4ZGxyetjsCC;nRJ;4063280419;1;1961639532;7;1707914901327391744;7347270792427220173;5;1706095058480145030;-2174696336923162768;1;14243875032148823395;dZGBDQPq;15224042944592679054;1574395331704877470;338709066;18005108465706711968;1706095058480154567;0;410528786;46681835
107;87;12015;0;331;2BLKPTOL;1;0;343;1707914901655402240;16294884866004011594;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;10280588231320487880;Ge;soLpznB5k8yXf1br5RoljN8WVpqA9Shyjkl1Dl19QbhTScSS6aNrhaq9f2gHH176H029yA;zgS;3621753574;1;75388575;7;1707914901655402240;16294884866004011594;14;1706095058493723565;-1071836505972415406;2;1397510007489460583;wV80zIl8;14887231799945118440;2632520476212823240;198522762;10498871366714139549;1706095058493733010;0;155879873;425898734
107;87;12015;0;331;2BLKPTOL;1;0;344;1707914901670697984;2138558235819283298;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;18358697419713461226;Gt;dbOLDX8tS76zPqvB5SWN1vYVJgX4ZjBbkwL4tzGEh8bB5Bx70HWWhD9P1ZD5RVayfbrt4I;mut;1028372657;1;1708593561;7;1707914901670697984;2138558235819283298;6;1706095058497261291;1747538597640328062;17;4628541125278675187;3cMRX39K;12755270592645425897;8950899279171298125;984029995;10632357415657640048;1706095058497270742;0;791577998;-326890646
