msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;executionID;eMM;eventId;symbolIndex;bookIn;lastTradedPx;lastShares;vWAP;tradeTime;tradeType;sequenceTime;tradeUniqueIdentifier;tradeParkingActionIndicator
109;99;12016;0;331;2BLKPTOL;0;0;132;1707914901004877312;18240329394189647525;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;13591859895925755072;zZ;f6ImqzSFwElMMmRxOOdWXKFFSYqJwagAhSTFhF4rkwsiyf67hYZdddLOOwb3DLsycHNDwb;9UD;2141840673;1;965100886;7;1707914901004877312;18240329394189647525;758584102;7;2834909697852786829;231362315;1706095058517474645;972682459;413;3380586897284678601;1706095058517503596;16;1706095058517511643;Y78cedpndtpK7XJV;1
109;99;12016;0;331;2BLKPTOL;0;0;133;1707914901006164736;13908760062716597645;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;1707914901006164736;13908760062716597645;2094902660;99;4956505291027060238;941734235;1706095058517632938;786060252;4391;5107798145549235651;1706095058517643455;101;1706095058517650703;gILlifg13jTNtd2z;2
109;99;12016;0;331;2BLKPTOL;0;0;134;1707914901007146752;2394167384709932155;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;1946574016199202419;Cr;wLg8f7p3JaH9cPmMfCCqWxKkghBi5sHnsiiZGVC3VbX9kooh2JUlBvRB1mktOcbbcWLEqJ;nX5;1535288690;0;3756389310;7;1707914901007146752;2394167384709932155;2464924976;10;6363147845835366227;40139414;1706095058517739693;491436359;4942;-6628443253455262386;1706095058517749113;103;1706095058517755973;M3DjHKaG2DhtYFxT;3
109;99;12016;0;331;2BLKPTOL;0;0;135;1707914901007983616;7972579408370196572;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;167335769121138592;n3;QddX6EHSyMUkyaCqPHQ2yVkJPdfPnSQlrXBa2cYzoSeryKwcxTGF9lsyAAycELFbaI5507;kd0;1025439045;0;1521194008;7;1707914901007983616;7972579408370196572;2766292731;2;11588753336967727832;648090412;1706095058517836357;301434221;4222;3523317501162542133;1706095058517845660;46;1706095058517852642;o2f8etr1NW2TKYb1;2
109;99;12016;0;331;2BLKPTOL;0;0;136;1707914901008960512;7683484494501695097;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914901008960512;7683484494501695097;3405837660;14;9266444475146482188;733634346;1706095058517934860;705337134;3512;4206937703379334058;1706095058517943526;50;1706095058517950281;tyCRb3rowfY4p4xA;2
109;99;12016;0;331;2BLKPTOL;0;0;137;1707914901010032384;9159183040245048962;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;17467895347737353331;FW;nj0aDOedRgcRQzrXMSZyHe7zrB7U9D95JcLTj7t59GqhecuN1Ilj4b5oHOcgGq0DoSUptv;9AT;693201641;0;3222109028;7;1707914901010032384;9159183040245048962;729324451;4;9735134605251130340;53738436;1706095058518034398;810783984;2976;9040844104970577594;1706095058518043172;22;1706095058518049960;vaMztRMHMXC8Djrj;1
109;99;12016;0;331;2BLKPTOL;0;0;138;1707914901010883328;11312629587123862412;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;802337334887254903;Up;HLJPPGEehNvpWH89DGOJ8PLMGzmiGW5paIkbZXyckbXBp3s7Kz5QDI53BAbUBarq8Ut3gy;vSr;2977716072;1;1562943352;7;1707914901010883328;11312629587123862412;3293078330;5;4479305809649785887;270958719;1706095058518135195;81573957;243;-652932564361579774;1706095058518143649;43;1706095058518150289;qXrLVPpTptBI1CFE;1
109;99;12016;0;331;2BLKPTOL;0;0;139;1707914901011698432;13389220815886333978;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9607954405898040147;M0;jBvQLfCUaDTDRXO4nr0UuFYqDGnNvjcmsoxwNrf4sMSpOkPfRkA5FixoCGLynGRKvmTgwQ;65k;1518471675;0;3902323836;7;1707914901011698432;13389220815886333978;2946889277;15;2991762807901833990;912775729;1706095058518238455;123902762;245;8565756061681797686;1706095058518246846;33;1706095058518253712;YRAIQT3azn9OtXRm;1
109;99;12016;0;331;2BLKPTOL;0;0;140;1707914901012508416;14299989128626495895;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;15091849173177922452;Uk;4rmtjvMNPNdDdat80PKsOx0KpxipsdvQVYudUaj8nDOBbj9LSbfbZYT8ElJdLthji0Kv7L;DMc;3083321081;1;695650919;7;1707914901012508416;14299989128626495895;1486736386;1;6225256145406557627;778983872;1706095058518344016;429863411;3846;-6901252694221774387;1706095058518352384;49;1706095058518358990;Xpk53E0CBrHI6Vik;2
109;99;12016;0;331;2BLKPTOL;0;0;141;1707914901013321728;122610792207492834;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;7106284146521157689;rE;NrJR0T0kAhd0OCKW4ojbaiikKNCoEASVaj7TQEhzIiPagWOrGfsJrPwNTW8UGCiNexH0VX;wFp;1600758537;1;3578671592;7;1707914901013321728;122610792207492834;1192965323;8;2878616283626755661;281877941;1706095058518450867;248461212;1241;-5930043833837325762;1706095058518459074;13;1706095058518465252;Jr686758UKDnbDj0;3
