msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookIn;bookOUTTime;eMM;eventId;orderID;orderType;timeInForce;stopQueuePriority;symbolIndex;sequenceTime;orderQualifiers
86;76;12017;0;331;2BLKPTOL;0;0;246;1707914901005669376;15280278651696038977;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10246361558492176439;U8;xfBNNZ17Yr78IdQLxJEIwbSnJo8DV6DivuoxwRimLM6Un8c7nUsWEZ5GaDa3y4yI2CMsFX;XBj;3988664633;0;2951723148;7;1707914901005669376;15280278651696038977;2;6;0;15;1706095059264881956;1706095059264884377;5;12928979860832489131;13570470839628879358;9;2;11573020586987256337;515238894;1706095059264899790;2
86;76;12017;0;331;2BLKPTOL;0;0;247;1707914901008088320;4773812110680796308;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;14324812313368930972;om;c1uuArs4e0ZYHf8Hg9ng85DEdL7EUnzWlPv9NQ7iHgNnRPmU37jBs4xvMnhRkwOm47Cccp;K1I;957906397;1;1372775908;7;1707914901008088320;4773812110680796308;17;5;6;8;1706095059265239150;1706095059265241195;4;13506154454620002649;8513325882324464996;3;7;17906494874443428873;542212191;1706095059265256458;2
86;76;12017;0;331;2BLKPTOL;0;0;248;1707914901017170944;11238247891184298009;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;614541690210646299;2a;pxGtPAlyBvyxBsCOt0bcDksnbHdrK8j35AvN7ZfIIgWJorfy6RuLfujmS0fMnau2PeUyUH;rCa;3914517719;1;3154998015;7;1707914901017170944;11238247891184298009;6;5;5;12;1706095059266741818;1706095059266743908;14;2040009724108739009;18044024058682006915;4;2;12303091285605129619;184047301;1706095059266758701;4
86;76;12017;0;331;2BLKPTOL;0;0;249;1707914901026854912;3352653169228793595;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;14738162350122594880;9J;t5FqON4msuDdmTI6kSjPOEt0gLi20GST6Fewkgsh8keUP8SsRGu3Z175EpVeNAi6B8r8Gm;gYB;2295104860;1;3752047070;7;1707914901026854912;3352653169228793595;12;8;6;17;1706095059268745991;1706095059268748015;8;10662852958799932295;12506788559198412700;7;6;348455291496062412;682402479;1706095059268762856;0
86;76;12017;0;331;2BLKPTOL;0;0;250;1707914901044536320;15111448136170320501;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10526347176353020884;aI;oVg3fgIkvwEBwJ9ICQpoUw6MhcuPwUaf4KXBUOa9G92vP3a0nrF0FuabP4DV7zR0zc4YGp;97D;1579314002;0;1496809732;7;1707914901044536320;15111448136170320501;21;5;2;4;1706095059273138799;1706095059273140922;11;15272945233558756411;17893031630586418447;4;10;5453319010938949025;255231752;1706095059273155437;5
86;76;12017;0;331;2BLKPTOL;0;0;251;1707914901054026240;7483204968689518064;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10246361558492176439;U8;xfBNNZ17Yr78IdQLxJEIwbSnJo8DV6DivuoxwRimLM6Un8c7nUsWEZ5GaDa3y4yI2CMsFX;XBj;3988664633;0;2951723148;7;1707914901054026240;7483204968689518064;21;8;2;10;1706095059276144593;1706095059276146816;1;7343370086896992660;1119829762739479919;9;1;761366836595882696;515238894;1706095059276162243;4
86;76;12017;0;331;2BLKPTOL;0;0;252;1707914901077932288;15240891012008264789;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901077932288;15240891012008264789;12;8;1;12;1706095059285349387;1706095059285351543;9;16319675227322165913;7589298858135198642;12;10;7129392657872091371;433085588;1706095059285366549;3
86;76;12017;0;331;2BLKPTOL;0;0;253;1707914901078725888;10930257903883452237;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;3719974924905300726;XM;jB8tRkgGO4jtJXoXQIr0V8xIIV88n130DvS4A6LogFMwukevgRhbGI0YQvqdU5DxCazmM2;1K7;4181483227;0;1947319333;7;1707914901078725888;10930257903883452237;3;5;1;12;1706095059285699380;1706095059285701448;14;14330445561471170221;3695211082179938050;10;0;2308631049743869803;330454191;1706095059285716380;2
86;76;12017;0;331;2BLKPTOL;0;0;254;1707914901085134080;8206892274834560401;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914901085134080;8206892274834560401;2;4;7;11;1706095059288576233;1706095059288578410;2;3526473044978665229;15121004266103877116;1;4;599835403574795281;45567501;1706095059288593293;3
86;76;12017;0;331;2BLKPTOL;0;0;255;1707914901093206016;5123701062167220208;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;13759351882060585018;tS;Od1uyWz3vPAj5EgoOiGg3A1DQJiAcUbgFwtNVTjv9jGsBEX14oJo1cE4OToxlTtNfrDJKm;M4N;1316862324;1;4249865977;7;1707914901093206016;5123701062167220208;9;4;4;5;1706095059292024205;1706095059292026405;14;16118476220030504777;13934556547393825471;3;0;16129115385356314377;225699642;1706095059292041398;3
