msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;symbolIndex;eMM;sequenceTime;SC_updateType_1;SC_updateType_2;SC_updateType_3;SC_price_1;SC_price_2;SC_price_3
68;29;12018;0;331;2BLKPTOL;0;0;263;1707914901016571648;7729587464790242529;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;10876687420597401492;IN;0YrTk8qmxXILLSzYXa7i2cHr656UfDDHDErVSOYXfcxppzO1U0d6jtxj1lU5tSXXhxTzTQ;KEK;467432495;1;1446895257;7;1707914901016571648;7729587464790242529;840406118;10;1706095059336906922;97;29;90;182;168;161
68;29;12018;0;331;2BLKPTOL;0;0;264;1707914901027336448;179832619379223315;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;1323854212775701313;0o;562u7DQtJopIhShkdQZ3Vq8sZS6BWkh9hdm1NDrMqDrwhBo8W15A9mhrXOSdjEe7V2iG69;jLI;1364211919;0;1396619064;7;1707914901027336448;179832619379223315;154123499;7;1706095059338136624;254;60;65;340;402;209
68;29;12018;0;331;2BLKPTOL;0;0;265;1707914901034959104;5092153333282201376;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;15700594716965461706;Iv;NI3ZigcstsvWfkMnISqY6spDplBqATUc42m8tSEaNn4D2ULsYNKsXX0GwIsrUg4h0yoBYk;pwc;1625613301;0;44528469;7;1707914901034959104;5092153333282201376;971929135;15;1706095059339059540;65;31;102;279;130;437
68;29;12018;0;331;2BLKPTOL;0;0;266;1707914901045712384;17101930740065991030;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;10420890321279608836;L4;BolzvsKg8RTfdvJD0QOoE42erjyXtu9Cuydilbxtx2GxQX4DCirIoB7UkbgedcEx6x1cyu;7HO;4044296391;1;4041271779;7;1707914901045712384;17101930740065991030;773240909;7;1706095059340421435;86;3;89;251;140;364
68;29;12018;0;331;2BLKPTOL;0;0;267;1707914901055433984;17849437309051050191;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;1707914901055433984;17849437309051050191;198284442;2;1706095059341648113;60;32;95;188;217;113
68;29;12018;0;331;2BLKPTOL;0;0;268;1707914901057011712;273494086274003269;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2445560449030391989;Jl;Nf933GnXcYWG39wqSN4KW2Lbg3Xw1kzS2Qhr2u0oWf2CsMaF2rxtgxcQBUwwJWxy0RPBsZ;O2t;686367361;0;3471620477;7;1707914901057011712;273494086274003269;79594686;10;1706095059341861950;94;54;61;483;491;311
68;29;12018;0;331;2BLKPTOL;0;0;269;1707914901076818432;1806362836946493216;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;44956015518759300;pU;Xnia6wK8dJH66zsgcL0jaORXJM0YfKcacdS9mBlrKtiUSMZsQkyTdzcBTXsTQjhD36tmos;7kk;2113077151;1;3084259250;7;1707914901076818432;1806362836946493216;786357755;6;1706095059344782396;92;28;39;84;137;112
68;29;12018;0;331;2BLKPTOL;0;0;270;1707914901078335744;5985878127641856776;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;13521653307139138462;Ox;B8AFc3fbuZWNtWFqGr2Ge4DWaVULaPHxa1WAcGtl2f4alPnTHPhtuKjcqJWC0vNGWNfeih;Kyw;757520659;1;2618767501;7;1707914901078335744;5985878127641856776;135619081;4;1706095059345020771;26;104;59;65;324;143
68;29;12018;0;331;2BLKPTOL;0;0;764;1707914901280526848;7553213319659342989;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;3644559844241529103;le;9l6Ita4H2jn7fc4ofS1CJefQmxMyFTNAdjWNn42QIeYoFg8vq1og7ZGso0dgmvGcCz3eWH;Zm5;1853132841;1;4293924547;7;1707914901280526848;7553213319659342989;762062763;7;1706095059349337514;58;55;45;265;356;56
68;29;12018;0;331;2BLKPTOL;0;0;765;1707914901285170688;7215648362021433692;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901285170688;7215648362021433692;576024396;10;1706095059350164134;1;65;37;31;49;60
