msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;bookINTime;symbolIndex;eMM;eventId;orderID;executionWithinFirmShortCode;clientIdentificationShortCode;sequenceTime;orderQualifiers
84;74;12019;0;331;2BLKPTOL;0;0;283;1707914901006142720;2014907795043760894;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;1941955256451427870;U2;r561sFoMQiK5WuaJKa0kvTQ4hoIG5mShwa80wuL0U5vWAPeOBjcIgMFQTnpZYDrjCLmF8M;wsE;1859601324;0;3151477274;7;1707914901006142720;2014907795043760894;12;3;0;6;1706095059403302432;1706095059403305156;906768783;14;16183511715079508246;15367718335337391090;-2123276423;-1958598988;1706095059403313989;1
84;74;12019;0;331;2BLKPTOL;0;0;284;1707914901015521024;7070578928936704078;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;16538608658982160848;YD;rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF;Z9l;1149410083;0;2517573438;7;1707914901015521024;7070578928936704078;15;6;4;23;1706095059404533504;1706095059404536328;564169381;1;9311009357659731185;596966940037415827;-1836049366;628499035;1706095059404545020;1
84;74;12019;0;331;2BLKPTOL;0;0;285;1707914901017929472;15356812700021321867;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;4683628498442344368;9v;JgDjKT4L7ox4V7ljRfW7KQo2axBTa77ALmUOMcHGb3Bx4249f1Id0bRjhhd6kSdXGmP1QR;pHf;3137226570;0;405583517;7;1707914901017929472;15356812700021321867;23;4;2;9;1706095059404924538;1706095059404927411;922513693;9;17930708961982628018;8198724414177461548;-2099268154;-1093104292;1706095059404936370;5
84;74;12019;0;331;2BLKPTOL;0;0;286;1707914901040384768;8874577246522519268;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;4596634193538000816;NH;sdSGi6pm4bGS69BkRAZ0Gpnzr2BBTsHdAyelCs4oaiyXMSENSksybmpOVZEvx3COv7RkQB;hbQ;841316448;0;3865433911;7;1707914901040384768;8874577246522519268;6;5;2;0;1706095059409454241;1706095059409456942;471710007;1;12643718409682159077;9235752615027405441;1387973412;1564675381;1706095059409465603;4
84;74;12019;0;331;2BLKPTOL;0;0;287;1707914901076435200;9179202540103646585;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;15700594716965461706;Iv;NI3ZigcstsvWfkMnISqY6spDplBqATUc42m8tSEaNn4D2ULsYNKsXX0GwIsrUg4h0yoBYk;pwc;1625613301;0;44528469;7;1707914901076435200;9179202540103646585;4;1;3;20;1706095059420731774;1706095059420734636;971929135;99;16572313183324400205;16102525607868218451;1614058474;-905892152;1706095059420743408;2
84;74;12019;0;331;2BLKPTOL;0;0;288;1707914901096177664;12305889767723600560;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8421005763191075415;2G;H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie;hhg;3138991619;0;1248976379;7;1707914901096177664;12305889767723600560;5;4;4;2;1706095059428614882;1706095059428617655;897061568;1;8133850949333887222;14882519030524764881;-2108482068;-387813364;1706095059428626388;0
84;74;12019;0;331;2BLKPTOL;0;0;773;1707914901284714752;11594859555407930519;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;5200628661262325779;9t;d7lSQy6i8V7QosbRjZFj0leMKk6MWoIgX3jYRFEjPD53q5PYmbMVc1rObMm3tzUH8ejqAv;epj;3570621880;1;1830681795;7;1707914901284714752;11594859555407930519;15;1;1;1;1706095059434881671;1706095059434884408;25531303;2;314788457558333424;350020148768677708;-1155930713;-1240720195;1706095059434893485;4
84;74;12019;0;331;2BLKPTOL;0;0;774;1707914901294291968;17614051079011667195;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;10420890321279608836;L4;BolzvsKg8RTfdvJD0QOoE42erjyXtu9Cuydilbxtx2GxQX4DCirIoB7UkbgedcEx6x1cyu;7HO;4044296391;1;4041271779;7;1707914901294291968;17614051079011667195;1;1;1;22;1706095059440007476;1706095059440010404;773240909;9;12072525411337254622;15611622972934646672;1980601840;1922209107;1706095059440019363;3
84;74;12019;0;331;2BLKPTOL;0;0;775;1707914901295083520;1204779995014089159;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;4403052311478408602;ZJ;HR0owOlnfPpmCv5A5GnTBNqsBLe02c6ZYsy2F9GRoCwO78CZL9btXNrGjLHPLTuNkB0Q3A;4bF;4187754424;0;2043547757;7;1707914901295083520;1204779995014089159;6;2;6;5;1706095059440452466;1706095059440455324;357076211;8;6957615663101290159;5488577861560521823;1849076424;-1629753075;1706095059440464233;4
84;74;12019;0;331;2BLKPTOL;0;0;776;1707914901312635136;10110486237785842895;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;4403052311478408602;ZJ;HR0owOlnfPpmCv5A5GnTBNqsBLe02c6ZYsy2F9GRoCwO78CZL9btXNrGjLHPLTuNkB0Q3A;4bF;4187754424;0;2043547757;7;1707914901312635136;10110486237785842895;20;1;1;6;1706095059450814717;1706095059450817445;357076211;8;16407438667116737763;16777773834164248552;1894521939;1068830638;1706095059450826138;4
84;74;12019;0;331;2BLKPTOL;0;0;777;1707914901319811584;11169820546417609870;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;1707914901319811584;11169820546417609870;19;6;1;6;1706095059455403157;1706095059455405945;198284442;14;8380589000483208264;4948706046318247634;-1367728404;1960607198;1706095059455414814;3
84;74;12019;0;331;2BLKPTOL;0;0;1066;1707914901587220224;4537118401580323516;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;1707914901587220224;4537118401580323516;1;7;3;6;1706095059460743373;1706095059460746093;993224417;99;16370698378912463032;8412621632883624631;2001825535;2048033218;1706095059460754943;5
84;74;12019;0;331;2BLKPTOL;0;0;1067;1707914901588031232;12835133290255019821;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;44956015518759300;pU;Xnia6wK8dJH66zsgcL0jaORXJM0YfKcacdS9mBlrKtiUSMZsQkyTdzcBTXsTQjhD36tmos;7kk;2113077151;1;3084259250;7;1707914901588031232;12835133290255019821;10;7;2;11;1706095059461287884;1706095059461290576;786357755;2;8840081387267882198;5006045958979116987;-1821481653;1783339787;1706095059461299328;4
84;74;12019;0;331;2BLKPTOL;0;0;1068;1707914901590423808;13691284162185507793;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901590423808;13691284162185507793;13;3;4;20;1706095059462958028;1706095059462960679;576024396;5;1730223581849482825;8263533976414363577;-1332438532;1757855157;1706095059462969677;1
84;74;12019;0;331;2BLKPTOL;0;0;1069;1707914901592024832;17341828332696323076;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;17038630954790900019;BG;wufBdvc2f0ap17FPYPHfdelr7IaY0UqqHeN1EpCDmNABkYZ450Rbol7F1IVPvNdS7yEP8F;DXt;2810650698;0;3380190096;7;1707914901592024832;17341828332696323076;12;3;0;23;1706095059464078932;1706095059464081794;577265363;10;17287197105305144777;8326657590886691620;-1113990428;-1301483793;1706095059464090672;3
84;74;12019;0;331;2BLKPTOL;1;0;92;1707914901004514048;15168911138560321399;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;10043855042185970472;TG;wFtbwzQkklh8EiLbpdaVkPuFWUdtNZtdIQc3KApWQMgLxHqXQbBJ4QHCT2wmPYUNSGy7k8;Qqu;670568094;0;1886547054;7;1707914901004514048;15168911138560321399;11;1;5;22;1706095059403103889;1706095059403106932;586141911;15;1330597736746140323;2778643395428831761;-1750609868;-1418959413;1706095059403116049;3
84;74;12019;0;331;2BLKPTOL;1;0;93;1707914901012299520;13397875089217943036;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16107250302887779993;Sh;y5iJI7lKI6H9U2Vq7qGynA6byv0VAht0A7Q9oaYZdJr6LJKQSPb148FGbyj3blgpXEPuVN;6dU;2743569216;0;1129791786;7;1707914901012299520;13397875089217943036;18;2;5;10;1706095059404053787;1706095059404056481;418664403;4;15941689182561244707;17070860575944285157;-55857079;-408224713;1706095059404065454;2
84;74;12019;0;331;2BLKPTOL;1;0;94;1707914901013932544;7927908580557913692;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;6449116440024891814;Jg;NWCAWS3uu34skFuAzlzNoxhiN3GZu0SxqEEjgVao2KNcStkXt8Y1X44lCURZ3Iz6kJCShd;x0Y;548344005;0;376511674;7;1707914901013932544;7927908580557913692;7;1;2;19;1706095059404288585;1706095059404291408;958972949;1;13685325061632523441;9663272806416653512;-1688741044;-1478635952;1706095059404300416;3
84;74;12019;0;331;2BLKPTOL;1;0;95;1707914901029937408;6929809653411769086;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;15410550345934938421;sB;yiSjAOTwVMsH46V3RN6wvT2MEtGqotg07a6TVVOE2OlRMxbmsvAJBNRN5feCxn4IaKICfK;GZ2;201310474;0;2314124588;7;1707914901029937408;6929809653411769086;6;6;4;7;1706095059407212520;1706095059407215340;179555593;11;14622695752020062568;15848703615451677750;-1603447908;-469226882;1706095059407224203;1
84;74;12019;0;331;2BLKPTOL;1;0;96;1707914901032733696;2468150166555376733;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;10371050094939480451;HB;LYkOB7bCak6OmzXcOTyCFYcZneG2FHfTC5yybvKPgHgzlBL3W2kVaERUI1NsUUjSZE3XjF;mB7;2043360166;1;1449635314;7;1707914901032733696;2468150166555376733;18;1;0;7;1706095059407744621;1706095059407747489;506920201;6;8229255822707333018;7975992302834868774;935450062;-1310639988;1706095059407756363;3
84;74;12019;0;331;2BLKPTOL;1;0;97;1707914901037172992;14721946969791411340;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;5200628661262325779;9t;d7lSQy6i8V7QosbRjZFj0leMKk6MWoIgX3jYRFEjPD53q5PYmbMVc1rObMm3tzUH8ejqAv;epj;3570621880;1;1830681795;7;1707914901037172992;14721946969791411340;11;5;4;8;1706095059408668693;1706095059408671552;25531303;8;12752296823108753456;748770460855681308;-1624302887;242439051;1706095059408680484;3
84;74;12019;0;331;2BLKPTOL;1;0;98;1707914901038778368;1969971861980626479;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;11949289693168082599;Gd;SoqQi4Toj76nQz3snTUKak7FT2ieQtMajLsHbuuYrwbDBPXbSEstNIP1aFznKb7E74K3mX;aak;2828450737;1;4144898225;7;1707914901038778368;1969971861980626479;15;3;0;14;1706095059409060905;1706095059409063637;407985055;1;6106566307774079048;7859683902988054778;-439260036;-697116414;1706095059409072259;0
84;74;12019;0;331;2BLKPTOL;1;0;99;1707914901041185024;13876898599927407654;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;14081163277357308690;0Z;Iz7pdwYaijvaPkcHB3cFmAImKfaxx8LKR1bHd6h7RUer2BmYvF9ZBD5rIlAa1EhHGV0dr0;U34;2074824395;1;2843167339;7;1707914901041185024;13876898599927407654;5;7;5;14;1706095059409654683;1706095059409657391;15674241;5;13453234221301495118;13153940637153786177;1622472293;1695473082;1706095059409666089;6
84;74;12019;0;331;2BLKPTOL;1;0;100;1707914901044411904;13691762090962195668;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10857787113686633384;B2;bqTIcyZ1E6WnMCnyiXrs6axNzUDh8nZMHEdPrjCKVFtI5U3JeEkPHDYO42qq9we4MKGJNL;OCF;1975180780;0;3207683071;7;1707914901044411904;13691762090962195668;12;1;5;19;1706095059410489686;1706095059410492532;345150432;11;15457968539372895702;14771669636930875561;952665328;-952580451;1706095059410501493;0
84;74;12019;0;331;2BLKPTOL;1;0;101;1707914901065308160;14370896870476368184;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;15219404500678569998;yU;pYzfInj10xax2M5eN0Ke21OzovwHKLodoySra3aH7sMfNBDCiJfUz5yNXX19Wc8nlwiIzW;xNJ;2649737116;0;3640176814;7;1707914901065308160;14370896870476368184;3;2;0;11;1706095059416608868;1706095059416611617;411542454;11;2932975988374837078;5436590297592885801;680385228;840657873;1706095059416620326;6
84;74;12019;0;331;2BLKPTOL;1;0;102;1707914901069296384;4719567078290032060;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;167335769121138592;n3;QddX6EHSyMUkyaCqPHQ2yVkJPdfPnSQlrXBa2cYzoSeryKwcxTGF9lsyAAycELFbaI5507;kd0;1025439045;0;1521194008;7;1707914901069296384;4719567078290032060;12;1;6;23;1706095059418027116;1706095059418029859;648090412;14;1614110626132163044;16893825926153904317;85137817;572051433;1706095059418038787;1
84;74;12019;0;331;2BLKPTOL;1;0;103;1707914901070087424;9931940942512969129;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;1399964743776718599;RD;qi7yUi5Xz0HFUmDj3PZk6kJTLc2Hjjh9U8Yqn8cWUwSiZdr11MCxAhLlfdaFObjpxhdMyZ;hx1;933337045;1;2129756308;7;1707914901070087424;9931940942512969129;11;1;7;24;1706095059418316899;1706095059418319716;190979236;2;8170707039134596677;8036961343142344339;120353089;-1435089210;1706095059418328614;6
84;74;12019;0;331;2BLKPTOL;1;0;104;1707914901074052096;15556249584945110537;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;17649996035600062801;y4;m4PtCqZwXANzbZQrdIlBaleJ4oy5edoOYgceVzQ9DHIn3gaNfCUmEpN6X2pkXoqtb1y24d;QX5;2817311705;1;1500233684;7;1707914901074052096;15556249584945110537;14;5;7;11;1706095059419803845;1706095059419806688;451161021;11;9115337586305149119;1639822364269463196;700117025;-77513268;1706095059419815708;3
84;74;12019;0;331;2BLKPTOL;1;0;105;1707914901092210176;12388017390627277418;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;2717021003556715908;Bl;a6i5NmEUr9X9wZ9uWT2OfE5BKbjJ8zaEYcvuOsM8HjCrST57ySjDQvHcwLDjGSFQFoMp48;1AE;2023598337;1;3554670256;7;1707914901092210176;12388017390627277418;22;3;3;15;1706095059426792530;1706095059426795275;657517808;2;10356558320295515392;14921675722386075566;1394768823;1289908223;1706095059426804148;0
84;74;12019;0;331;2BLKPTOL;1;0;249;1707914901279917056;4705120201765537348;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;694515935385685833;f9;7xnfK7PMSRtzdlic1FLgBOXXoXe9X3o3ZmWGI7lHQZF2luoZtr80ngcEBHzX9cadggbNj8;gxs;2921001201;0;3344064174;7;1707914901279917056;4705120201765537348;7;7;3;16;1706095059432454294;1706095059432457054;921949621;15;8263729307856339179;3353933283924267949;-982191460;2054447072;1706095059432465913;6
84;74;12019;0;331;2BLKPTOL;1;0;250;1707914901292700928;16454753200341319831;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;9073334914057698938;CL;PEKvkSXcY12iiGe6VqvyFNSV5RkYLcy3V9h8GM5HGE2KhkOqP6T6vBcN2PKHBZFuoNSee9;caX;1203790480;0;1032103264;7;1707914901292700928;16454753200341319831;11;1;5;18;1706095059439129333;1706095059439132092;614218173;8;4578434734261554206;16767312746209128809;1249452281;-119419869;1706095059439140929;3
84;74;12019;0;331;2BLKPTOL;1;0;251;1707914901295885568;14715615977971121050;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;7028453693031795075;Yo;8UcGY2IsmQ5J37uGuCCeEpmuIT39Z5780VlCgeiCEJbsQ6CkRSkYNSg9D4JWHZ1FEqZyrE;j3L;423532867;0;860683633;7;1707914901295885568;14715615977971121050;8;5;4;18;1706095059440899135;1706095059440901860;685651177;7;8602827051196872481;11285135661363273101;-1555664703;833069585;1706095059440910611;5
84;74;12019;0;331;2BLKPTOL;1;0;252;1707914901298262272;8059087715962292149;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;13192956387928990247;wn;Qipcwk5vUZ7lo35htMSfmE1nz0C6gtdfQHzhQdQNsZz3OHwPjCWt1KMyeO9GNPHRxYnj0G;cwf;208099716;1;1312301257;7;1707914901298262272;8059087715962292149;5;7;0;3;1706095059442247922;1706095059442250661;840387731;14;789349195358401981;18396792144148621294;198851029;-1245721295;1706095059442259486;0
84;74;12019;0;331;2BLKPTOL;1;0;253;1707914901309465344;10566208126806744187;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914901309465344;10566208126806744187;22;5;7;9;1706095059448842644;1706095059448845341;958873221;4;10482032499639300671;18156806132828892479;-1457340701;-764891647;1706095059448854083;0
