msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;orderEventType;ackPhase;ackQualifiers;ackType;bookOUTTime;bookINTime;symbolIndex;eMM;eventId;orderID;oESessionID;executionWithinFirmShortCode;clientIdentificationShortCode;sequenceTime;orderQualifiers
92;82;12020;0;331;2BLKPTOL;0;0;271;1707914901002380032;4750235025246643401;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;2747794012786548291;O1;N6sWonQgg8dwJraFkkov3Sh2XNFZvRpKliCeH7Iz2ZTnM2PGqeecv88RTIXtM6oUeH0avs;Fb3;3866550079;1;953821923;7;1707914901002380032;4750235025246643401;23;4;7;7;1706095059470489726;1706095059470492709;830866530;7;18300127538766659233;10038447371128297650;14172297424792882336;1061726;1755990097;1706095059470502482;4
92;82;12020;0;331;2BLKPTOL;0;0;272;1707914901023565568;5968546168199438323;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6135723462153394188;6P;zhKMGSfCAMCboLpPrOSNKn5qqQTwlzy30lh08KCtEjs6W0ag7wXyKXgSXjmvEdc1fPRyAi;9vy;1610505332;1;2224170165;7;1707914901023565568;5968546168199438323;14;3;6;24;1706095059473585369;1706095059473588045;138846668;10;18032516100751298594;7176773859182080957;10416133082439967310;-667243724;997480295;1706095059473596570;5
92;82;12020;0;331;2BLKPTOL;0;0;273;1707914901025170432;6812146009631727418;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;430287363295834731;qh;lyJGXsksPM6KIvyTRVIsJssrVnxgCY9eJscA9Xnj5K574gEIJaRgQRscJVuWX1mIEa3RU7;LEV;1272361034;0;754422102;7;1707914901025170432;6812146009631727418;6;4;3;0;1706095059473898294;1706095059473900979;149423575;5;10322057890479219857;17119112844919604611;8685064013129621309;-538156210;-1400374954;1706095059473909626;3
92;82;12020;0;331;2BLKPTOL;0;0;274;1707914901036349440;1017769733475517668;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12115424642110324892;Q6;Gc2KB0MzOKEGwQ3rpYiXONXtvBBOyqClkLjQN0K30vyUJND6014LOGrZCL0PqfrwEphTdS;0Zv;1972153778;0;1845816919;7;1707914901036349440;1017769733475517668;23;2;1;14;1706095059476161994;1706095059476164721;14113038;6;5843588670162013671;13190901672724382822;88904572440377667;1869175983;-2106742884;1706095059476173375;5
92;82;12020;0;331;2BLKPTOL;0;0;275;1707914901041154048;12047215353716686658;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;2747794012786548291;O1;N6sWonQgg8dwJraFkkov3Sh2XNFZvRpKliCeH7Iz2ZTnM2PGqeecv88RTIXtM6oUeH0avs;Fb3;3866550079;1;953821923;7;1707914901041154048;12047215353716686658;8;8;4;18;1706095059477339668;1706095059477342414;830866530;2;11661497913938765641;1628987771557080898;15962013551988429314;41150954;1802061745;1706095059477351101;5
92;82;12020;0;331;2BLKPTOL;0;0;276;1707914901054037248;4582012237158783167;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;5200628661262325779;9t;d7lSQy6i8V7QosbRjZFj0leMKk6MWoIgX3jYRFEjPD53q5PYmbMVc1rObMm3tzUH8ejqAv;epj;3570621880;1;1830681795;7;1707914901054037248;4582012237158783167;11;8;6;6;1706095059480706775;1706095059480709550;25531303;6;9743451277511070847;2643422824899150356;6726414713844283610;-1513703312;-1566704154;1706095059480718278;3
92;82;12020;0;331;2BLKPTOL;0;0;277;1707914901058892544;4147704419811022579;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;5825477365447811885;23;6o0deIcAzGwYeAPtwJ0SD2Zlmd23R3Xw2T4U0oxzJsyTWk6u73ebgOeFjvXXsfi1koA5oy;cA4;2793246266;1;3358185533;7;1707914901058892544;4147704419811022579;2;2;1;17;1706095059482204977;1706095059482207733;77516395;10;1216864873004104579;113135734926235320;10588440674397118222;845630821;-2109380202;1706095059482216388;5
92;82;12020;0;331;2BLKPTOL;0;0;278;1707914901061274880;8483511785280186927;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;7106284146521157689;rE;NrJR0T0kAhd0OCKW4ojbaiikKNCoEASVaj7TQEhzIiPagWOrGfsJrPwNTW8UGCiNexH0VX;wFp;1600758537;1;3578671592;7;1707914901061274880;8483511785280186927;2;1;4;7;1706095059482988357;1706095059482991020;281877941;11;6612548480350935969;11333186565238252665;10232063880614799438;-1021848274;-1545104968;1706095059482999696;0
92;82;12020;0;331;2BLKPTOL;0;0;279;1707914901063652608;4159500687866617878;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914901063652608;4159500687866617878;18;4;1;8;1706095059483794917;1706095059483797669;958873221;15;2904919871015064215;5271179967372605427;15037448419277634547;-1852304523;417508835;1706095059483806500;1
92;82;12020;0;331;2BLKPTOL;0;0;280;1707914901087600640;11050183439039635668;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;5200628661262325779;9t;d7lSQy6i8V7QosbRjZFj0leMKk6MWoIgX3jYRFEjPD53q5PYmbMVc1rObMm3tzUH8ejqAv;epj;3570621880;1;1830681795;7;1707914901087600640;11050183439039635668;10;8;2;10;1706095059493156478;1706095059493159287;25531303;1;13364544914732763748;5716724120865596343;4769602551286724274;101358376;-476243289;1706095059493167955;2
92;82;12020;0;331;2BLKPTOL;0;0;281;1707914901088564992;3467153066819105445;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;10051211470154715749;tC;wgmMI6ngssJn0EcunmK2dTb6FGJjDGePQQINhET9LzV3FsVXuButMIPC1zO599CbfCLteg;2Jb;2164436114;0;3984001619;7;1707914901088564992;3467153066819105445;11;6;7;8;1706095059493502590;1706095059493505315;302074901;17;14243473169360592276;11202169770582492647;1434001456975340174;-1271116779;-16819466;1706095059493514080;0
92;82;12020;0;331;2BLKPTOL;0;0;282;1707914901096132864;8473163378938329321;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;4464391562571660486;Ro;8R93JgLqtgUOQf7bYc4l0UTfmVaeZxnvCTxmveY8dOMhc1eZ4Z353awpQ32mgWieFYrObR;1Ft;3991807441;1;4244207925;7;1707914901096132864;8473163378938329321;18;6;7;18;1706095059496391095;1706095059496393808;611076622;11;13712108532034931067;5024686978886001795;14666805510655595293;389511374;1534809142;1706095059496402414;3
92;82;12020;0;331;2BLKPTOL;0;0;738;1707914901278266624;2402812616476453580;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;15646377313048821340;ef;6AI2VuKYuSoO6MTaedrvJIrkcsIWwNSpn2C156y1uXoqTfKmFsfMKUzmrfeq2T3RF0ZRDz;UEQ;756666793;0;1953160713;7;1707914901278266624;2402812616476453580;23;8;3;16;1706095059499443168;1706095059499445789;236162361;9;15419288327390718975;1130180756505960376;17022039908774112898;-263717394;-471955595;1706095059499454413;4
92;82;12020;0;331;2BLKPTOL;0;0;739;1707914901285458944;6387531578267742393;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;;yR;wzHVfmb0YtvdhVLVlBUbaKCRsIegwDV1R9UNs2iAoBIudXyrqNXLqFX8voc6wsHd0b4lgY;3rR;;251;0;7;1707914901285458944;6387531578267742393;20;3;4;20;1706095059503045192;1706095059503047810;189474699;8;6974968309155038580;9512765361616241525;5750497663174032913;-153694468;113593244;1706095059503056476;6
92;82;12020;0;331;2BLKPTOL;0;0;740;1707914901288687360;3264473152006598585;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;1293858113929826603;Yv;mK4IuG0cv4P5uzCElKjHC1PplDPsPnxvfONYrtT7COVJvUzvWIY9GFyen0rGWTYiVQYhxy;eRW;609587171;1;2923765661;7;1707914901288687360;3264473152006598585;7;5;0;11;1706095059504729615;1706095059504732377;966477508;11;17245138882516840876;6024845211886670444;2169696936985638602;1091873031;803868585;1706095059504741275;5
92;82;12020;0;331;2BLKPTOL;0;0;741;1707914901320423680;2770460429559544898;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;1707914901320423680;2770460429559544898;12;5;6;15;1706095059523816385;1706095059523819213;993224417;9;10107541666949220720;10990310560562438746;5927488713685602534;1184502393;-2091777432;1706095059523828070;6
92;82;12020;0;331;2BLKPTOL;0;0;742;1707914901322021120;3997050080205715252;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707914901322021120;3997050080205715252;10;1;0;18;1706095059524880067;1706095059524882861;836350944;14;10452702385013788975;3854760428186733313;14310496974759159660;-377098847;-2045022093;1706095059524891578;2
92;82;12020;0;331;2BLKPTOL;1;0;106;1707914901007089152;13359172468844966500;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;4403052311478408602;ZJ;HR0owOlnfPpmCv5A5GnTBNqsBLe02c6ZYsy2F9GRoCwO78CZL9btXNrGjLHPLTuNkB0Q3A;4bF;4187754424;0;2043547757;7;1707914901007089152;13359172468844966500;7;6;5;2;1706095059471028288;1706095059471030863;357076211;5;17750853643890484921;6720236450051598938;4689488191708816622;-1912879236;1914781744;1706095059471039386;2
92;82;12020;0;331;2BLKPTOL;1;0;107;1707914901019596032;15297052017309749091;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;2808618809613454277;3p;4KSTodHB88pDPow5fKpEqgnfimfTagNDvfM3EddVYqBlAdDkXIwq5HNzNYkc9HQwBmdHCF;bi5;3849503028;0;1744694244;7;1707914901019596032;15297052017309749091;15;6;3;12;1706095059472858616;1706095059472861396;213949604;5;4118306255193820507;2994792166205955891;11667055141548619534;1006546664;-981334329;1706095059472869886;3
92;82;12020;0;331;2BLKPTOL;1;0;108;1707914901030758912;15812618432234354476;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;7001165310921257812;KK;KbJIjflGiGZjXXW8g0UfZKSqSbrvFIoWreNqAOGUuYasnBu0k4EGgFem07VzYAY6qEPB4I;wUC;602357629;1;1971263874;7;1707914901030758912;15812618432234354476;11;2;3;10;1706095059475055773;1706095059475058473;493822760;9;7635946117583120609;169584096707156641;7997475616940338157;1676895341;-164245015;1706095059475067086;2
92;82;12020;0;331;2BLKPTOL;1;0;109;1707914901037948160;5603363659456667972;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;9801344369318373676;6g;NRognJTtB0ihEBXWX7bDcmys9vo7S3b3x9E7WtgBRCzN2nxmMKnOXWxYeMIKBgP35f0LEL;6fk;1466185011;0;2234508486;7;1707914901037948160;5603363659456667972;9;6;6;16;1706095059476542899;1706095059476545528;773471534;17;13556495218080408474;18177626926909351392;4368899952021283913;-2005299985;-1950969697;1706095059476553997;2
92;82;12020;0;331;2BLKPTOL;1;0;110;1707914901057273856;15593473745412697644;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8421005763191075415;2G;H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie;hhg;3138991619;0;1248976379;7;1707914901057273856;15593473745412697644;16;6;0;5;1706095059481698628;1706095059481701335;897061568;6;12074563932881459370;7349893569282073446;12436519023050210456;-1356676502;571384848;1706095059481710120;3
92;82;12020;0;331;2BLKPTOL;1;0;111;1707914901062865152;16817047615052754491;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10857787113686633384;B2;bqTIcyZ1E6WnMCnyiXrs6axNzUDh8nZMHEdPrjCKVFtI5U3JeEkPHDYO42qq9we4MKGJNL;OCF;1975180780;0;3207683071;7;1707914901062865152;16817047615052754491;5;4;7;6;1706095059483521658;1706095059483524243;345150432;4;17753800652716919566;815619200007528138;4731947514790832681;-1105815381;-465665898;1706095059483532896;0
92;82;12020;0;331;2BLKPTOL;1;0;112;1707914901071556864;18087103785595149104;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;11757426431497952689;8t;ZJTIImJh5M2ycBPjaJeJ3HE6ZSNrPKKXUAAoO51m8fs4iHLpBcuBvWRfPacpVKK5C9ulHA;mwc;287223562;0;501196996;7;1707914901071556864;18087103785595149104;18;1;0;1;1706095059486661971;1706095059486664542;27066957;11;3956797505963536780;817127407190398052;9535766080658214819;-117809812;1044354769;1706095059486673202;6
92;82;12020;0;331;2BLKPTOL;1;0;113;1707914901072347648;11036911063223308062;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;10929083452623909704;Qp;ZyDvZNtZftw347NF64GL6g1YOCjtNgTG4gn0PaO94v2iAMQffVIk7BpoCZpdvrCQIBcvGf;KGy;1159840746;1;561918784;7;1707914901072347648;11036911063223308062;16;7;2;10;1706095059486963307;1706095059486965962;221113253;2;18156933128394857052;16763030323245226198;1978683062526890176;-253452870;-1954573212;1706095059486974456;0
92;82;12020;0;331;2BLKPTOL;1;0;114;1707914901074769408;12490812078402971049;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;4500241957006454205;7J;YRQzng57gf62Y7Zd7MRGcznzjYHzPPCqcfuCWczYvE2ZrVKKUsAJDflUaacJYbsVYpatIm;Rlx;417793756;1;938879602;7;1707914901074769408;12490812078402971049;7;2;2;24;1706095059487892036;1706095059487894812;955146857;15;11563525962149795115;7021576483618148471;7126230441465720548;1611987405;136492893;1706095059487903366;1
92;82;12020;0;331;2BLKPTOL;1;0;115;1707914901077955840;4904861428986988290;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;8421005763191075415;2G;H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie;hhg;3138991619;0;1248976379;7;1707914901077955840;4904861428986988290;10;8;6;10;1706095059489150617;1706095059489153402;897061568;11;11811146163338766995;4140808129896911551;4023155841647920711;152319924;1669407480;1706095059489162137;4
92;82;12020;0;331;2BLKPTOL;1;0;116;1707914901079530752;15870498318617011724;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;3719974924905300726;XM;jB8tRkgGO4jtJXoXQIr0V8xIIV88n130DvS4A6LogFMwukevgRhbGI0YQvqdU5DxCazmM2;1K7;4181483227;0;1947319333;7;1707914901079530752;15870498318617011724;17;6;5;4;1706095059489791748;1706095059489794376;330454191;99;9671390924761401444;3902369820704733070;11862988484002726627;1653009378;-754264001;1706095059489802859;4
92;82;12020;0;331;2BLKPTOL;1;0;117;1707914901085885440;8472915483148592928;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;1707914901085885440;8472915483148592928;17;3;7;8;1706095059492464199;1706095059492466898;941734235;17;11509118109239890499;5106833750179671105;3431772614114149874;2016646331;388031831;1706095059492475696;3
