msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;eventID;bookIN;bookOUTTime;clientOrderID;darkExecutionInstruction;eMM;endClient;firmID;firmIDPublication;oESessionID;oEGINFromMember;oEGOUTTimeToME;orderID;orderQty;orderSide;rFQStatus;symbolIndex;minOrderQty;sequenceTime;accountType;NMSC_originalClientIDShortCode_1;NMSC_originalExecWFirmShortCode_1;NMSC_originalInvestDecisWFirmShortCode_1;NMSC_originalNonExecBrokerShortCode_1;SCDNM_originalShortCodeType_1;SCDNM_originalShortCodeType_2;SCDNM_originalShortCodeType_3;SCDNM_originalShortCodeType_4;SCDNM_shortCodeRole_1;SCDNM_shortCodeRole_2;SCDNM_shortCodeRole_3;SCDNM_shortCodeRole_4;SCDNM_shortCodeRoleQualifier_1;SCDNM_shortCodeRoleQualifier_2;SCDNM_shortCodeRoleQualifier_3;SCDNM_shortCodeRoleQualifier_4
175;133;12022;0;331;2BLKPTOL;0;0;290;1707914901003582464;15657778169311394434;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;6879535445576783198;tX;880Ep7dC6otTmUc5gF12hyCXn9dqJF3ExE5KkydsJLFSjIAJjhZvjD0qycqyBXmDnVFewr;2Kc;1744737449;1;338990475;7;1707914901003582464;15657778169311394434;8663857072161693600;1706095059734062632;1706095059734065753;8607159716251209136;0;4;deSuO8yX1Pc;beYAYVeZ;57;8567489259477756293;1706095059734079566;1706095059734082441;7486164349072390858;17256047935674281618;1;1;687820829;6934980443451889527;1706095059734096528;4;346574475;1254163546;494564089;458978667;1;3;3;1;1;26;17;26;22;22;22;24
175;133;12022;0;331;2BLKPTOL;0;0;291;1707914901053787392;4169134686808107279;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;15497960358411912793;n9;1xfTpSwfKM0fkssF9OQwsORQuGUzeFca9QKinaI77JzxHULo5Q1V7w2JRodzArcX42bbpq;kXq;1199095479;1;690093252;7;1707914901053787392;4169134686808107279;11297405143311741637;1706095059743414350;1706095059743416646;8029065632911629422;4;7;T9G3i9i3Az9;NJ0Uf1bm;61;11368784945177957750;1706095059743427479;1706095059743430220;14326055430041010804;14078768930699259131;2;3;226183924;13224850314124705174;1706095059743442831;7;-65384928;-469648392;1318746371;1188401478;3;1;2;2;3;12;3;1;23;22;22;22
175;133;12022;0;331;2BLKPTOL;0;0;292;1707914901056095488;9564376556194422223;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;13192956387928990247;wn;Qipcwk5vUZ7lo35htMSfmE1nz0C6gtdfQHzhQdQNsZz3OHwPjCWt1KMyeO9GNPHRxYnj0G;cwf;208099716;1;1312301257;7;1707914901056095488;9564376556194422223;13900040193144740269;1706095059743908573;1706095059743911161;2858338800136884505;4;9;fI5YFe1Vo9z;kq3VlBpC;177;18190455355382756709;1706095059743921844;1706095059743924638;2174308014900416337;11319791926075774742;1;2;840387731;5810943969655467349;1706095059743937394;12;117818601;1896163816;-1605878696;1210954783;3;4;1;4;26;1;17;26;23;23;22;24
175;133;12022;0;331;2BLKPTOL;0;0;293;1707914901065330944;13969251902375605491;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;6725499392402630146;cm;QtljJ18rQrk4Eh8TjMsx3AZr7KnL7vREkIJ381SuPVCeNsva40hnhHoMW1ZZnMYTWMAvGM;yOk;2123342926;0;4019879605;7;1707914901065330944;13969251902375605491;11978019535897259617;1706095059745940844;1706095059745943288;4034223416468149030;3;9;wLs2sfUU3RL;4CeHez8L;71;4774693908492793385;1706095059745954161;1706095059745957024;18308495094132525719;15220515617034945432;3;0;581937651;9580135780646259505;1706095059745969457;6;946262395;202956991;598278546;-780634496;4;4;1;3;3;122;17;122;24;24;24;24
175;133;12022;0;331;2BLKPTOL;0;0;294;1707914901081476864;17127106144282004538;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;10420890321279608836;L4;BolzvsKg8RTfdvJD0QOoE42erjyXtu9Cuydilbxtx2GxQX4DCirIoB7UkbgedcEx6x1cyu;7HO;4044296391;1;4041271779;7;1707914901081476864;17127106144282004538;18383758333509443426;1706095059749646761;1706095059749649206;-1460335904698279747;4;6;EnaTo4y4vex;Ob7W09Tu;17;10412576480043243647;1706095059749659947;1706095059749662613;5340878685565168130;4539254161311601346;3;3;773240909;7975132257314810872;1706095059749674913;13;1387620416;981785545;-1074806584;-291584471;3;2;1;2;12;122;3;3;24;24;24;22
175;133;12022;0;331;2BLKPTOL;0;0;295;1707914901083772416;10242652919254901148;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;15410550345934938421;sB;yiSjAOTwVMsH46V3RN6wvT2MEtGqotg07a6TVVOE2OlRMxbmsvAJBNRN5feCxn4IaKICfK;GZ2;201310474;0;2314124588;7;1707914901083772416;10242652919254901148;8650168565498896983;1706095059750191219;1706095059750193837;2915911929951193263;1;15;myomumzNhdH;bWIKBYJ0;82;14595167361880096245;1706095059750204667;1706095059750207575;2808906200880029290;2833900324247014518;3;1;179555593;642276326186387045;1706095059750220378;4;1944546009;-596779538;-1820601645;1815396205;4;3;1;3;122;12;17;1;22;24;24;22
175;133;12022;0;331;2BLKPTOL;0;0;729;1707914901275842560;1380929791292326987;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;5720535577681147897;ZJ;MLRxcRoTyAjj4iUUGfZQi5Se182yhXLZ0JbJzrQOwSWZYI8NwVpnbp8yLuVUOKFh2Vw13p;dsy;2996878951;1;4176256316;7;1707914901275842560;1380929791292326987;16122430675276759237;1706095059754137169;1706095059754139697;7111128252619096106;1;7;oGs42mUw4fy;ofOourvC;165;7733551692126989360;1706095059754150593;1706095059754153372;15940185771698685533;17047549002062971011;3;3;873184920;3588854965738597773;1706095059754166135;13;-1921113868;108152392;-517753466;1683095934;3;3;2;2;3;26;17;1;24;23;23;22
175;133;12022;0;331;2BLKPTOL;0;0;730;1707914901287514880;12872492967444602361;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;1106572295755281863;Wx;OBWGTFZNP8754AX2g66SWnSLqmoUgvUiVRQ3ERhYyGh1SWIvgntgmVEC41pktYPjGgws3n;te1;2553492281;0;11358153;7;1707914901287514880;12872492967444602361;4166041461612995545;1706095059757080877;1706095059757083582;7073074841111750735;2;8;4QMJSxUMO5W;3tbYfUwD;58;16646070155259854;1706095059757094148;1706095059757096959;8519322135663534704;5043256918683298521;3;3;509093810;16688955735818567051;1706095059757109722;5;-1492935898;1393586497;-305417643;-1222462276;2;1;1;4;1;17;1;3;24;24;24;22
175;133;12022;0;331;2BLKPTOL;0;0;1101;1707914901601833472;15275852882449518655;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;5335225445799982555;AD;Jg6ib2ZECG9EPFc8IFgyokv5r12rEQ5oTwjHF9LFx3q7HRi5vQoGCXGaavtZOIynA2xqhd;XIU;1988816536;1;1403079657;7;1707914901601833472;15275852882449518655;11177675713771411374;1706095059772673239;1706095059772675950;6747234779368003854;1;5;4kSAlCkjmly;MiPtNZQU;148;2773095549179299113;1706095059772686741;1706095059772689749;14167782815605289033;7400300392146017407;2;3;356770038;1200776677984096864;1706095059772709827;9;1804967245;-285541205;-828583631;-208745909;4;4;2;2;12;3;26;26;23;24;22;22
175;133;12022;0;331;2BLKPTOL;0;0;1102;1707914901624894208;10061083039311599362;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;614541690210646299;2a;pxGtPAlyBvyxBsCOt0bcDksnbHdrK8j35AvN7ZfIIgWJorfy6RuLfujmS0fMnau2PeUyUH;rCa;3914517719;1;3154998015;7;1707914901624894208;10061083039311599362;17754038925753504514;1706095059780079786;1706095059780082374;4548908235607050667;0;5;CjMn24dgKwO;2Bo32qPn;169;12817933696132849072;1706095059780093552;1706095059780096317;10099758128746902214;762935222988730383;1;3;184047301;7213032195329997129;1706095059780109275;14;-126419299;927180410;1918303820;711831487;3;4;1;3;17;17;12;1;22;23;23;22
