msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;eventID;bookIN;bookOUTTime;tradeTime;publicationTime;executionID;symbolIndex;eMM;sequenceTime;tradeUniqueIdentifier
99;89;12023;0;331;2BLKPTOL;0;0;296;1707914901013001728;8032214351351770309;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;14046758234998495118;j3;v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99;s65;2803396950;1;1479390798;7;1707914901013001728;8032214351351770309;4975212713124902405;1706095059896315610;1706095059896317456;1706095059896319327;1706095059896321865;3655996256;433085588;5;1706095059896330616;6Ee3dFY3BTrtjyNF
99;89;12023;0;331;2BLKPTOL;0;0;297;1707914901016199168;11659273359128192363;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;10303292442040980450;UE;TeiYZQukhTSrhCLrEykHxdGZo4QmuBOt1tTYZ1Mf91HoY66ENjwOaFWuQ7ziaPsJTYiQDB;Qou;4243392910;0;3399151433;7;1707914901016199168;11659273359128192363;10685738900708309492;1706095059896776566;1706095059896778761;1706095059896780828;1706095059896783497;1583749580;916475071;11;1706095059896792693;dAnpYqv91drc01G4
99;89;12023;0;331;2BLKPTOL;0;0;298;1707914901016998912;1587386296104164209;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;13192956387928990247;wn;Qipcwk5vUZ7lo35htMSfmE1nz0C6gtdfQHzhQdQNsZz3OHwPjCWt1KMyeO9GNPHRxYnj0G;cwf;208099716;1;1312301257;7;1707914901016998912;1587386296104164209;202432231400305063;1706095059896896724;1706095059896898711;1706095059896900586;1706095059896903117;3386539241;840387731;10;1706095059896911989;BCNCgnd87mSIGSZr
99;89;12023;0;331;2BLKPTOL;0;0;299;1707914901017792000;3119537479400197689;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;1707914901017792000;3119537479400197689;8897679580673048572;1706095059897019923;1706095059897022005;1706095059897024144;1706095059897026775;2709365793;588523366;14;1706095059897035864;1yRFdWHV9Rcj4TRR
99;89;12023;0;331;2BLKPTOL;0;0;300;1707914901022542848;17964887567007877551;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;1707914901022542848;17964887567007877551;8849820260955883970;1706095059897831944;1706095059897834032;1706095059897835977;1706095059897838646;2065273636;198284442;99;1706095059897847938;xQf5wiCYpsGltjGi
99;89;12023;0;331;2BLKPTOL;0;0;301;1707914901023333376;761040398344079067;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;1707914901023333376;761040398344079067;18021642716738891829;1706095059897977266;1706095059897979361;1706095059897981413;1706095059897983956;2795079103;588523366;2;1706095059897992990;CW2t0M9mC3RAxSbd
99;89;12023;0;331;2BLKPTOL;0;0;302;1707914901043727872;4490035875017660433;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;4263704605048348022;cc;8j7GxDN2u7nU0ZS9Yse5pGydZ7nVz7jftCKUTlFM8xw1Gr7QmQrGm2PvXdKS66GPNZ8MHY;Lcr;2596924038;1;403912618;7;1707914901043727872;4490035875017660433;687893647992889184;1706095059902628447;1706095059902630415;1706095059902632390;1706095059902634856;2031629799;576024396;11;1706095059902643631;eW3ucDCWqEOrKEbC
99;89;12023;0;331;2BLKPTOL;0;0;303;1707914901048587264;12204218957774610977;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;13192956387928990247;wn;Qipcwk5vUZ7lo35htMSfmE1nz0C6gtdfQHzhQdQNsZz3OHwPjCWt1KMyeO9GNPHRxYnj0G;cwf;208099716;1;1312301257;7;1707914901048587264;12204218957774610977;4837847774646206620;1706095059904043524;1706095059904045510;1706095059904047448;1706095059904049873;929454890;840387731;14;1706095059904058689;FwtfaXDHQUnZ7WTb
99;89;12023;0;331;2BLKPTOL;0;0;304;1707914901049504768;6679888241950275539;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;12054811170271428204;nV;FPXreqKwXS9gFZc7kSv3pq313nGk9zQg81axdoUMuKtfCtAMKbIy7eVIjVndhWk5PsL5Vz;p1o;2788483957;1;57016669;7;1707914901049504768;6679888241950275539;10319106146321559755;1706095059904284573;1706095059904286675;1706095059904288764;1706095059904291384;3683771357;618823017;7;1706095059904300608;UOChQq4QtCWlevNa
99;89;12023;0;331;2BLKPTOL;0;0;305;1707914901050515712;6337721228864366150;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;10606995290711262190;Uw;h87jMNOL4vwjTvXIdeXkdWDgQIxWQbVIObdEafrTNpV7SimHLddft0KF7vpFLSAvkZmZu6;fjQ;3344392578;0;1375184246;7;1707914901050515712;6337721228864366150;334162332470464723;1706095059904531746;1706095059904533834;1706095059904535822;1706095059904538309;2429935633;876746933;10;1706095059904547553;lNh2jI9X1SLzSkDe
99;89;12023;0;331;2BLKPTOL;0;0;306;1707914901051574016;10915035491697715524;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;9966071513210804530;XA;UOHARk1nvGXIsV5wwJqKODtYhAM5XxkofuPdTjKYM3uREHzpFGpZwdc2KAX1gjLcGPnAf3;Xqi;3126835492;1;316094341;7;1707914901051574016;10915035491697715524;5671478467568368653;1706095059904784840;1706095059904786917;1706095059904788807;1706095059904791286;1144099491;502919184;9;1706095059904800179;IEqkb8kWfX3bAieR
99;89;12023;0;331;2BLKPTOL;0;0;307;1707914901060251904;6050815332675806383;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;14697764618132829375;Dg;rfnDvkhphe7y9vBiZ1Obbb9JLSiVjnxrypVHQYUZRN6xwQx7DF2PAzpKLaGr0UAWuPl5sZ;y9e;1956078322;1;3146580866;7;1707914901060251904;6050815332675806383;17843413836654729954;1706095059907753097;1706095059907755222;1706095059907757217;1706095059907759824;1905278851;584956955;11;1706095059907769041;aM9RT8uBHIKinLwh
99;89;12023;0;331;2BLKPTOL;0;0;308;1707914901070520320;7018219560007342106;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;7487099411368351722;Bp;Lkk9fF6t7UC6GukUtZADRKWjTIeSlGoiGJS6WvmWR6YOfHzmxGHnHnUBkRnNyovH1gTYhE;2Qt;1829541870;0;3035844106;7;1707914901070520320;7018219560007342106;228819623967846421;1706095059911764211;1706095059911766325;1706095059911768328;1706095059911770900;2566066156;315494969;8;1706095059911779900;bTWcMVMZjXAppfvE
99;89;12023;0;331;2BLKPTOL;0;0;309;1707914901076830208;4532372076248217808;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;;yR;wzHVfmb0YtvdhVLVlBUbaKCRsIegwDV1R9UNs2iAoBIudXyrqNXLqFX8voc6wsHd0b4lgY;3rR;;251;0;7;1707914901076830208;4532372076248217808;17137624706920285814;1706095059914488969;1706095059914491031;1706095059914493071;1706095059914495699;4067585349;189474699;6;1706095059914504764;CLInAkN8N0kkFNgB
99;89;12023;0;331;2BLKPTOL;0;0;310;1707914901078399488;15517033922731123614;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;17467895347737353331;FW;nj0aDOedRgcRQzrXMSZyHe7zrB7U9D95JcLTj7t59GqhecuN1Ilj4b5oHOcgGq0DoSUptv;9AT;693201641;0;3222109028;7;1707914901078399488;15517033922731123614;9628255791848059878;1706095059915203874;1706095059915206107;1706095059915208214;1706095059915210873;2765275966;53738436;6;1706095059915220496;61ktnNXtnUmOgzg5
99;89;12023;0;331;2BLKPTOL;0;0;311;1707914901082328576;3244485029571995894;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;16824244099157158796;af;87H4TY3FEgOdbVLj5Al3f5RvH9wVWvzVtAlbU4iU8oBH8GplncVBxKkNs1uH4X4qgxSzpd;qyb;727212199;1;841884960;7;1707914901082328576;3244485029571995894;10003246173182011958;1706095059917034627;1706095059917036593;1706095059917038536;1706095059917041051;2652066566;889615201;1;1706095059917050091;YuXGfO5uxbaUptRh
99;89;12023;0;331;2BLKPTOL;0;0;751;1707914901278657024;1394133722697282772;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;10929083452623909704;Qp;ZyDvZNtZftw347NF64GL6g1YOCjtNgTG4gn0PaO94v2iAMQffVIk7BpoCZpdvrCQIBcvGf;KGy;1159840746;1;561918784;7;1707914901278657024;1394133722697282772;8465545246209940679;1706095059927409798;1706095059927411875;1706095059927414004;1706095059927416814;2340359453;221113253;10;1706095059927426230;hEMhH5fTzXjt3l7Y
