msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;messageType;messageState;recordSize;produceTime;applicationProducer;sessionTradingDay;deltaBasedOnSessionTradingDay;batchID
34;24;12044;0;331;MTXCREFD;0;;0;1707914646005061632;;K2CDWMTXCREFD;-;;;;;;;;;;;;;17;1;0;1707914646005061632;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;246;1707914648130172416;;K2CDWMTXCREFD;-;;;;;;;;;;;;;17;2;245;1707914648130172416;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;247;1707914656003529728;;K2CDWMTXCREFD;-;;;;;;;;;;;;;3;1;0;1707914656003529728;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;446;1707914656161434624;;K2CDWMTXCREFD;-;;;;;;;;;;;;;3;2;198;1707914656161434624;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;447;1707914665004413696;;K2CDWMTXCREFD;-;;;;;;;;;;;;;8;1;0;1707914665004413696;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;646;1707914665159994368;;K2CDWMTXCREFD;-;;;;;;;;;;;;;8;2;198;1707914665159994368;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;647;1707914674000347136;;K2CDWMTXCREFD;-;;;;;;;;;;;;;9;1;0;1707914674000347136;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;846;1707914674156551936;;K2CDWMTXCREFD;-;;;;;;;;;;;;;9;2;198;1707914674156551936;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;847;1707914683003662080;;K2CDWMTXCREFD;-;;;;;;;;;;;;;10;1;0;1707914683003662080;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;1046;1707914683158374912;;K2CDWMTXCREFD;-;;;;;;;;;;;;;10;2;198;1707914683158374912;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;1047;1707914692002776320;;K2CDWMTXCREFD;-;;;;;;;;;;;;;14;1;0;1707914692002776320;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;1246;1707914692157744384;;K2CDWMTXCREFD;-;;;;;;;;;;;;;14;2;198;1707914692157744384;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;1247;1707914701001751296;;K2CDWMTXCREFD;-;;;;;;;;;;;;;13;1;0;1707914701001751296;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;1446;1707914701157318912;;K2CDWMTXCREFD;-;;;;;;;;;;;;;13;2;198;1707914701157318912;2;19767;19768;1
