msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;aFQReason;bookOUTTime;eMM;eventId;symbolIndex;firmID;aFQIndicator;oESessionID;sequenceTime
73;63;12051;0;331;2BLKPTOL;0;0;314;1707914901007923456;16044140477985009818;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3348679182658530887;Dm;UbnqngxPRLvBibVAd5Nep624qO6YqnCnT1wFztGjUC8beNAgmUjy3JDjxr7tqUMdHsKF8G;bYQ;3374658886;0;2174242990;7;1707914901007923456;16044140477985009818;1;1706095060370032093;15;4745195013010478115;137559582;qNcz7HwS;36;11199474407226700776;1706095060370041260
73;63;12051;0;331;2BLKPTOL;0;0;315;1707914901008883200;15703929843829196929;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;7233542875087553737;7l;py8nuKQ6UPmKROFkHUE2KnxZ4lm8sjk0YJhOL59oEYqEeMTRaDLcAzoeC2NvwvKPLotX24;3aZ;2929561295;1;3397842308;7;1707914901008883200;15703929843829196929;3;1706095060370112615;17;13875353786120606661;839729658;8EoN1yWU;176;18134953078815740604;1706095060370121168
73;63;12051;0;331;2BLKPTOL;0;0;316;1707914901017716736;12037428441893457714;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;425687636301581413;3H;6bQR81ivF1qIGQVNOz8a36ClObp6rO8Wngwl25Y6NAmHFeN9KJgvJI3K17glAOnnarnoZi;RNW;279948516;0;246238483;7;1707914901017716736;12037428441893457714;3;1706095060371108654;4;9563681770289850059;857233523;f8f7OzqK;172;2882793955537762008;1706095060371116933
73;63;12051;0;331;2BLKPTOL;0;0;317;1707914901020065792;9742880083867191630;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;8845433091090285547;Rt;6xD8SbAGNGUSyAKuScGIHvS4BgdwbVbgxlNw0r85hs5VxgLTLwhFWfQGgyx25WMNqCXTDg;4on;1613020397;1;2323207793;7;1707914901020065792;9742880083867191630;1;1706095060371412486;10;8892047567257319374;372840;5hKrv8iP;7;2931700025902605134;1706095060371420703
73;63;12051;0;331;2BLKPTOL;0;0;318;1707914901024776192;9953986237677736281;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;2;7Y;F9ZIkABhUOGHhxQckbPzh6g3fmvAOPZtuxlncvnwz9peMGTa35MnLmQeg4vcg0STmykArl;FVk;1;254;4294967293;7;1707914901024776192;9953986237677736281;3;1706095060372086116;2;1462764387153454289;225974287;Do6sjzq1;232;9178983287940128876;1706095060372094526
73;63;12051;0;331;2BLKPTOL;0;0;319;1707914901037286144;4713093144380202880;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;4596634193538000816;NH;sdSGi6pm4bGS69BkRAZ0Gpnzr2BBTsHdAyelCs4oaiyXMSENSksybmpOVZEvx3COv7RkQB;hbQ;841316448;0;3865433911;7;1707914901037286144;4713093144380202880;2;1706095060374023070;4;10402745769573725614;471710007;y7ZTix1B;25;15579438425188044110;1706095060374031350
73;63;12051;0;331;2BLKPTOL;0;0;320;1707914901044420096;5903337434484241242;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;11037862016003139632;TY;cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr;5Ty;2794813678;1;2305051789;7;1707914901044420096;5903337434484241242;2;1706095060375371200;14;18032215499107963222;397856163;GuuhzbQA;211;17888856119323749763;1706095060375379660
73;63;12051;0;331;2BLKPTOL;0;0;321;1707914901071959808;16314942440033680765;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;12521463125458750881;Gf;d65LFjoKfHv1QWUp47jodnlcNbRl9pwOTzcDOMe7ks1nuARNxuho7RydEg1OJgW7j4s6iK;413;4231920129;0;2032486976;7;1707914901071959808;16314942440033680765;5;1706095060381830385;5;434625475819264811;588523366;IUVMfujk;223;15767747076551560423;1706095060381838917
73;63;12051;0;331;2BLKPTOL;0;0;322;1707914901073513984;4649858784653305531;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;6620225234107763773;NL;ZV8GPH5MLTbH9bG2MxDjgzv0xzRVpA4IVtYyjBDsZENMCyGtBZ1XplZprCI9kKdu9qhIES;GHZ;1077934047;0;3898597376;7;1707914901073513984;4649858784653305531;3;1706095060382274946;10;12158930374777537212;468243658;ha5WKI2F;37;2869950706358482591;1706095060382283477
73;63;12051;0;331;2BLKPTOL;0;0;323;1707914901077436416;11907484047885604019;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;2214246784611142582;Em;nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C;aDz;3596835518;0;932878956;7;1707914901077436416;11907484047885604019;4;1706095060383417381;5;5838927528692206718;519103305;TIdInYIj;194;16977386784158070982;1706095060383425747
