msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;symbolIndex;eMM;price;priceDate;priceInputType;sequenceTime
56;46;12052;0;331;2BLKPTOL;0;0;328;1707914901004161792;5230327748651044183;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;13650177468502622000;8R;IZpA9WEMNZv0J2qidLhxN9rONaX5RwUp7LKhfXM8qXYag3oNtYoR4BK89kZkFwon7eOBI2;cTs;4193006520;1;3232374376;7;1707914901004161792;5230327748651044183;768903345;10;27;351;95;1706095060418869714
56;46;12052;0;331;2BLKPTOL;0;0;329;1707914901012152832;1085744642523615840;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;11037862016003139632;TY;cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr;5Ty;2794813678;1;2305051789;7;1707914901012152832;1085744642523615840;397856163;5;17;31;227;1706095060419595478
56;46;12052;0;331;2BLKPTOL;0;0;330;1707914901013731584;3126123104192084885;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;13591859895925755072;zZ;f6ImqzSFwElMMmRxOOdWXKFFSYqJwagAhSTFhF4rkwsiyf67hYZdddLOOwb3DLsycHNDwb;9UD;2141840673;1;965100886;7;1707914901013731584;3126123104192084885;231362315;10;442;192;68;1706095060419782825
56;46;12052;0;331;2BLKPTOL;0;0;331;1707914901024729856;14480699043528985007;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;3348679182658530887;Dm;UbnqngxPRLvBibVAd5Nep624qO6YqnCnT1wFztGjUC8beNAgmUjy3JDjxr7tqUMdHsKF8G;bYQ;3374658886;0;2174242990;7;1707914901024729856;14480699043528985007;137559582;15;266;183;44;1706095060421203169
56;46;12052;0;331;2BLKPTOL;0;0;332;1707914901037965312;5896033139036848514;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;7127745270821806453;75;PdsUTbX4Gu6t8kcc4bbCYfzLbmKqCMO8vT8EYof0XF0DZndT82wd3cZ4PbhUH0AQZfNWks;QWZ;1719884878;1;346840462;7;1707914901037965312;5896033139036848514;189069970;11;190;314;162;1706095060423221831
56;46;12052;0;331;2BLKPTOL;0;0;333;1707914901039531520;15026489628399264637;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10618195290529947463;CQ;GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD;AAq;2681927103;0;40643180;7;1707914901039531520;15026489628399264637;703220993;1;351;378;188;1706095060423501876
56;46;12052;0;331;2BLKPTOL;0;0;334;1707914901042653696;13735280869895018448;K2CDW2BLKPTOL;XDMI;DSS_CDW_test;7;7;7;1434939254082355546;47;jTjKYQIzCLMIoy0DEdEJZrERSYoX1YnReQPfa04AMBCE31CTlzRXOVJhNkJbEVw8x7S8Ns;fu8;1342121182;1;3094473980;7;1707914901042653696;13735280869895018448;880078379;1;329;126;246;1706095060424096448
56;46;12052;0;331;2BLKPTOL;0;0;335;1707914901044207872;11506159993655164365;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;2747794012786548291;O1;N6sWonQgg8dwJraFkkov3Sh2XNFZvRpKliCeH7Iz2ZTnM2PGqeecv88RTIXtM6oUeH0avs;Fb3;3866550079;1;953821923;7;1707914901044207872;11506159993655164365;830866530;7;436;361;149;1706095060424398025
56;46;12052;0;331;2BLKPTOL;0;0;336;1707914901053948160;4797364311734198644;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;7098185481396160225;K4;lpS6vWoUolUmGWHXkKXlicPLknfumE7IxQayxm2dfpRvYdKxbr1X7YLTpuIk33RVcylHsr;ERY;2210663297;0;3262542249;7;1707914901053948160;4797364311734198644;366139516;2;376;116;248;1706095060426349658
56;46;12052;0;331;2BLKPTOL;0;0;337;1707914901054735360;12084463071438148151;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914901054735360;12084463071438148151;946518645;5;261;32;140;1706095060426522606
