msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;milestoneType;applicationID;mIC
32;22;12070;0;331;2BLKFORD;0;0;0;1707914876004729856;1118454251229772397;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876004729856;1118454251229772397;1;70;yVD
32;22;12070;0;331;2BLKFORD;0;0;116;1707915035000876288;16367307295356814997;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035000876288;16367307295356814997;2;70;UVi
32;22;12070;0;331;2BLKFORD;1;0;0;1707914876005798912;990111739931211326;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876005798912;990111739931211326;1;70;FP0
32;22;12070;0;331;2BLKFORD;1;0;118;1707915035002014720;10004589713663487732;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035002014720;10004589713663487732;2;70;yN7
32;22;12070;0;331;2BLKFORD;2;0;0;1707914876006613760;11749226149332677393;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876006613760;11749226149332677393;1;70;izr
32;22;12070;0;331;2BLKFORD;2;0;113;1707915035002864896;8990792216250041814;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035002864896;8990792216250041814;2;70;TPC
32;22;12070;0;331;2BLKFORD;3;0;0;1707914876007418624;12259822542330488072;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876007418624;12259822542330488072;1;70;VAZ
32;22;12070;0;331;2BLKFORD;3;0;116;1707915035003665152;12711541398255227595;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035003665152;12711541398255227595;2;70;qRt
32;22;12070;0;331;2BLKFORD;4;0;0;1707914876008229376;13148109072489231962;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876008229376;13148109072489231962;1;70;hzB
32;22;12070;0;331;2BLKFORD;4;0;120;1707915035004480000;11694086776495138587;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035004480000;11694086776495138587;2;70;Uup
32;22;12070;0;331;2BLKFORD;5;0;0;1707914876009024256;3354190788975647583;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876009024256;3354190788975647583;1;70;Ebc
32;22;12070;0;331;2BLKFORD;5;0;115;1707915035005286400;1048933303574576700;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035005286400;1048933303574576700;2;70;ha1
32;22;12070;0;331;2BLKFORD;6;0;0;1707914876009802240;6010222631544652345;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876009802240;6010222631544652345;1;70;HZe
32;22;12070;0;331;2BLKFORD;6;0;110;1707915035006091520;13766979110873966494;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035006091520;13766979110873966494;2;70;XEw
32;22;12070;0;331;2BLKFORD;7;0;0;1707914876010584832;11842939443932370213;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876010584832;11842939443932370213;1;70;Uco
32;22;12070;0;331;2BLKFORD;7;0;134;1707915035006897920;4072381712815097864;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707915035006897920;4072381712815097864;2;70;laR
32;22;12070;0;331;2BLKFORD;8;0;0;1707914876011399168;389268234762276985;K2CDW2BLKFORD;-;;;;;;;;;;;;;1707914876011399168;389268234762276985;1;70;lMJ
