msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;symbolIndex;eMM;orderID;orderEventType;routingStrategy
41;31;12073;0;331;2BLKPTOL;0;0;360;1707914901004860672;1835933049405020183;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;6626312878980010912;A7;XpJ7cVaRyMP30xrLVjb2DWNh9ZaSjgvjw5YoFvjZvV64vsdrARuyXeNZBwa6YHzBH1Vevb;95U;313942368;1;3542517590;7;1707914901004860672;1835933049405020183;782873053;5;1023319912485349113;7;1
41;31;12073;0;331;2BLKPTOL;0;0;361;1707914901005920512;2870961231041056783;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;14697764618132829375;Dg;rfnDvkhphe7y9vBiZ1Obbb9JLSiVjnxrypVHQYUZRN6xwQx7DF2PAzpKLaGr0UAWuPl5sZ;y9e;1956078322;1;3146580866;7;1707914901005920512;2870961231041056783;584956955;10;15178311195250343785;13;1
41;31;12073;0;331;2BLKPTOL;0;0;362;1707914901006726400;8981816498071490034;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;9966071513210804530;XA;UOHARk1nvGXIsV5wwJqKODtYhAM5XxkofuPdTjKYM3uREHzpFGpZwdc2KAX1gjLcGPnAf3;Xqi;3126835492;1;316094341;7;1707914901006726400;8981816498071490034;502919184;11;10050170884321595038;14;1
41;31;12073;0;331;2BLKPTOL;0;0;363;1707914901007534848;2428052137618632253;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;14925397566473685119;iA;Ogflczs4rPshlHD0xP9maECwutCVkBj1hexeed0dAaheiydN7VDBKjScu5hRkrQTaH97Cp;CKB;3973333575;1;1472418203;7;1707914901007534848;2428052137618632253;75493707;6;14471280127145660443;10;1
41;31;12073;0;331;2BLKPTOL;0;0;364;1707914901008318720;18382349820329955189;K2CDW2BLKPTOL;XDMI;DSS_CDW_test;7;7;7;1434939254082355546;47;jTjKYQIzCLMIoy0DEdEJZrERSYoX1YnReQPfa04AMBCE31CTlzRXOVJhNkJbEVw8x7S8Ns;fu8;1342121182;1;3094473980;7;1707914901008318720;18382349820329955189;880078379;1;13500727865363856428;21;1
41;31;12073;0;331;2BLKPTOL;0;0;365;1707914901009101312;342303597792213617;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914901009101312;342303597792213617;946518645;8;13356829667239382573;18;1
41;31;12073;0;331;2BLKPTOL;0;0;366;1707914901010006272;16799686986989846720;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;9751561908763964141;vZ;WVpX9nTvqnLWL7jGsWg3tGEjkmayf1FHmlTydihS7tz5kQiPpWegw6lib4mjjDspzCOH7z;epL;558546678;0;69290684;7;1707914901010006272;16799686986989846720;274114089;14;10957328984184647282;3;1
41;31;12073;0;331;2BLKPTOL;0;0;367;1707914901010792192;5956424298470825571;K2CDW2BLKPTOL;ETFP;DSS_CDW_test;7;7;7;8608480177233787394;0W;Tptinu2sxPn8jOBRKYzEq2HFOQ9t0lLE3HBMvYwsRuvekmfSW3KDhCYIHBXCkjFG3o0z7Y;ZyQ;3985526438;1;1377745811;7;1707914901010792192;5956424298470825571;646191940;4;18403872858056397967;8;1
41;31;12073;0;331;2BLKPTOL;0;0;368;1707914901011584256;9352252607430117035;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;18446744073709551612;GY;cFOR1cVJ7MtXpi5RnS6p6mB2HGb6CRGcAxzLaYwmDkgkEKnGzpQsGz8Atlbfe3SZ2qtJqi;ll3;4294967291;244;4294967294;7;1707914901011584256;9352252607430117035;142043921;15;5030520907489005824;1;1
41;31;12073;0;331;2BLKPTOL;0;0;369;1707914901012406784;7186167082098205672;K2CDW2BLKPTOL;ABCD;DSS_CDW_test;7;7;7;11552654860280982924;o4;slUFfWqNLrwNHI1iSdCkGni0lGVV9NFTo3Mgl3gZUaowrDecGpXRDT5ItiutYfbNu5fG2D;L11;139323470;0;3933947039;7;1707914901012406784;7186167082098205672;624214946;7;17651506873492690435;19;1
