msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;sequenceTime;orderEventType;ackPhase;ackQualifiers;ackType;eventId;symbolIndex;eMM;orderID;bookINTime;orderPriority;orderType;orderPx;leavesQty
92;82;12077;0;331;2BLKPTOL;0;0;478;1707914901013160960;15415160444118461299;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;16326185390817402054;P9;F4ivigLIrPwpcWfgdmkbIkD96RvhC1QhhNYtN30UQGJVTbs17hTf8JVCSDEtmZJx3rM95e;M5p;2175342837;1;691508342;7;1707914901013160960;15415160444118461299;1706095060223005737;7;5;6;9;4228831950863472646;487911392;5;11766126912493223625;1706095060223028849;13195225398988089911;9;780204111740250185;1200054952893071875
92;82;12077;0;331;2BLKPTOL;0;0;479;1707914901019610624;1630089163024139061;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;5892877872095613379;Ss;kWHhmWoknEaGxT1WyJCvNLfu2XlIZlLFCd2zXjvRDcdkP8NeB5bqJGXzjVURzQvY7jpsh2;9Dg;2611233839;1;1151219429;7;1707914901019610624;1630089163024139061;1706095060223985531;16;2;5;19;17464026997987250359;146079271;14;5655035395355244227;1706095060224007712;11335363647717929423;13;3979496845785667373;12216936111071887445
92;82;12077;0;331;2BLKPTOL;0;0;480;1707914901032812800;4528577981547291766;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;17019311978123542868;dR;z5r4psAhnEvWwqpXhq41paBiO4mXzJZOSNdBzKfJCWu8WYnimM9YJxZNFH7O0gAOfesS1e;C3l;2739451981;1;438787376;7;1707914901032812800;4528577981547291766;1706095060226328127;3;7;3;1;2917245634839899294;608805387;2;3379020271806215696;1706095060226350471;6366850736826448553;6;-3882660444525484309;18315975589389822154
92;82;12077;0;331;2BLKPTOL;0;0;481;1707914901042791424;5779221704448726569;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;15519337400172948934;pk;sjdofWx8791fgLKmy1zBPas5DWlMb8hhcHwGNL0LJL8dG3QRmeiKsGr5viI6OROHPMYygn;mFh;103756350;1;2167108551;7;1707914901042791424;5779221704448726569;1706095060228435425;10;5;6;7;18142669814410687207;704352555;4;15320352826249198963;1706095060228457367;16355801775676855669;8;1080859585653404074;931640199978131063
92;82;12077;0;331;2BLKPTOL;0;0;482;1707914901055596800;6518561665609292275;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;12369365502866502262;yp;Bif62lLmaxmwv5WSDVLqX1246SlTdVDRbRl4rFJi0pEe6wLFagE8My6OsbFa5j5vjUAqie;jEL;4083509881;0;2262818496;7;1707914901055596800;6518561665609292275;1706095060231490801;21;6;2;19;18251147881527937692;365314678;7;6552020854995998907;1706095060231512681;18146778128627139908;8;7658439939033219450;16568982911892250078
92;82;12077;0;331;2BLKPTOL;0;0;483;1707914901059526400;17437324395944245876;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;16640777651013728151;Wr;w08mLhl4SkS6mmCIgNqPyNsOVmUkdxRoa95mGyA7uPFKzvcFBpRhjD6KJXG38VMkjvAQdS;y8t;723370767;1;2063910704;7;1707914901059526400;17437324395944245876;1706095060232612612;10;4;4;6;7098121909451188826;636453490;10;2171175172702681917;1706095060232634717;3310623562119981766;8;-7106880601606147120;16679893963550156697
92;82;12077;0;331;2BLKPTOL;0;0;484;1707914901064259072;5233862567639076808;K2CDW2BLKPTOL;SEDX;DSS_CDW_test;7;7;7;10507740887165735935;r7;0WccAx4yPuDEK6AsnxM2VgqzVCU02OAwXxFsxvHUUUETdIgTovHqeiqrXD0y6Hzmdab4Z4;Fnn;2519685314;1;181852641;7;1707914901064259072;5233862567639076808;1706095060234029094;23;5;4;16;13086989789731044267;177707962;1;12831993703805934550;1706095060234051098;10199278835810932146;8;8460862409404957344;17413104085748989910
92;82;12077;0;331;2BLKPTOL;0;0;485;1707914901068219136;1426715903004353891;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914901068219136;1426715903004353891;1706095060235273622;10;7;3;17;13760166749686799044;733634346;9;11040332611350672751;1706095060235295059;3238318483164155647;1;-6443086828941738800;2837696412357875244
92;82;12077;0;331;2BLKPTOL;0;0;486;1707914901079334144;8674689439290408553;K2CDW2BLKPTOL;ETLX;DSS_CDW_test;7;7;7;7098185481396160225;K4;lpS6vWoUolUmGWHXkKXlicPLknfumE7IxQayxm2dfpRvYdKxbr1X7YLTpuIk33RVcylHsr;ERY;2210663297;0;3262542249;7;1707914901079334144;8674689439290408553;1706095060239010237;20;5;3;15;4588811836502743004;366139516;1;14221086796960464906;1706095060239032339;3777195578194825273;12;7714523845713741323;7879998921786119281
92;82;12077;0;331;2BLKPTOL;0;0;487;1707914901080122112;9008045864064086136;K2CDW2BLKPTOL;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;1707914901080122112;9008045864064086136;1706095060239290078;9;3;5;3;3597332302484929835;198284442;14;17594620055885313757;1706095060239311731;11328774938613281445;3;-4302231790941265910;10899625594133677516
