msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;countryLabel;countryCode2;countryCode3;batchID
132;122;12215;0;331;MTXCREFD;0;;448;1707914665006235648;14392959254291115471;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665006235648;14392959254291115471;dafN0qiCZgJG6AZ8Y0tYLGsYPtR4dWXqcGpRpZKrlIr7rilqFFCtNytaEOOXvQXrqw8tH9pO1cDZPK9bSeWP5rOTCrGYGkJAg1WI;bq;P9c;1
132;122;12215;0;331;MTXCREFD;0;;449;1707914665007117056;14385989699209811838;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665007117056;14385989699209811838;nQuNebqx2A0eCIwNJojqgC0kJlaUcR2buDbaJbtsy6z6DoiQr6WOaIpgpBka6HX60mev5wdZ8UBsvhFqHSF5n04gcorYCnCSiSDT;NQ;7K7;1
132;122;12215;0;331;MTXCREFD;0;;450;1707914665007930624;2076529436267683269;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665007930624;2076529436267683269;FN23Ai6H1o40qMaziGG3nCpZU9OD1Vnvcv3KQtcOnd9fbtJZ0jSh2WESFhohMOkw5OtWgRpSDSNc7nIrUHZIxAP4I50zbggOR0U8;M0;dLH;1
132;122;12215;0;331;MTXCREFD;0;;451;1707914665008747776;16792261920996368182;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665008747776;16792261920996368182;P7acSNGEKY84nWAZp6bhTCgIzPjUwXROqdXmufxGh7GR7fT9QVbmdSpwhyQ1zFODT4LeQHcGKwB3ZRWaxgHUWJFDhuUaHiOASja9;qD;ezE;1
132;122;12215;0;331;MTXCREFD;0;;452;1707914665009533696;3977544387451143565;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665009533696;3977544387451143565;cUH2857Ufg9qpFJe4HhAUOP3EWTYn4x9loNEqe5GNlAeUaMZgjfmTDHTtSzwYIzaj6KAUMQMItzsZAs2EPAzf7xLdtIl6hdoKwwk;BR;E2C;1
132;122;12215;0;331;MTXCREFD;0;;453;1707914665010324480;15826401581451204280;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665010324480;15826401581451204280;sJ7of1sVaeGjan6Q07ViJDi04FzoK4qhF6LI9eqY4PKEPH4Y7cB9iSKSAXtaKoBdndqtgnJNgF7VtRkFgeDvFLyKgCPJLAeuXOKF;tq;omI;1
132;122;12215;0;331;MTXCREFD;0;;454;1707914665011114496;16979460751277295029;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665011114496;16979460751277295029;tyLjBoFPHBGBSmHG5ROQiPcFz30mJib2gS3vEgTLPjjXvpHz2qzvo5pdan3fw16frZ8fjMvO3RQjJDpvJuw6KGW4YONIVA4YEVa5;PT;IFd;1
132;122;12215;0;331;MTXCREFD;0;;455;1707914665011912704;16949726599516349755;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665011912704;16949726599516349755;Q61kCJvfXwXuMLUuHHq84w58X9rSes0WFHuZEv4fU5DkKqbgBXJI8kHkChh4LOkiRjszMEIATOQNss2cosDFVxUPSDpWwel4iJ9z;W1;Umu;1
132;122;12215;0;331;MTXCREFD;0;;456;1707914665012692224;17963165641355343335;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665012692224;17963165641355343335;qAsOGqHndo7BIvbPtFX7I7UCQq655oXOtEnMhZXz3QF2Y7HiplMMfkpdQQ6432bLtSWnDzMB1TALqrTJUGfMevfjaKTUUCHoKrn6;P9;3U4;1
132;122;12215;0;331;MTXCREFD;0;;457;1707914665013472000;9907681790960433282;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914665013472000;9907681790960433282;bhytqsdhl8gH0KJMl92chQYUAB9XGmoF8z70U9hWSNAjbedYTpEWAFAe7m9U5hlwKt9NtWM0HY2ftZoxla0TWjNeXGJKhrgOs3Mo;4T;0Xb;1
