msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;currency;currencyLabel;interbankRate;interbankRateDecimals;dateOfInterbankRate;batchID;currency2;currencyLabel2;yearlyECBRate;yearlyECBRateDate
124;114;12216;0;331;MTXCREFD;0;;648;1707914674001874944;11254766770637195195;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674001874944;11254766770637195195;lBi;N2pHonKCpWjXHzUhFH3cPjSlxYz2ZctWbWEI73kd;17239844595890525187;7;36826;1;hzm;JU3jVLQ6eYHOAdgTrhlLJp8f3KdCI2PA6PCWKukb;;
124;114;12216;0;331;MTXCREFD;0;;649;1707914674002748928;8779299336093511068;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674002748928;8779299336093511068;igy;OVAyVGI1hhWcGGRH6y7z9cz4BXfVdtW9mJWgZiVW;5748812509128291901;7;706;1;6sF;uIqsRWSESvSDrVo3j458Sgx7GhQz5grlMcKKOnZM;;
124;114;12216;0;331;MTXCREFD;0;;650;1707914674003565824;9949128025078212662;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674003565824;9949128025078212662;lCF;FRN7DWuH5giqF76ffO6oicodWfbb07Pve5biS2o0;7870825881561993506;7;60246;1;m8a;Fq8ep5CHlyPxJTrG84sddabeCvzZfh2lSFlhm4Ij;;
124;114;12216;0;331;MTXCREFD;0;;651;1707914674004381952;14692723364685058951;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674004381952;14692723364685058951;U2G;K7GVJxfi2qWHdabfVptUOSy2XKTSe1dxawI4Q034;14372123261008155023;7;51946;1;aeP;uo9dwIUAHvFnngea6I5sztFb3LOW5z08gNxf3ARi;;
124;114;12216;0;331;MTXCREFD;0;;652;1707914674005175040;6339029701574717415;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674005175040;6339029701574717415;MiC;fQmXHSB55QLRZsQAKrAFVSaLP2ZWfXQi4bYpRKQ0;11725196472200367720;7;45060;1;4m7;0l9q5eobJ2U4GxXtZ299B72UdF5of0ReI39V5SU2;;
124;114;12216;0;331;MTXCREFD;0;;653;1707914674005976832;644063169728449981;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674005976832;644063169728449981;vnP;ZFjcmHEwhwiJL58PNT52czL0YmTN9cHQ9W8gIFZj;17910395172423581498;7;45275;1;Hu2;louQWPv5hNAzrQ6I2wPmIcv9HOMjBgevJCABGD23;;
124;114;12216;0;331;MTXCREFD;0;;654;1707914674006773504;16761128150855603441;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674006773504;16761128150855603441;A3B;LzSxk9cdBrxHYRzdMVUyeQs9URr5gnpKwxBC1pXV;12124408732820714521;7;40330;1;qQP;At0F7lmK8AdOvF7Ld7gghbxAHEZyK3JHIzRyVphy;;
124;114;12216;0;331;MTXCREFD;0;;655;1707914674007578880;7454169304151470225;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674007578880;7454169304151470225;thK;S7RyrXI26OtfXw3aNqrrDgqrbSqSpLTcF9UjMhyk;308490633214920531;7;34972;1;Rpo;b6h3PhhFCSHFc2c6kx5elh9Ag6E6UIoV8zDeUOZf;;
124;114;12216;0;331;MTXCREFD;0;;656;1707914674008378112;16291319513864097093;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674008378112;16291319513864097093;t5D;ZnMLEM70r2DPOmwGKD9P6ugeYuW0DB7hR5mVxOyf;8002242812408219895;7;30293;1;HLj;HxzHZ4xLlFN7yiFmEld90jb8FdAV5exeBNpZiMDO;;
124;114;12216;0;331;MTXCREFD;0;;657;1707914674009164032;11544127477908253919;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674009164032;11544127477908253919;J9m;7UMzWcvLtYVZRZLn8ZNCt2V721egvpEdZSPz6e9J;5121318878204654186;7;25952;1;5aT;qZvKbXFk2e6tDcRzLdoeZmf6BDxQ7NULCAdGMUgU;;
124;114;12216;0;331;MTXCREFD;0;;658;1707914674009948160;7818615590147687710;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674009948160;7818615590147687710;sHA;IdNtXmTtIjcn1M3c48J9td6CaRNyF6cE05GsBYzZ;5785035325377474122;7;23702;1;dMN;tw0KuJvmhL1RP7QeCcR3yo6F8zbJmX9X1kIuobzB;;
124;114;12216;0;331;MTXCREFD;0;;659;1707914674010736128;1372291896881972130;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674010736128;1372291896881972130;zCo;WeG17xbeOcJ1b2H65pSkLBdSN2sTZgyfZv5NfYAB;16144993794926133310;7;26079;1;DMj;CR15QpchD7GTDgPx2ZdTdoM0p10vtRDfZg3JxS3W;;
124;114;12216;0;331;MTXCREFD;0;;660;1707914674011509248;9563912715135429079;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674011509248;9563912715135429079;XZw;YHkXaD1Xa3BBow7U7V18osTT5sErt53IH4XxYW53;10871546843007783204;7;27130;1;uzY;H53C6h4wLk9ou6SnnVLvSS61DUlXEUKcbEQOOxor;;
124;114;12216;0;331;MTXCREFD;0;;661;1707914674012300800;9156710905245771066;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674012300800;9156710905245771066;ZaE;c6VfI31ajSFFoElJBkOMbPQvZBEESa2WYi9aCIYN;5948297237909479724;7;27687;1;Jis;Aj7QbzIkGMBweFG2xg5MJaJSRmIYGvv12WMKwHRE;;
124;114;12216;0;331;MTXCREFD;0;;662;1707914674013082624;2945472809267480826;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674013082624;2945472809267480826;eFx;TeJMRSqRZww1E6NUvL7oUeokYKXsgIroK4FDrlaQ;1807486562937709775;7;29884;1;WVP;tDGIWt8lEkkiJG8FxT61hq9D5VMlyDoR2pbOSssv;;
124;114;12216;0;331;MTXCREFD;0;;663;1707914674013865216;1054891304803330422;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674013865216;1054891304803330422;zJo;AgI7OXfonsXvRsihSBKw7JJcnKAiig8Wf2yh4idP;14676219752346359573;7;32693;1;MZI;xf7XclJC7UVinufpXOAD70Al3mtt81rFTxSxf0iY;;
124;114;12216;0;331;MTXCREFD;0;;664;1707914674014643712;6181008484264551392;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674014643712;6181008484264551392;6H9;lJmi2czpwnEOlAvlWJtFDeDuxpmE0KQpIPblgMZ0;8877399021229186873;7;36920;1;GKO;vjQo0jqsDsGUS3ho2QS90zOCkAW3MQ9eEZAsXptE;;
124;114;12216;0;331;MTXCREFD;0;;665;1707914674015426560;16465240253646938307;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914674015426560;16465240253646938307;X9u;uqpMa3qy039ixCGr9k3M5GaKFWdUrkQyvwFuolp3;3553215030205371681;7;41077;1;Vxs;K6sc4qMF9NN0hdhh05ZLHabBqa1wJkKoLJmS7E3T;;
