msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;participantAttributeDefType;participantAttributeDefID;participantAttributeDefName;participantAttributeDefDescrip;batchID
336;326;12218;0;331;MTXCREFD;0;;1048;1707914692003897088;16064778475650381366;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692003897088;16064778475650381366;3;17486188385351782277;KoWcljT3HKUtefgPYpUgBaHWCxs2oHnpFFuDNTlMqbHlxFQqNmhAkh73yv2MuSH0iaJ75XdoQIzET4biSHX9ad8Rc4N4pEBhin1V;npoy4AX0cSJ5tuawgGgmwp9cDpOY2un0eCnUjg63pTi59Bxt4aQgccPjDUOWLI2Z7tErztA8jByQVeSLNMfdrgfYwn49WWnCX4GZf2qNi5dH2qdTr07c4PzhKhGSpLRVy7TuMUcK6Z5XfQOLYa8peTiqrcYdqv5HKpiDxh2DXjbzobonRNWV5bLh4bc3ds0xTdm7c6Xg;1
336;326;12218;0;331;MTXCREFD;0;;1049;1707914692004748288;18415154368191265639;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692004748288;18415154368191265639;2;109032545777414299;26kMrKVtLAxgHEjAuPVdaTT08CtA5O5Au96WGFjUjOHSliOV2ubyQ1BbflHDajiXXBOotCdcTWKlmyx7L1KXfHYFPNuHs9vqJyPQ;s3XbWuKA26yWX3JDK4TnfQZ0eI21QoLR56aqBzdjXAwWHvaekZtYfg0d8ASjXZVfHOwKlgJzCO4J8qNlkUGNQncOjh8bvRbY4OtSErOS9EULJS7B9DrHtfVuryqcCAhr5SdEYSoPWyFKDpo1ajecLksH5WjWZqQ8pBeG0iKYP9VnZZStJSrX8HwlEJCU7BR4cjNPMLF3;1
336;326;12218;0;331;MTXCREFD;0;;1050;1707914692005553152;1973369816793587722;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692005553152;1973369816793587722;1;14423123955412986912;6lkhGNVBH2zFEvX1ojbApE6Qu9Md4d0alhXAfq0NadiybUQz4taNiABJvzea5dHxQRnbklAekcYSWAdb0MBSXS9IMeiVXTdUEg6A;G4MSV3TBK7Ig1rGUt3A1T3AipfRj8PLW7uhROgW7PcIEnQ32l3jF1Kdrmuvbr2IRGCJHNw90FHbuPnWYFSz2GcBOXvwyh7oTimqEMMY6FFL8fJkZm6cPWsNax1XXzFrkCczeqHLknDKAi3rI2lPlON8CYHW4xX5CN7DHWQoPscXc4yI5OTuKCloIXdIog7tOX9hdtqwd;1
336;326;12218;0;331;MTXCREFD;0;;1051;1707914692006360064;1620403641180021257;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692006360064;1620403641180021257;1;4890025462564970469;GqRww1ujeFvgqyDNrtPC38CsvNh4qm3TRmIXgqOQZeBxk1jcGLNN045XzFaOeP98WufBLUZBdEEHamrIu9qxeZ9ikBLvEcjelLPF;SXPsjrMnAGVwau49S1nW0FNzcEsnJiOLfDQ0zaA4rywEbazgHBmpaneDXTGp0FQGnZmpGoIsprEEivrXpJHoCawmRwjznlFlZ38sHlYsIbmWdg1C0ZS6EKwxXktklo9mFY3Hof723lDGWIcsQflQaFwMuW78Fv598egm2PZ4NWLhsHjPNXrox69qeJuEMTSVFVGFL4ws;1
336;326;12218;0;331;MTXCREFD;0;;1052;1707914692007155200;8002130431691196693;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692007155200;8002130431691196693;1;8058210004510614876;siPUK5Q2j7aF2AwWODIMfPegJ601ZJov77fa3YfjGbhiamrFxJTx7wW1pjZmF8cfewM3ISt9VZNfXz5DVuJ4QPsEQjxpcleeTJ0A;H29q7Ea3kNYWqhLUPNynt8GNFMuu24Z8z3RVpWLtu0JWasVWQtyaIWB9MXsCzSVe7NqLuQGKxEk94nsVlVB00mQTxohSipEOGXfZhr1VGOZ5T02LNJHKOFKRBFpYLJIDcksJMP8qs8Z0tGuv1t2ctGUNovB0BEkPJuXvJqip8FTRXMIF29Z0KXfViDutMPdGq6dAQ7FD;1
336;326;12218;0;331;MTXCREFD;0;;1053;1707914692007953152;6026767846661326609;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692007953152;6026767846661326609;3;10820894387332080862;xShxGcAdpOVBg3zfStscLn2TdP1NBzkf4dmp5CdIy2HucnKYbV397Z7BwKdtJs09LreWbZXgy0YZJ9S99r6GOyVr1Vbq3HuAMDWA;kQ7X0luPYfAIxd4bRGeeZE4QMDcjfZcUMbF3CUxWeswOxtc0wzyCoufKlruh8kuK5UP9yxIfmDYSqkNmVxnQfrkMZKbPOnPPjc8XUhuYY50BHXvFr67xgvhwoxQ56RKAwgfikwL4u8u3IzDbxGii57eeWrnexAgULRVEjjkITKr0tLUTJKoVjBvgw0HhWoNgKprWzPs0;1
336;326;12218;0;331;MTXCREFD;0;;1054;1707914692008741376;14314666114402739861;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692008741376;14314666114402739861;3;17991738098516808363;YOBzRSSynzcWFnO0oHtAWRgujflWCCJd9v4tqOLfjgoWRGHhAIbW1nx6deH5xb3YCinzxeOz1HFgyXx0lk9NGSVwN3z80ZcRXHCq;GUyt7AZFeuvchLx4Yf1l1Y4BviBlKnGxbC8cfbTJnH3PE5a6m5ePTbhPsluKynj3zRizsCEf4Kf9yA1FStkgOECJjcn4Nc1hiyLeomEeL3o5Dv1coL83Q5QCz93DfShl4Py5R7Cg3010H2r6I69aJ4yF3rgKTsKizohBxnNFAOXc2U3mxXox5VeaiBFH8qp7hy9PioYS;1
336;326;12218;0;331;MTXCREFD;0;;1055;1707914692009541888;2447620372193738524;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692009541888;2447620372193738524;3;12824722849310737178;CqIMvF9VQTTdIMNv66RjGsIwxmvKPe0t8YQiHppyXHzzEGEPPHyUlWi4uPJyozxGQCO430jHwQnoebqNlsuf89i9CAdWjflYaGkQ;xE62opmNnG0hE7EppnImJdvsjXJbIo1bACP22zN1tUZIuIvjPoaUg7Mw42RSEi2i7bol3AglLOyfWm43dNHlVAM1Mt5L2jiKYs4TaPR0WuZZYy1vcDCY3Vr7mXoAIaFEGsNv73c8ogfYlgIVZhp9Ypa9wBE5pYMlCi70gkFxOj1JJ90Q1sQR939rG7zg1iG2QNK87Uvr;1
336;326;12218;0;331;MTXCREFD;0;;1056;1707914692010330624;17786088823114074144;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692010330624;17786088823114074144;2;18120063935611339809;tAxNKVU3Sjuo1YQfbhe0GeNRbomlFQ8hMyjw2R2IAMI1YWWlRlDMSJezvK6EBq7mqmOUm58UBzEGdtNfCVmDKdWh39A30dPLQr6X;33oRrxXhksDfsQRR0Pow9kYP7gQfl1t0meVG2fgaXnYYZJWAS6iIR4hV9rZR0WEPgH1SREdNuMka3SB6vR6VzyOpiLd80v6GhzD91Z80zbICVW8wsnu8XWNJsUWDKv6hch4nla56jGJDa9oIPVslOLOgo8XBYhbqRpv2GOxMyAU8UVznL52j9188BXupj2NP8NtMEy7q;1
336;326;12218;0;331;MTXCREFD;0;;1057;1707914692011123200;10004385090543651691;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914692011123200;10004385090543651691;3;14813877252520723505;VbUNqbufbUEVuZhMmRhjk3JvDU988aF0zxDb0nbOwuOvcZBMD9dyukZfLP6JTVlLCw92LDnj5fhuBDohKV0heEgTDHvD6lEACFlc;1JyiQcRSlGl5oN5f7gxsFzZsD0d1bPsMV3M9DLzY6YG2IyOE6HUcKZ9LVdBbKaZNP203KIshXgfDYFq5Eu7kgwGKjRnNlGr4xS2do6b2XgBJAUqyipfcKCJfNYcLa1SC6z3TsOoEqa64uF7ozF9o2JpI80w5YkVkRqvaCf1dScpsEvUa1xnQQtEUrkAw4kWyJAIcktfY;1
