msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;segmentMIC;mICLabel;countryCode3;marketPlace;mICQualifiers;batchID
98;88;12220;0;331;MTXCREFD;0;;1448;1707914710001861632;10195055057776823941;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710001861632;10195055057776823941;bqMt;YubGfoPaCbMEEtoOoCTFEQUAilekDxrwk17J0OcrizCbVbS8vBM33RBH0PoO;ayU;Xbe;1;1
98;88;12220;0;331;MTXCREFD;0;;1449;1707914710002716672;2784070060922573814;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710002716672;2784070060922573814;cbqL;9eA0Y2fh0PY077hbpTq96YSEN5LLwBkeLauxpeqscZjI2WOpZN6fvRZsKmEg;WHt;41R;0;1
98;88;12220;0;331;MTXCREFD;0;;1450;1707914710003544576;6170561419039673732;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710003544576;6170561419039673732;M77O;Q4PTj4PrIPsoHgQS2khdGbooW1rZalSBzwBOFzgxbx0RyYjCxMNUruUq7egN;K4d;UMR;2;1
98;88;12220;0;331;MTXCREFD;0;;1451;1707914710004348672;13264522652900359360;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710004348672;13264522652900359360;IsxL;jY18DFJ1YS37IQ9MziClclJ3KRVkwVc27TVyEdVutZVkuYXfy6k9ykrPCbm0;wBU;VEQ;2;1
98;88;12220;0;331;MTXCREFD;0;;1452;1707914710005141504;6873238112190064367;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710005141504;6873238112190064367;xpop;zC39Ffp9OfNI1xWVfvKXc2mzBKQwy6hxc0zHGa1ZaxO30iwBH2YHaEws8ZlF;2rj;Va5;2;1
98;88;12220;0;331;MTXCREFD;0;;1453;1707914710005938688;7478617836794402001;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710005938688;7478617836794402001;EqtQ;zLYp3HfMe80L4QOX3KaN04y5k9jkR2Ed3joLxPMgUDfanfREbvRwZzRXN7wW;xQm;SUU;2;1
98;88;12220;0;331;MTXCREFD;0;;1454;1707914710006726400;14229466270038770398;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710006726400;14229466270038770398;Xroa;D76kUyKnRm8EY69nF0r1D9ql8M9qcazXgwcrHXKhv7IJSrMSvRo7tYlAAJFw;UH0;KYO;2;1
98;88;12220;0;331;MTXCREFD;0;;1455;1707914710007521792;11850938198101415379;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710007521792;11850938198101415379;qhT2;n1hrwFbKgWBGOSK9rGgR8Aue5Picobh9yHondKp1HuBhmSZDVnuEPX7jaoUt;xHR;l8q;0;1
98;88;12220;0;331;MTXCREFD;0;;1456;1707914710008311808;4509341460985287348;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710008311808;4509341460985287348;rnQi;aJIgrzJBwC20Eft8P905GM0hJYvkcVs51GUDDaCu8R2PXn9NJHNNXHgoCk4h;o7i;dDC;2;1
98;88;12220;0;331;MTXCREFD;0;;1457;1707914710009100032;11707389975066360388;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914710009100032;11707389975066360388;fQoC;YbIpuaCxBoIhjIeXp8P3O1YMUzMtldzyFXZyixDMY01B416pTZkgakpQyTMc;d1q;KRf;0;1
