msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;participantID;tradingGroupCode;participantCashAuthQualifiers;defaultCCPID;preferredCCPID;eRGCashSelfMonitoring;eRGCashClearerCode;sponsorFirmID;membershipRoleID;marketPlace;batchID;algorithmIndicator;dMAIndicator;coLocationIndicator
65;55;12221;0;331;MTXCREFD;0;;1648;1707914719006396928;6979155353856462393;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719006396928;6979155353856462393;eyoiTpcf;vQ;2;6;2;114;GefS0er5;rBiL2New;56289;p13;1;219;152;159
65;55;12221;0;331;MTXCREFD;0;;1649;1707914719007262208;13294112992583264714;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719007262208;13294112992583264714;G2ItY4Y8;gS;1;1;3;199;CVvznZpa;aIfMGFrT;45019;Cg7;1;198;69;242
65;55;12221;0;331;MTXCREFD;0;;1650;1707914719008103168;11340907431928451614;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719008103168;11340907431928451614;wAc1mZi2;5g;0;8;9;23;Q2KCgBLh;bGreaVAi;12075;ukA;1;100;108;11
65;55;12221;0;331;MTXCREFD;0;;1651;1707914719008917248;12274363745164581816;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719008917248;12274363745164581816;MbbfzC9a;CE;0;0;0;163;d6IGNhYc;bLIqQw1J;26425;74e;1;83;6;22
65;55;12221;0;331;MTXCREFD;0;;1652;1707914719009704960;6226361126475700783;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719009704960;6226361126475700783;gVu1s8nN;Ia;1;2;5;71;foAy9xi8;TsL9jya7;41593;mTh;1;0;187;89
65;55;12221;0;331;MTXCREFD;0;;1653;1707914719010508800;8439199482650703175;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719010508800;8439199482650703175;JBrPK1lW;78;1;3;7;99;9iJgYEoA;GWwErtQB;46476;bOe;1;120;64;99
65;55;12221;0;331;MTXCREFD;0;;1654;1707914719011307520;16641311588209984781;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719011307520;16641311588209984781;ce3MebV7;Bs;1;7;6;54;X5NjgZnY;kZfguU6q;54600;eLW;1;73;19;5
65;55;12221;0;331;MTXCREFD;0;;1655;1707914719012122624;10911614078522261731;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719012122624;10911614078522261731;yE4yOc2M;uH;0;5;1;25;PI9sd68d;ksAGqfDG;20881;1kf;1;243;137;221
65;55;12221;0;331;MTXCREFD;0;;1656;1707914719012928256;14506207082355641371;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719012928256;14506207082355641371;spvJSe9B;Na;0;9;8;50;2ugkaEv4;keeT6kLA;37269;DBd;1;157;57;251
65;55;12221;0;331;MTXCREFD;0;;1657;1707914719013722112;7104410396021342571;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914719013722112;7104410396021342571;RpZ48lM9;A3;0;0;3;62;raFjUn4R;SWwjgYF0;43299;xZy;1;22;55;36
