msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;iD;commercialName;iMiFIDCompliant;eSMAIdentificationTypeID;iValidity;lEICode;positionHolderTypeID;positionReportingTypeID;reportingRegulatorTID;participantTypeID;transactionReportARMStart;transactionReportARMEnd;transactionReportENXStart;transactionReportENXEnd;aPAPreTradeStart;aPAPreTradeEnd;aPAPostTradeStart;aPAPostTradeEnd;countryRegistration;commodityPositionReportStart;commodityPositionReportEnd;lastUpdateDate;sponsoringFirmID;sponsoredFirmName;batchID;operatorIndicator
324;314;12222;0;331;MTXCREFD;0;;1848;1707914728003778816;11275514926941838352;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728003778816;11275514926941838352;pHDlN1i0;mddgpkThgF6OtfayOUqqfWKaLdZcGLC7uqkkBN2PXEoZfzl6EYsTHjX86aVqMFN3PBExELB8qBKuwVQg0UE5YvnQZYzCpTDa99aF;176;16826066273899521685;37;qnt8d0eAqvoJaZ4JTOII;8770554483904479351;8171426366269421689;11118106342534291075;10;28869;32854;35847;38660;41722;44503;47661;50699;hEg;53946;57197;60170;gIYI8e7t;oj9msdgVi8Q4rE24z0hdb74DGry4n7UUMWFMzrisnpkLtejfkaJ7jZxdk8oEPU5y0O1LIbIXMnnguKjoD86FRk003pKPKtBUmXSS;1;74
324;314;12222;0;331;MTXCREFD;0;;1849;1707914728004671232;6417630661224848496;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728004671232;6417630661224848496;ZzexpNMZ;Em0jgqz4sk3uAxxjaJV8XntA5O22y3KrvunnSGJuPia9iwsPygJGD9C7NT79eFzmSj6AZgek6NPcqqn2mjcegL9GM9RKlenbxBe3;131;5945887484228627805;33;OWso5wkO1RjDqR1KuscX;11913774370394785906;11399566205409623610;4648749700067718424;6;59507;63083;118;2788;5688;8076;11003;13916;l8e;16922;19722;22498;riV6tRrX;NK8fYvAK3Xfh0S330AuBRrqCcsEDsJsAmxibXTXJvwrOqDzshbG6gzOE6PGectBrcy11cnfRRbpacqwscTzBQuX915nymqmfTIsR;1;153
324;314;12222;0;331;MTXCREFD;0;;1850;1707914728005514752;10176894852136093938;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728005514752;10176894852136093938;eSLI34ii;wsq2WPqRHekwVlsB5TYyQ6xmTqM9E2r93gCMMoGY5HHGzAoXOdxt5hwU5uksyu4mviKJ3NWPI2AecWLubInVWsAiJ2f9duGP9XIN;177;5705062699962830308;50;GUc1SUiWXw58DBxD6fZT;1653517991034224634;16739126174191308286;8581318263603588109;12;46320;49585;51985;54519;57344;59545;62466;65418;YNU;2879;5797;8601;HqezP59s;yJEo8TjvNSHwyt1FBwKnnG7l1OU1rth6WXefiKhSJpxC6PhXbFTnVYipL7FshNZsJ562KZqYw4lQlK4prd8bGaozzpQQF2dJA4Ut;1;90
324;314;12222;0;331;MTXCREFD;0;;1851;1707914728006344192;3393301400801671069;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728006344192;3393301400801671069;grwhxqjW;OnJlwv6WAqyem4Cu6pPy5PjleB0jxFMpBYZ3VomfPcVvgZfy5BOVtZikT1iH5NHRacUNwUd4ZNLKh4CkwprFA03CRpFbwUaePCav;132;10225745659343749748;96;twrWjMd05UkdAiDSjHRH;16831374952594280401;17300608962126057637;15206063233615515763;9;35459;38565;40962;43483;46316;48386;51245;54035;XRU;56996;59779;62579;J6tfZIHd;JeICiYWTNpCWMs0MPThM6Y7hHiJvmNEIwad39JUAT9nRrnE84Wl77jobAHRPvZ7oN8DuDjRAkIm1Qa5NVFYuOz6v0XQ4PImuj0NR;1;240
324;314;12222;0;331;MTXCREFD;0;;1852;1707914728007163392;12397693764362943809;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728007163392;12397693764362943809;d5n1HTnV;QcwZVlb4YaGbC3kXnOseJ8SgPQ9mHzvQZe8kEwJ252Sbdb9A6RLCLuBtk9wxqiw2EapMLEk1FGfNoIzm4oByV19WAPdlNoqqRr4B;73;8116832185525051331;43;Z8oziSpeVbOR6zaWbBxm;3948500692892481651;8249936113403815043;276850672352228566;7;28159;31372;33755;36299;39124;41333;44334;47185;nQh;50152;53016;55830;uGV80CFj;g5JnJMH9QI2AKbdAVSdGGPxKjsE3LNEv36O0mcA684vlbWrTQZGfXBLzKX0I7K5Cr2ssWQYi1EUkrkLssALWXOpxb6BFhIfmqdL8;1;26
324;314;12222;0;331;MTXCREFD;0;;1853;1707914728007983360;9225582058235927409;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728007983360;9225582058235927409;avolYCyd;XI4t2vCFEyxCeOTqUY8KhB0IlZjUSmjCYCpFd0L6zLcnk2aeECMU9gZ7erSJjrhCQ4kSkU0zhwt9e5bggG7pRXAYk827m8w1jK9u;87;5944775999330225226;226;8DroKP4MAkHTS0laU70C;1733911704037755031;18223392950162358369;15015187718005481808;2;33790;37078;39552;42182;44945;47106;49866;52703;LYA;55698;58506;61185;zxR3mvXO;E9AS1WOyq3EodzC1096oumEpzOavBPSpoZ4vjpbbiu2HRWaPbSuti1bUPWC4uwtcdtckUOGYbQBsAehhAS82STdKUReKN2ole1rh;1;40
324;314;12222;0;331;MTXCREFD;0;;1854;1707914728008810240;13986414234420324153;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728008810240;13986414234420324153;HW1P6gcL;L1OVnkkRcg3tj0tDbnJ3gaI7gTvJFRe89dYtScKQD4sGZSo9V120A5EpzcRAqw8jWWKikgfjMEtmFqMtX65CHgN6gfSqj0G99cLT;161;15487884965925689119;221;rbcDeOSaxfVdeJUWaU2e;12337748832624040048;17652201561264505066;8417747903922874622;1;37514;40902;43389;45990;48975;51165;54006;56913;V2x;59718;62475;65291;k7jM8zBF;vAyLDuzvCEE4eXQP7IRHJQRkWlYvNOtrpVlvM7TMza2yBZK0EwE8mkx2ZrXsWGS8YhFZ2Z5ebRir60VZnFVNBQhL9dJzaLjzUk2x;1;40
324;314;12222;0;331;MTXCREFD;0;;1855;1707914728009652480;10050757018788298705;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728009652480;10050757018788298705;Q0zgVIV3;nA9EcqnEd1qxmkEcPYD6Pq75Cq1VtN8ws7OYA6DJ2wMa1FFwdeVGc6cXYEUHFQNlqems4Yi9OJbcmLtu02HBG1a0x7jl4haTYAFn;112;1000130849996827981;83;d0YhQLHD5dptuFmDRr3X;9672023260109575741;580693626852742093;3811290806424544112;4;45864;49075;51495;54074;56847;59113;61897;64715;f2k;2139;4964;7686;fh2g7U9h;mBZZl95BMCevtSxyIPW4cn8uk0mdbes84ZWJwCoCDO4WZzuvzOcaCbs8IV7rHh3aUGlmQJb6secYz7noHS8bk95vUhfyoW1UBBY7;1;71
324;314;12222;0;331;MTXCREFD;0;;1856;1707914728010466048;14674547058540436515;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728010466048;14674547058540436515;jvd3enlb;OjLHTEKnnAxD5L3elzpAqn7d8DerUVSoD5vIoeZy4ct8mZu0U4WBApsQTj7leszE6QMWK8gikIEwdBHxChV8tngGdAyCNuFfXgyp;110;133845893583032226;20;Hz7RC9S3W0vBkyPsbmkR;13586655181832087033;12603044691011794717;3954978018193011011;11;58943;62084;64546;1549;4387;6544;9445;12225;EDy;15081;17889;20709;6VezaKyp;cBzU0rNlWi4agOOnhZVPwR2Gj7t8B9yb2TJ4ehhQJFxOXxbfVWwhdDBoLCnZjOPlKf4yLyR71tdgJJlGG5XJcHpdQEZtUwZ3OpYw;1;7
324;314;12222;0;331;MTXCREFD;0;;1857;1707914728011279360;7921008617536130010;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914728011279360;7921008617536130010;J5jXAqoX;6MxQIlvNp0gNq5xUv2llwTXGnStpc1CWKaE7261VpCwaisnYbmSWHZDQOuJ63PrHOimmhKdozvIxRWg1NHvGgMnGA5YR8Ni5p206;250;630422427751287284;54;2PJ8aypAkQzBcbmJXOr0;16891004690930582625;7965348120231890462;3448011854356501935;5;11785;15027;17453;20092;22978;25280;28065;30841;8FK;33722;36488;39264;UwyIYeyV;31ckkqSPCiEEzUAA0BubzOsIEAR0rfYfObcQ1bw5BXM6lXJlgY8QaVbqJXeNWhfDyvSzAOpLRuvr2jIw9OLGPAUrhF4xibC7VTS2;1;96
