msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;marketPlace;marketPlaceLabel;operatingMIC;batchID
94;84;12223;0;331;MTXCREFD;0;;2048;1707914737006193408;9739860793974719405;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737006193408;9739860793974719405;E9w;C6OCZvcl2JPud2RPsDzsdJUSe4C4qVLOrXwx8ZFaciRWVv04oySdSDzhN9wH;X15G;1
94;84;12223;0;331;MTXCREFD;0;;2049;1707914737007036928;702090416854668867;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737007036928;702090416854668867;ycm;goFFssXDjKg105g5gTMequCzJmohBt1YDlEXlzM6kiECEqfmfSVXjHlzwYWR;2hjs;1
94;84;12223;0;331;MTXCREFD;0;;2050;1707914737007843072;9015056264106132854;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737007843072;9015056264106132854;YE8;RL9JPRtZgcA1P4yYtnFrqcssIUG537gp6kMHrGacFxeTKPKpcEZN0BwkIcKB;Vm04;1
94;84;12223;0;331;MTXCREFD;0;;2051;1707914737008649472;9431884116531995076;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737008649472;9431884116531995076;D64;ipyycvR2rx2OiNlnxLUppQnQeNtKbMwIwIvRVYKjuX3tU0PK9cX3w2kokg2i;EdmB;1
94;84;12223;0;331;MTXCREFD;0;;2052;1707914737009426688;10142867457996999663;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737009426688;10142867457996999663;NzS;sfPzGoV4OvXrnQOYflc6VcguQHwbVZlBIFtkJ9xrqtQDaRQMA6iKcp00hlSo;emm2;1
94;84;12223;0;331;MTXCREFD;0;;2053;1707914737010214400;15583129391763838166;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737010214400;15583129391763838166;WNe;cOhp2Bv3qzBPJNAHFvUCw7WN8phl1wL97L85kG5jiqJoglO46MXGQx4Lioz0;KUl7;1
94;84;12223;0;331;MTXCREFD;0;;2054;1707914737010987776;17827732605983696485;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737010987776;17827732605983696485;CV7;ZnCnl2gBiSodZMBXs6nZy7IziPIQiFX1qC5ez1apqw1Sf0VbMLdTlwPhrP21;ZmeM;1
94;84;12223;0;331;MTXCREFD;0;;2055;1707914737011778816;5840116145454976966;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737011778816;5840116145454976966;obZ;w3jBlhGFuxjItVfBPVHeAgrl15KF6phMPUQRZwtL0WOq4TX0AsvjQD6ovc7T;75to;1
94;84;12223;0;331;MTXCREFD;0;;2056;1707914737012548096;2752034510140226738;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737012548096;2752034510140226738;O3D;5z2Sr0hZVkwsV6en7m6C0pLGMlR7VvWQu220J7eMY45MfEApPost8MJzT126;GAcb;1
94;84;12223;0;331;MTXCREFD;0;;2057;1707914737013323520;10260430969511259488;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737013323520;10260430969511259488;NzG;cjb59UQTHrT32C7UWDXG1Rm73LqC49OsyUumIOgx2lQ6FI2Xq1SpP11HjW6t;ouGK;1
94;84;12223;0;331;MTXCREFD;0;;2058;1707914737014088960;18207375551298121379;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737014088960;18207375551298121379;9XJ;yFIKshrcW4Sa9jvD2eXgVIIYp4E2EMU3m5v4yhOJJMZySX7qSTlZFvlQtJ7b;W6i4;1
94;84;12223;0;331;MTXCREFD;0;;2059;1707914737014869248;2544291004742923504;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737014869248;2544291004742923504;z3d;dHlcgl24LB7lfUG9xe1TEPmSZeKzl1GTWPtnCTGOXcqMIUQmCzQZDtFLGGNr;oHAO;1
94;84;12223;0;331;MTXCREFD;0;;2060;1707914737015638528;6211265267800079847;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914737015638528;6211265267800079847;Ygf;Va91DFb1U7D3qSdXF8Z6and5UTLJaA0UwOlEGMqiIN2CLTWEkDgJlPX5uObo;Sn3e;1
