HDR_MESSAGETYPE;HDR_TOPICID;HDR_PARTITIONID;HDR_OFFSETID;HDR_THREADID;produceTime;consumeTime;versionID;HDR_BATCHID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;symbolIndex;eMM;patternID;tickSizeIndexID;marketModel;lotSize;instUnitExp;orderEntryModel
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;7;3401;5;5;3368712514100805261;9;4
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;11;16597;2;5;14347931892943546355;3;6
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;15;42910;5;7;13828622704349969570;8;4
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;9;42632;5;5;18297497274446705999;8;2
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;9;48093;5;2;13771720910777649153;4;21
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;99;41977;4;8;2853875812629089192;4;12
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;11;29554;3;5;6328296787913885074;8;10
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;6;20310;2;8;6017892429016558107;5;3
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;10;62319;3;8;1089319378250329246;7;13
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;6;42714;2;6;10748232475080898104;9;3
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;15;63135;5;4;13732112660703587554;5;20
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;15;22642;5;5;4816265710171511642;5;3
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;4;4223;4;3;5782900138940010036;4;16
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;15;17051;5;6;16692286949990608374;5;18
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;6;48505;4;6;3143726267897247405;3;5
12224A;MTXCREFD;0;1;K2CDWMTXCREFD;1707914646011578624;12511066938818158230;331;1;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;768715101;7;61086;2;2;13326198588094519119;4;5
