msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;authorizedPriceFluctuationTableID;APFR_minimumPrice_1;APFR_minimumPriceDecimals_1;APFR_authorizedPriceFluctuationValue_1;APFR_authorizedPriceFluctuationDecimals_1;APFR_authorizedPriceFluctuationType_1
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;22;7;50;7;222
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;24;7;22;7;112
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;10;7;51;7;70
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;17;7;104;7;71
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;23;7;51;7;131
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;10;7;49;7;244
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;14;7;114;7;178
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;30;7;1;7;194
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;15;7;72;7;37
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;16;7;13;7;230
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;13;7;32;7;249
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;27;7;99;7;1
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;28;7;74;7;100
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;29;7;89;7;3
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;11;7;39;7;112
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;16;7;18;7;197
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;10;7;32;7;112
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;24;7;90;7;38
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;19;7;121;7;232
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;11;7;77;7;37
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;26;7;8;7;45
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;26;7;77;7;201
4857;19;12228;0;331;MTXCREFD;0;;2648;1707914759005275648;12961912020131517902;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914759005275648;12961912020131517902;1;48986;22;7;65;7;113
