msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;firmID;iSINCode;mIC;currency;symbolIndex;MMR_eMM_1;MMR_role_1
111;48;12229;0;331;MTXCREFD;0;;2848;1707914768004556032;7276976995759595187;K2CDWMTXCREFD;MIVX;DSS_CDW_test;7;7;7;10929083452623909704;Qp;ZyDvZNtZftw347NF64GL6g1YOCjtNgTG4gn0PaO94v2iAMQffVIk7BpoCZpdvrCQIBcvGf;KGy;1159840746;1;561918784;7;1707914768004556032;7276976995759595187;1;FqzcDjXf;3IrQU8p01OF9;X3pY;48F;221113253;17;GcHiSsOJ9Q4fIFD3NhpbbCAm2Rafyr0u6VfCu1Cv5jy2qJXlkY
60;48;12229;0;331;MTXCREFD;0;;2849;1707914768006289408;7499429123045966976;K2CDWMTXCREFD;ETLX;DSS_CDW_test;7;7;7;11491051784184581446;7B;rMpkIM2t3nc0O2AZCEUStHW73AUCjNyLDdsfN5oiQ3cSuX7UM3WlJaNzslBo47uSElWlx1;uUk;2164569466;1;2265274919;7;1707914768006289408;7499429123045966976;1;jR3QM884;qFe0LOJR7qbp;Zfvn;O0s;733634346;;
111;48;12229;0;331;MTXCREFD;0;;2850;1707914768007846400;17519283905441699244;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914768007846400;17519283905441699244;1;OkBFEVob;xtei3HRNhkDa;HcB5;vn6;710897910;5;mPx5DyalwTp6AUb53krGFfwFrEc2rKAFCVJ4ZER8Ux9fK1ErMm
111;48;12229;0;331;MTXCREFD;0;;2851;1707914768009393408;108484166210261804;K2CDWMTXCREFD;BGEM;DSS_CDW_test;7;7;7;253383926040436670;rY;8sJh4IjTQ36PIQZuVACyJ3nhjBAcIpHImKwFt9MIVJ7XV6zSpsH3fNmc4FsgnJLHhlRUMq;RK7;4069860172;0;385347070;7;1707914768009393408;108484166210261804;1;P0BniNs8;hLr7IVSdlifC;o84k;958;812571727;7;KMqK5EdJGjFmpmsIKqfXyMIjn3p1bWNuJrX7Sg2h5HKoNUAb32
111;48;12229;0;331;MTXCREFD;0;;2852;1707914768010936832;500078136031995116;K2CDWMTXCREFD;MTAA;DSS_CDW_test;7;7;7;9801344369318373676;6g;NRognJTtB0ihEBXWX7bDcmys9vo7S3b3x9E7WtgBRCzN2nxmMKnOXWxYeMIKBgP35f0LEL;6fk;1466185011;0;2234508486;7;1707914768010936832;500078136031995116;1;QzUUK7EV;BPqrQBvCxxQ6;Tfq4;CUZ;773471534;14;CQ6kycqZscHypSZnIZ6m1WQST7pVqrdIgay32Tbj1eMFCiwSOK
111;48;12229;0;331;MTXCREFD;0;;2853;1707914768012482816;10751187671191354621;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914768012482816;10751187671191354621;1;Knwu24tV;oLfy9wjFtKtN;M6lt;LX6;946518645;9;t9hnMFXnrhWVbTaurnDU1w2l1rE7K1yMVXMXsrjam4ZyOYDjIJ
111;48;12229;0;331;MTXCREFD;0;;2854;1707914768014033664;5532317978153231545;K2CDWMTXCREFD;SEDX;DSS_CDW_test;7;7;7;18446744073709551612;8n;6EdEl6DJL4CHIU9Ra3uHjoJ2tIR8YEYVD8WPMSp5HRGUjr9BYVPFjHxJ4WjN0voO8y4Nh7;7st;4294967284;251;2147483647;7;1707914768014033664;5532317978153231545;1;pFXGciis;L8elrRKzwfnY;1epN;pRH;355525551;6;LPnSW3WD85IZ77OS9RT7TVf5mWSb0wnl6NSHGFuE7y3nMQ1uSa
111;48;12229;0;331;MTXCREFD;0;;2855;1707914768015593472;16697262018653001786;K2CDWMTXCREFD;ATFX;DSS_CDW_test;7;7;7;6508669201590734907;x9;TdbzAJ7bc8JyBFXvKkdK09SIx34YJk14Rlzl1MxRq8gEt5P48CrNRPVixvrwTYewUArhZc;4z0;1460889714;1;2377036615;7;1707914768015593472;16697262018653001786;1;spCYasek;khSA53sD7Uef;GMpH;Bog;896742034;2;OcUcnJATTXrvh34f7rdwaeRaq3klr27cjTzkYYL5vlexOsp5m1
111;48;12229;0;331;MTXCREFD;0;;2856;1707914768017121536;9189004552930677601;K2CDWMTXCREFD;BGEM;DSS_CDW_test;7;7;7;7487099411368351722;Bp;Lkk9fF6t7UC6GukUtZADRKWjTIeSlGoiGJS6WvmWR6YOfHzmxGHnHnUBkRnNyovH1gTYhE;2Qt;1829541870;0;3035844106;7;1707914768017121536;9189004552930677601;1;8k0WrCuK;nMSMynujltpx;3JUE;2UD;315494969;11;X3ZUgElILiSuAEuimO9eDEvQBu4zxmKToEiPowmrs04x5qBCyu
111;48;12229;0;331;MTXCREFD;0;;2857;1707914768018657024;4557386657688936748;K2CDWMTXCREFD;MTAA;DSS_CDW_test;7;7;7;18446744073709551613;zt;NTlbszIfYkRHBibTNnBiPptZ1J17au4830es8zhgFQsp54vP3Cy8c0pZYI40w1scUJlVni;R9T;4294967293;0;4294967291;7;1707914768018657024;4557386657688936748;1;5LGOhCSn;PLn2rcJHciOY;MX7S;m30;836350944;1;Iw723tPEyNieQcVc5Ipuj6sk57JlaWijzmSYZ4gr9WUYsudS0w
111;48;12229;0;331;MTXCREFD;0;;2858;1707914768020267264;11733019562870006782;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;3265245924283388256;PP;PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib;ZqV;3161710950;1;2181840232;7;1707914768020267264;11733019562870006782;1;Te9rRU1g;nM5F0RNJLysj;ncCN;jGj;958873221;4;47SXXuC8feapPP4flK9Ffwmp7Kru8b3pbppbvQIuTIBlbV4ASB
