msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;marketMakerContractName;iSINCode;mIC;currency;symbolIndex;marketMaker;startValidityDate;endValidityDate;startTrackingTime;endTrackingTime;spreadExpressionType;spreadMaximumValue;spreadMaximumPercentage;volumeExpressionType;volumeMinimumLots;volumeMinimumAmount;tradingMode;mMRefreshDelay;snapshotDelay;warrantSegment;presenceTypeIndicator;marketMakerContractFamily;marketMakerFamilyName;role;percentageBBOPresenceTime;percentageBBOSetter;orderDurationofBBOSetterOrder;spreadMaximumValueDecimals;lPMonitoredPeriod;lPComparableSizeUnitExpression;lPSMCRelaxedObligationsIndicator;spreadMaximumID
280;270;12231;0;331;MTXCREFD;0;;3048;1707914777005127680;227394332401877848;K2CDWMTXCREFD;MTAA;DSS_CDW_test;7;7;7;9801344369318373676;6g;NRognJTtB0ihEBXWX7bDcmys9vo7S3b3x9E7WtgBRCzN2nxmMKnOXWxYeMIKBgP35f0LEL;6fk;1466185011;0;2234508486;7;1707914777005127680;227394332401877848;1;Y5pjTlX32KoJlyWlqC29;WPit2udB8N29;4cQj;neY;773471534;FCPQUOKA;20240124;20240124;071000;190000;4;100000000;17171586558081703116;2;12258027421542655686;2392562464671216062;2;1545000014;2561545369523583295;1;2;atuRJYfcdgsyZ2B;TfJpGvIHpYoBdSNYS1rGqLSgFZfUCN;QUEHUomj6m5rzILQblz0jwK5H5pfNG9cHkSxHj1eiege2AwEgg;14453717518415694460;12168601546625031853;11527133311782342423;7;1;T;36;14930
280;270;12231;0;331;MTXCREFD;0;;3049;1707914777006060032;5336984915907965322;K2CDWMTXCREFD;SEDX;DSS_CDW_test;7;7;7;4877442485009327040;N4;BH9BigX6VIVD0miBMBclwv9tbzoMnFvyMeButt22tC7gZ78l6IY7Uz7GlwEucfIQ7YCjPD;Ejj;2610298077;1;3847417095;7;1707914777006060032;5336984915907965322;1;4KDR4vZxKMOVrTgDpbMn;zfnuVb5WxFCM;oiBg;tvE;41437899;EWY9ncwq;20240124;20240124;071000;190000;2;100000000;18400305614383190643;1;9330520493286618596;6149228083488116145;0;-846122604;8803130889180099568;2;1;HDIUdfqdoyw42Sf;K9oolmUw575j9FWkrdXp1ihuhK8JFY;9cwXY4ceD3CvADjEbpDJn34r8xeoVEDe496QoRGt4TFBFr2Isa;14775899446554493209;6585455060347715052;9977045105155526034;7;3;C;4;37168
280;270;12231;0;331;MTXCREFD;0;;3050;1707914777006910720;3379594683470864533;K2CDWMTXCREFD;SEDX;DSS_CDW_test;7;7;7;6620225234107763773;NL;ZV8GPH5MLTbH9bG2MxDjgzv0xzRVpA4IVtYyjBDsZENMCyGtBZ1XplZprCI9kKdu9qhIES;GHZ;1077934047;0;3898597376;7;1707914777006910720;3379594683470864533;1;Hyt56zbLxLonXF8uUZ1K;ivz8tq9fK6Rx;Vs7K;sRQ;468243658;9LXIYCyH;20240124;20240124;071000;190000;0;100000000;8150877682571519078;0;2718323545669665725;6119369326685192232;3;1329489581;13268836832715137662;0;0;nTILbYrHRhgC4TS;rwpUy27N60bY6hOlqhBNFow7FATRYk;w1FLg1ENm7vOsT32x0zJhpQep8BChL2zoxmP2Cly7NukBnhf1H;16527586693923790842;14019027799612753262;13409237890117695290;7;2;C;69;8276
280;270;12231;0;331;MTXCREFD;0;;3051;1707914777007750400;1465314736439701215;K2CDWMTXCREFD;MIVX;DSS_CDW_test;7;7;7;8445089558153260292;oC;tNR9GZMegQGUSEFrWY0ZHM73TsfCZc7bEwyByBpHhhUgLWxhcYigs05uXKbIhT79JcPC5I;pDb;48157226;0;629981124;7;1707914777007750400;1465314736439701215;1;kgrMaAr123llVn2xEzIq;s1hlikkJmolL;88WT;6ZA;213087042;6KRWqlPJ;20240124;20240124;071000;190000;1;100000000;5805378601524703606;1;6480939588895063351;11186833965713610816;1;-1796100425;16971747611568150672;1;1;nZ0otx9XfQhF8mW;pa5jHfty3e7hGtWX36mxQRyndmAJgT;3SCCSZv07U4Mjcdr9k4fhiR7dpJRePbv94EL5Dcv4eiI55b1xW;17334035528151419265;6104549804271541418;4852624162865188134;7;1;C;242;44361
280;270;12231;0;331;MTXCREFD;0;;3052;1707914777008563712;5306010575190375718;K2CDWMTXCREFD;ETLX;DSS_CDW_test;7;7;7;8845433091090285547;Rt;6xD8SbAGNGUSyAKuScGIHvS4BgdwbVbgxlNw0r85hs5VxgLTLwhFWfQGgyx25WMNqCXTDg;4on;1613020397;1;2323207793;7;1707914777008563712;5306010575190375718;1;zt0RKtRSl0JsR0GXsuBh;ys3mqmRAWVnB;FOEe;Jrb;372840;RlVafRqs;20240124;20240124;071000;190000;3;100000000;7433038899721469263;2;9290386120046500879;14572776471227144958;2;981165407;13688893087143347708;1;1;sotnvZbaaXK6OGH;b6X7HoHsAKdJB3nSa7bgWYiv7POzzm;q8MvamHyR4QD1hQj4QSGeeolC1O8rdfOcnJNyoqgaeSYKDTorD;2830919502197433607;11312346767345024272;13781475816890896822;7;1;T;59;13119
280;270;12231;0;331;MTXCREFD;0;;3053;1707914777009389568;3627136541702168283;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;18446744073709551614;gH;YqkrtmeMPkRY4PsP7oGxllkcfoOfNvBVYMJCCCPPO0fMeLhHnNmt1zbZR8dtkcLPTHxLP2;612;4294967294;251;4294967294;7;1707914777009389568;3627136541702168283;1;lrMNVX514JhttMxsGUyC;HhlejsrEPOxv;R4Vc;azU;687165927;A0dDkUtN;20240124;20240124;071000;190000;0;100000000;1948159508252961905;1;16114287855950280974;8913850786745754308;3;-1601777262;8060580101339756128;1;2;aBRcg3rX5CgYA4I;C4MtEuhFZxZvAmfXu80vtGD4GXrbzM;8FpM8RcvKbPg170qppTeION825mhZpUXl0PxETNBTOmEXH7Ccp;15085866985354041025;14761481978114766487;13874175422317139335;7;2;T;206;57945
280;270;12231;0;331;MTXCREFD;0;;3054;1707914777010215168;7412549394686623421;K2CDWMTXCREFD;XMOT;DSS_CDW_test;7;7;7;6005986335603308262;xw;8e0lDJ9LvwX7B6W7vcX8XVN04LE3qrizC9VuGLuGv9aFWtNUHHXxvGcn43osdlVeI28jcD;4IT;3521509732;0;1964750142;7;1707914777010215168;7412549394686623421;1;sstAlwtI4o6EMxx9yIMM;mTLaiECVCJiQ;xR0y;imc;919853333;Sol6Dhwc;20240124;20240124;071000;190000;0;100000000;6317803858010554574;1;10230604601858837111;13421962111559183970;3;790220632;5524086589301552408;0;1;KRwBTEqTCqgPg9c;Qq0Mn5TKZ1Ax1aQoHbVHwWyXFxrMNW;2D0ldPOb7EOaOIWUMuSRTTUkntAZPpZa7JoK7v3P26WxPtputf;6312043570712467184;5358715002141192892;10647806545191324929;7;1;C;20;59075
280;270;12231;0;331;MTXCREFD;0;;3055;1707914777011077120;3671818333109098533;K2CDWMTXCREFD;EXGM;DSS_CDW_test;7;7;7;1372060987366733032;sa;YOGvsHtPStgtEDUgu7nK8KI3ZEXZPZ2LcGIFMgJgYCtpJMOALBh3wdXcyw4EVyWm7Sna9v;9Mx;2053645330;1;1659700653;7;1707914777011077120;3671818333109098533;1;pYVP5FaitXoxr0Fqt0ic;WmmliMJIaOtp;3isl;fU3;83351337;WvmP2uyc;20240124;20240124;071000;190000;1;100000000;6927156394562746874;0;14791830446889605946;16253173292864787270;3;-2046595350;6575047461506776531;0;0;ZzqIP1l7jbBPvRd;kQznhE8CnrExyCzE4gNKgQx3djGWOw;ggRgDDPUFd63egt6PpqJ0vjH6SjBFAuN68S0O05lBiqvNSVCEf;4312693972888023765;4795061017219631862;9619746566283157827;7;2;T;163;55099
280;270;12231;0;331;MTXCREFD;0;;3056;1707914777011898624;2340632685473195797;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;802337334887254903;Up;HLJPPGEehNvpWH89DGOJ8PLMGzmiGW5paIkbZXyckbXBp3s7Kz5QDI53BAbUBarq8Ut3gy;vSr;2977716072;1;1562943352;7;1707914777011898624;2340632685473195797;1;Suz3Qs5SCJKXLQo9Q2q2;R6wgNzOvzRKt;cgG4;0e2;270958719;ynkQqP4R;20240124;20240124;071000;190000;0;100000000;18302462854562630804;1;10240936931081034073;12779718612176512072;1;1014414701;3160881724469672782;2;2;kNzs9SliiiR0NpX;N82VpPReZODJoBO4W1wz3KYnBsWG38;QIAwYqRyMicB9Xxx6uRFabe9AQTlnsoXH0F9DBNdBmCayRlmdy;1517561782592259369;1832597802183363346;7014390781002184470;7;3;C;193;19077
280;270;12231;0;331;MTXCREFD;0;;3057;1707914777012719616;12733630828833762890;K2CDWMTXCREFD;MTAH;DSS_CDW_test;7;7;7;167335769121138592;n3;QddX6EHSyMUkyaCqPHQ2yVkJPdfPnSQlrXBa2cYzoSeryKwcxTGF9lsyAAycELFbaI5507;kd0;1025439045;0;1521194008;7;1707914777012719616;12733630828833762890;1;Eh9boBFMchRSeaJuj5md;4MofU86u2EPb;vK7a;Ep5;648090412;IrbAkHfe;20240124;20240124;071000;190000;1;100000000;5549142757919607618;1;15563192067118563849;375800408997800559;0;763897577;5736672600101834489;0;0;XNWeh5fV8JFmGPN;VQZq7jMAkEGla3RWb6dTMd8fQ3V5dc;cIhyFXFG3LrPr1XklCBAiDNV42e04rOQEaUsGy55wjHFVrP1KU;13928409846124107248;2945564167667108528;11261717876799834930;7;1;T;220;35652
