msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;issuerCode;issuerName;lEICode;issuerICBCode;issuerGroupName;issuerLegalCountry;issuerNDGCode;issuerListedCompanyPrimMkt;issuerType;miFIDIssuerType;issuerVATCode
228;218;12232;0;331;MTXCREFD;0;;3248;1707914786004338176;15203505124479065820;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786004338176;15203505124479065820;1;SGVIY3M8nsw6;nwSgaaRqYO6RUe47SK4myLaCWbD9OwI6P93W8tvsjWE4fcWIEkPAtYGOhK00aDgImgfGk88wte1Bmk82;dwHUptD4DkV2HHj7ydTD;m1Tr7wDI;xK8V2qyy5tSgL3UGyxccExnU3czlBV7R51T02vAOwYYNPRiJclo3e6Phc3HE;PCO;660615238;1;3;3;h4wQK8Rl2SP
228;218;12232;0;331;MTXCREFD;0;;3249;1707914786005215488;5929285603132008405;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786005215488;5929285603132008405;1;MV0ALHMVVQfc;AjZOI0QmectPZPQ9WoLJPIjC9T1Kxy6dWUySqWdD9NSKAgjsj3CaDMxnFa6PajIY8VP1wSh1Oxl5Ex4K;Cqym7vj9HZXVRaHa6Ddv;80LAsluJ;gvwPE3LVEY33fVQKxV8Vl79GmJ8WTENyyMShRZMRkcSd6jNd0mIECifsDq9d;tmi;3627456472;2;7;4;7gQVVJ3XF1X
228;218;12232;0;331;MTXCREFD;0;;3250;1707914786006034176;3054077358664124637;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786006034176;3054077358664124637;1;4fd02XjVaud7;r45QKUP1QWtmxkUw8J3Vsm6BEGqoRSdegb1c8RTXMzijS0qFvQMkg7ESeP1y0b7LfcXI8LIGyg4AVDkl;JTqxklCKO68l5WnQvIKR;zjQsJBGu;Dsm2SkKvhA4AmVnqu6hpsIoBLfyCr8Prr4ZcyZweZhSrc4MNO9ogVVpPqcAl;9ed;2913191656;3;1;1;8mMZ8fY8GeP
228;218;12232;0;331;MTXCREFD;0;;3251;1707914786006841088;9989468087440844023;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786006841088;9989468087440844023;1;itHzDMPQQ92l;Aa7WTpUtcViK5pQ9V77mbmbQMdrl6tIiq6GMpZkf4mL7OebOO8HFdIScjdvAPriLblO3DAws4p5X9DXH;bQNDFitskwIzou9yyhMt;r3lMRyZX;rlPe5OPOGSaLdPAiQg77rFB5WSMsRMUQdgUQhxZmgRQIof3E0WqbhUkBCIaI;PB8;2835322310;2;2;2;4a1bzl7BCiv
228;218;12232;0;331;MTXCREFD;0;;3252;1707914786007638272;8359461766115016811;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786007638272;8359461766115016811;1;x7fayY9n1ru6;tWQFeJFrHASxpf4XxHJbbimjkMLok0Vm4m8hMS2V77z7yqrlsWLgQdiZL3CBzLv1vN2eBclm4MprXbmj;ova21CFa9yW0ToM2NifZ;KBS71fij;v6ksVbeygaTiZHqxYuMsyocmKY8uYfUmbPJLnfiV2wZUmfxaFg64a0c0AfK3;21R;2521756509;2;6;4;oW6g1bNmJXS
228;218;12232;0;331;MTXCREFD;0;;3253;1707914786008435200;6421593411777859255;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786008435200;6421593411777859255;1;xvjwDoqjDeS5;8EPCUrUeMzmyycyjUZhsqs8rSJ6RYrdJAVzCodbbk6npZw7xtg7O7teHYTaRP8inEOVYKadkork2DYAs;Imk3Jc6VKMfpf00fgPIH;yH3D7o8z;YTG8dN6QT4eekEk8zEoVMojPJ7sZAE52FuLLkvyycSUipu7nJKKH42ra12DV;w3y;938060972;1;8;2;r6eKy2iBeGf
228;218;12232;0;331;MTXCREFD;0;;3254;1707914786009231872;14672916164890176464;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786009231872;14672916164890176464;1;DAUo6nw5aOVw;ATBOoCePrmDO7ejirOVl6XYmC0dMKJjReUIJ0D8wmJbBZXqLeji025tpiexDxA8z1s7W3eo8mOPBeuiY;XkMeeGYACMaFj22qYmSr;ohcXeFQu;pqJmJVdLZvEqZ8Vmjng7GC0FwBVKXxUIqIVToukxr4fUyLmzcu6oNT3Uihtt;t2o;1216683221;1;4;1;Vw43kI9eA6R
228;218;12232;0;331;MTXCREFD;0;;3255;1707914786010042880;9177234975171665345;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786010042880;9177234975171665345;1;WfPWHIcQh23p;ktwMOqE7rLKUW5trY5XvPxZxlC3o3Lc8rGaOCgh16eGQgEvSaJBx3oq3JaT1lskyKptb63s27mDXmMGj;miJPuSGjC7HAso1ITKdx;sx3h6HXz;kwUaBTsr225ZZs7yqf5ktwAWfGEdZkoP5Y2PlBRWQUpiYeY46sMC8XGTSleR;fVP;3144594582;2;5;3;g4xTB15nY6C
228;218;12232;0;331;MTXCREFD;0;;3256;1707914786010852864;18040069057824914561;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786010852864;18040069057824914561;1;xd6h9YV7soHR;TKrOcERDGKVTWmM2EUBUG8hAEihWKM2Hfk1ywKmbxFOPMIpSj0Q5rybZo02i6Co7KIMs4H3k2JpRgMVm;qZzaN0RUjDYaLFhqEqRj;uWYad0Mp;QI8zXxMkgjAxdlRp68iLXny29pWTse9gTw9YJZbTnJZpFF2rCrHQulBWvluG;SVT;3568439346;3;6;2;g06PNB3Cm7X
228;218;12232;0;331;MTXCREFD;0;;3257;1707914786011643392;7277187617974190498;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914786011643392;7277187617974190498;1;fuhL8PbbquLS;hiD4VunlvkRviM4yJpVQMM9KB3OOu6mPRpkjthcw2eGIBTJD4zCT4258CSkrJxQjqXJuJENcBdZk0sHm;XMaM1xeBgm8opVSiD5P0;wkNqHJHW;dJbpsaBqnvhxuiWP0t3UiV3pEqqfJLCJOb5SxojXW9qBxx7gHO67CnZ6pIUP;31F;3831110945;2;3;2;uO7swdafq2x
