msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;instrumentGroupCode;tradingGroupName;optiqSegment;defaultCCPID;closingPriceType;nbofBestBidsandBestOffers;vWAPPeriod;cCPClearingType;patternType
5429;83;12233;0;331;MTXCREFD;0;;3448;1707914795007180288;11346848911862878885;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795007180288;11346848911862878885;1;ta;XJsz4j9PYP5sUCSvpHIeXdP6J1EIBGne8Sp928IAbH0qimpPOK;4;3;60;87;10494718793965475857;1;3
95;83;12233;0;331;MTXCREFD;0;;3449;1707914795053073920;18390795765604201978;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795053073920;18390795765604201978;1;zR;QBZJ7JlWVgM1laFlMvYvKOs049vfU7WLKGLeGxrrn0l4vV04Tp;1;2;25;238;14275228069341075338;2;2
200;83;12233;0;331;MTXCREFD;0;;3450;1707914795056084224;16000542936067156582;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795056084224;16000542936067156582;1;oX;Hh2DpHKtP8alSOn1Gyn9X00UBm6FycgZ9DQBCbHSXi3F6uoxTK;10;7;93;182;11547802069167925611;0;0
200;83;12233;0;331;MTXCREFD;0;;3451;1707914795059184640;5276548202990491211;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795059184640;5276548202990491211;1;KZ;NpWWGq94l6v43A5Gi6eJIiD2M57bbzmiYXnzemET7dZWVdv84k;13;5;113;206;17736537926581429134;3;1
200;83;12233;0;331;MTXCREFD;0;;3452;1707914795062324992;13740300294218772578;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795062324992;13740300294218772578;1;Xq;slI4miyVWIbAWMIPYV3qSTGMVcSfxPGtH3CDM2UrFI1hk5sSy9;2;1;163;191;12111748632777909670;1;2
200;83;12233;0;331;MTXCREFD;0;;3453;1707914795065395712;5072175032620593187;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795065395712;5072175032620593187;1;vq;23gjvyIxgM7Kk0hytiIcd13yHG2pkKQhnSHt6eZc9zADngLpTB;5;0;236;245;15289447951758070177;0;0
200;83;12233;0;331;MTXCREFD;0;;3454;1707914795068469248;3446431940111968577;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795068469248;3446431940111968577;1;i3;iFfvtBZuDDMX8EKtTpUgxiOMg91LsHtRz2msUP6zORduU9gAZ8;7;8;57;79;2071843080989131835;3;0
200;83;12233;0;331;MTXCREFD;0;;3455;1707914795071557120;16159165580098482414;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795071557120;16159165580098482414;1;Ds;t69hX87lQEvSNn6oZmR9hek5QuX4x0euNM0ZgJH52BQOD3xcEZ;16;6;97;192;16757489120370411360;2;0
200;83;12233;0;331;MTXCREFD;0;;3456;1707914795074642176;3037693649159723831;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795074642176;3037693649159723831;1;Nd;pzqhzSBvnGdRZTnYhoHaXKfl9TnRL8FojoeABgjkGZ6opRPrXD;25;9;63;222;2001422706344546103;1;0
200;83;12233;0;331;MTXCREFD;0;;3457;1707914795077731328;11060177655975847235;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795077731328;11060177655975847235;1;i5;3dtE6oUce5igVMWjEo9ESlKxukFwkvquxjQiPLEtFfdj2NS9QH;15;9;229;34;16014929051523054058;3;3
200;83;12233;0;331;MTXCREFD;0;;3458;1707914795080798720;13431590205873342109;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795080798720;13431590205873342109;1;qG;K3QLoMqxGgwfM9Dy4nW0lkyIVeggMJ4FT1g8auRKvihvDLzneD;9;9;179;111;15024652764946669601;2;2
200;83;12233;0;331;MTXCREFD;0;;3459;1707914795083860480;11080049948808218136;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795083860480;11080049948808218136;1;YP;AGwEfX0QziOVAjoAHV31LtyN6qVk4x9JjsFo8TbLGpKn7CMVTB;12;3;90;65;11963020057965933197;3;2
200;83;12233;0;331;MTXCREFD;0;;3460;1707914795086914304;14119410342139276304;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795086914304;14119410342139276304;1;NA;iIyvMQ40YMpPMAj9YQE6gyyg7evxmMm8zznRw0URJPt7gIXsqt;11;2;164;93;14946736034503536719;0;0
200;83;12233;0;331;MTXCREFD;0;;3461;1707914795089977856;16954913687769653893;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795089977856;16954913687769653893;1;u4;Y3bSXAEGpCEDuQbv9y8StpZ17Z1V8dBIMZrCFylMc8UUV1c95R;8;0;238;0;15412516166139169561;0;1
200;83;12233;0;331;MTXCREFD;0;;3462;1707914795093037056;10602485694642546411;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795093037056;10602485694642546411;1;B6;ndcDEQnaYwBCfX8RTS3Xo070z6CvYv4gyP7n3uicEJP02QCWxd;3;7;145;59;1510116023886545891;2;0
200;83;12233;0;331;MTXCREFD;0;;3463;1707914795096094720;14031490004208261180;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795096094720;14031490004208261180;1;cy;AVvdANcrsmPpxPmqsAr5ympZ7ycrfVt1dAlvPc70PDdKKBsf82;6;9;61;163;17597026535654059502;0;2
200;83;12233;0;331;MTXCREFD;0;;3464;1707914795099165952;506222925451645505;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795099165952;506222925451645505;1;kL;fKKpvm1tYblJge83mbhHPHMgKFLPBoHPPkoTdWQpTva188UKbr;14;5;28;56;15573901255583101970;0;1
200;83;12233;0;331;MTXCREFD;0;;3465;1707914795102234368;5561967897142414313;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795102234368;5561967897142414313;1;U8;4JRrhFJ3iPZ68gsdPHRs9LmXfbBH658xQGRU5zgolnlGlAUtNh;14;9;53;123;5931939788862281552;3;2
200;83;12233;0;331;MTXCREFD;0;;3466;1707914795105298432;7218561655279939873;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795105298432;7218561655279939873;1;M0;vzTEvLyyIj0a3ZMRdtfUdu1e1CeyJ7PsOEMgA6kPf78lcq5VZJ;25;2;105;87;9074987686801274312;2;0
200;83;12233;0;331;MTXCREFD;0;;3467;1707914795108351232;12923908171449283374;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795108351232;12923908171449283374;1;kq;aM5h1gpf3UHb3rFPaDSVRQ2hrpgLehRHaathCQX9XXTNa2WFJX;12;6;182;169;7889458035051162606;2;0
200;83;12233;0;331;MTXCREFD;0;;3468;1707914795111409152;2738671055194636637;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914795111409152;2738671055194636637;1;k8;7sCnUA4vK20EJrwK1PaJHuDOH1LzqvUH9YeAY8nPOEsRQ1xbXK;7;7;87;128;8030115908540204459;2;2
