HDR_MIC;HDR_MESSAGETYPE;HDR_TOPICID;HDR_PARTITIONID;HDR_OFFSETID;HDR_THREADID;produceTime;consumeTime;versionID;eMM;marketModel;iMSActive;valuationTradeType;aIPType;dynamicCollarReferencePriceSource;dynamicCollarLogic;collarUnhaltDelay;collarMaxUnhaltNb;collarUncrossingExpansionFactor;staticCollarLogic;staticCollarReferencePriceSource;rFEConfirmationPeriod;orderPriceControlReferencePriceSource;offerOnlyAuthorizationIndicator
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;2;135;3;0;116;2;3725076157;65;250;0;107;-1363315701;210;138
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;4;155;6;0;239;0;411683474;94;159;0;23;1454776815;89;125
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;5;172;2;2;119;2;2131448809;162;192;0;193;1427024164;204;179
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;4;143;3;2;85;2;2974455994;15;150;0;152;-485470019;19;45
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;3;231;3;1;69;2;3261156031;250;164;1;196;-683757788;98;78
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;6;145;6;3;223;2;3540054641;214;57;1;244;-1718522289;142;185
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;5;35;3;1;46;2;2530497328;198;235;0;94;-1331613291;29;95
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;6;239;2;3;63;3;4121304635;33;236;1;188;1930107140;238;52
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;3;156;3;1;170;3;3323157081;253;57;0;49;-893088003;124;102
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;8;238;3;0;64;2;4118960820;44;231;1;224;1621789205;164;79
