msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;postTradeActionIndicator;eventId;eMM;symbolIndex;iSIN;mIC;tradingCurrency;settlementCurrency;settlementPeriod;settlementDate;settlementSystem;endValidityDate;lastTradedPx;priceDecimals;lastShares;quantityDecimals;tradeQualifier;tradeTime;crossOrderIndicator;guaranteeIndicator;exchangeRate;exchangeRateNbDecimals;tradeUniqueIdentifier;marketIdentifier;tradeEndValidityDate;tradeType;messagePriceNotation;temporaryTradedPx;finalTradedPx;tradingSession;TCOS_orderID_1;TCOS_orderSide_1;TCOS_firmID_1;TCOS_bookIn_1;TCOS_tradeQualifier_1;TCOS_accountCode_1;TCOS_tradingCapacity_1;TCOS_clientOrderID_1;TCOS_freeText_1;TCOS_clearingFirmID_1;TCOS_clientID_1;TCOS_accountNumber_1;TCOS_technicalOrigin_1;TCOS_openClose_1;TCOS_clearingInstruction_1;TCOS_originalClientIDShortCode_1;TCOS_originalExecWFirmShortCode_1;TCOS_originalInvestDecisWFirmShortCode_1;TCOS_originalNonExecBrokerShortCode_1;TCOS_cCPID_1;TCOS_longClientID_1;TCOS_cCPBicID_1
412;138;12234;0;331;PTBCPTRD;0;0;0;1707915014002855168;10049142027582614750;K2CDWPTBCPTRD;ATFX;DSS_CDW_test;7;7;7;16538608658982160848;YD;rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF;Z9l;1149410083;0;2517573438;7;1707915014002855168;10049142027582614750;3;5610050694275942992;6;564169381;JdhWYBUFIFmY;ATFX;K6p;spb;16;13378;10;20240124;756685045;7;4899;7;7;1706095069938776466;243;0;1;7;zxAnysCfwgK2TKi7;AAA;13019;103;150;-274848700039316063;-7298137053158104206;;7816335341658255673;1;DNE3jnpp;1706095069938844743;5;6;2;1108016877620536858;UrjymAhuTs5tf9EQH5;6SiWFh6t;Sa6DBF0y;OFaWxxiVR9xl;4;0;8;1379027809;1679870013;572911832;1500235571;9;zOfeZkDglEIbhdq1;mA4zYGqREd8
412;138;12234;0;331;PTBCPTRD;0;0;0;1707915014002855168;10049142027582614750;K2CDWPTBCPTRD;ATFX;DSS_CDW_test;7;7;7;16538608658982160848;YD;rh9SKPUNE3t2qxuPR4qK7Jzw5c3J1RKFvf89Ut4oSo70SFIXM5eZljCsqloMxMjnj3f6NF;Z9l;1149410083;0;2517573438;7;1707915014002855168;10049142027582614750;3;5610050694275942992;6;564169381;JdhWYBUFIFmY;ATFX;K6p;spb;16;13378;10;20240124;756685045;7;4899;7;7;1706095069938776466;243;0;1;7;zxAnysCfwgK2TKi7;AAA;13019;103;150;-274848700039316063;-7298137053158104206;;6450534504402654486;1;CGzyM1A4;1706095069938980319;5;8;3;-983279271842114203;q5n0B4YNr44ykv33Cv;f5qpqApF;Mwks74rw;PlYzIVxDDcqk;5;4;9;347504125;-1814152807;35317061;177326762;7;QxdxA0AJ3JyGpveE;lep3dIqrUXk
150;138;12234;0;331;PTBCPTRD;0;0;1;1707915014005186560;9774124758206051010;K2CDWPTBCPTRD;ETFP;DSS_CDW_test;7;7;7;1293858113929826603;Yv;mK4IuG0cv4P5uzCElKjHC1PplDPsPnxvfONYrtT7COVJvUzvWIY9GFyen0rGWTYiVQYhxy;eRW;609587171;1;2923765661;7;1707915014005186560;9774124758206051010;2;15563660940043802202;10;966477508;MerugIRyV7S5;ETFP;7rl;2pB;162;15868;60;20240124;28505445;7;2473;7;5;1706095069939288263;153;8;1;7;RIGBsYWg3H08NfNS;ETF;3364;47;159;-5505574313257697863;-3529250512411650635;;;;;;;;;;;;;;;;;;;;;;;
412;138;12234;0;331;PTBCPTRD;0;0;2;1707915014006837760;16639010795711503796;K2CDWPTBCPTRD;EXGM;DSS_CDW_test;7;7;7;11647427006493921470;cj;mRUubYoMqiZ2bjwOyFMwsoXk34kYh2a96IXyUq5PW0PwtPKdNi5arXa2KTc3k8rtfh5SWa;pr9;1583101631;0;651886310;7;1707915014006837760;16639010795711503796;4;10966650390698614784;7;317605844;rlviypqSZJWV;EXGM;xlC;95L;2;14953;51;20240124;452728341;7;459;7;1;1706095069939479948;210;1;1;7;iHYNrfEHA11tFrde;MA1;59448;2;236;-8169762779092054892;5170223456091097566;;13728603649481335493;3;7oRp3vrB;1706095069939539199;6;5;1;2962485045607173636;9rd05nID8bOsZMAWWs;U6T6mWhr;OB26IcfT;K2OazYG9zZFN;1;9;4010;2070105285;1192408773;-1113520487;-1091206881;5;MY5zMigSd6dANORV;pRTnR9yqRMK
412;138;12234;0;331;PTBCPTRD;0;0;2;1707915014006837760;16639010795711503796;K2CDWPTBCPTRD;EXGM;DSS_CDW_test;7;7;7;11647427006493921470;cj;mRUubYoMqiZ2bjwOyFMwsoXk34kYh2a96IXyUq5PW0PwtPKdNi5arXa2KTc3k8rtfh5SWa;pr9;1583101631;0;651886310;7;1707915014006837760;16639010795711503796;4;10966650390698614784;7;317605844;rlviypqSZJWV;EXGM;xlC;95L;2;14953;51;20240124;452728341;7;459;7;1;1706095069939479948;210;1;1;7;iHYNrfEHA11tFrde;MA1;59448;2;236;-8169762779092054892;5170223456091097566;;13962466300885251016;1;0s7w82RD;1706095069939671085;7;11;2;7256037312615078181;fWeqkR5iDQs162heNN;MPZyT3Oz;UISF6Q2h;StSgseF0PsEc;2;9;4009;1905787073;-1214452018;676867842;-1544267220;1;D0oZUp15CUWRvvpR;86MpM0fvCNQ
412;138;12234;0;331;PTBCPTRD;0;0;3;1707915014008471552;1109998457431339477;K2CDWPTBCPTRD;ATFX;DSS_CDW_test;7;7;7;4680456038014810305;Zs;i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP;kkp;1361693871;1;2961152153;7;1707915014008471552;1109998457431339477;1;15004138057217288383;11;282931915;kqkTcp5grQO1;ATFX;MBl;czW;164;26751;12;20240124;749291291;7;2880;7;0;1706095069939952121;213;2;1;7;ynObGq7eNu2zPjTM;AAA;7595;10;44;-7147498560161419102;5721102392392721786;;17825795140037940857;1;qwDSxXef;1706095069940011578;3;1;3;573971017858737401;AdsAr7QwyZ3jgizJ37;A1osWnr3;SgGaRBap;yZoKYSqDvKNg;1;7;4008;1321010688;-1880521391;1382462235;1235842582;1;UHikXKnpqpBYs2nO;0ISjl89etn4
412;138;12234;0;331;PTBCPTRD;0;0;3;1707915014008471552;1109998457431339477;K2CDWPTBCPTRD;ATFX;DSS_CDW_test;7;7;7;4680456038014810305;Zs;i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP;kkp;1361693871;1;2961152153;7;1707915014008471552;1109998457431339477;1;15004138057217288383;11;282931915;kqkTcp5grQO1;ATFX;MBl;czW;164;26751;12;20240124;749291291;7;2880;7;0;1706095069939952121;213;2;1;7;ynObGq7eNu2zPjTM;AAA;7595;10;44;-7147498560161419102;5721102392392721786;;6242054304937987091;1;evMQHh0Z;1706095069940143745;1;1;1;-4520851305774485905;EcIZGuuB2msO5Aq7Ev;n2ZTZGYw;A3oKJwYY;BKZtmpGXskG0;5;7;4010;-665917199;393696816;587369917;67329567;0;tlQzA9C0G1JeYXD0;Fs44pQO8V16
412;138;12234;0;331;PTBCPTRD;0;0;4;1707915014010105600;14699495634236523406;K2CDWPTBCPTRD;MTAA;DSS_CDW_test;7;7;7;614541690210646299;2a;pxGtPAlyBvyxBsCOt0bcDksnbHdrK8j35AvN7ZfIIgWJorfy6RuLfujmS0fMnau2PeUyUH;rCa;3914517719;1;3154998015;7;1707915014010105600;14699495634236523406;5;5256966490139189075;5;184047301;AP78t0UQbaPh;MTAA;8jS;oFd;166;17341;11;20240124;47119742;7;636;7;4;1706095069940400021;74;2;1;7;fvY9jn1APurNXhGV;MB2;62784;16;27;8264049593497597192;1399081646679966922;;14413687312077164643;3;J9hFVEwr;1706095069940458122;1;8;2;6463744032028013559;4K8SrbR1pmaDDCzNLu;sPiaeejh;t6bzVrcn;SsevqQ9SYgU9;3;1;10;-2014985680;-1674437332;-2131017469;-1515608106;6;1vCs7GM6pEAqmpsr;BKdirWxla75
412;138;12234;0;331;PTBCPTRD;0;0;4;1707915014010105600;14699495634236523406;K2CDWPTBCPTRD;MTAA;DSS_CDW_test;7;7;7;614541690210646299;2a;pxGtPAlyBvyxBsCOt0bcDksnbHdrK8j35AvN7ZfIIgWJorfy6RuLfujmS0fMnau2PeUyUH;rCa;3914517719;1;3154998015;7;1707915014010105600;14699495634236523406;5;5256966490139189075;5;184047301;AP78t0UQbaPh;MTAA;8jS;oFd;166;17341;11;20240124;47119742;7;636;7;4;1706095069940400021;74;2;1;7;fvY9jn1APurNXhGV;MB2;62784;16;27;8264049593497597192;1399081646679966922;;13145873994762850839;3;kqZrThgr;1706095069940585887;3;6;2;-6441208739783901757;M9RqI0U6WCQW97na8i;kFH55ntt;mW7aJlZC;Fm9Q6slRMFm6;2;8;4009;-1730504408;1077876771;-1236915385;1036594345;8;wlbive1Jpk8LNwlz;SEaMrmcgh07
412;138;12234;0;331;PTBCPTRD;0;0;5;1707915014011779328;12330558711335872631;K2CDWPTBCPTRD;XMOT;DSS_CDW_test;7;7;7;9515101337159919625;Lq;kH7nIyLs9HS9idv5TyE8O2O3MM3Fv943nqIC2BQr86B8tH6Sx2wCn9ZDOsImz9o1oj43P6;U0S;1353536500;1;2729531948;7;1707915014011779328;12330558711335872631;3;9182441650907086349;15;47741981;JnkywCwGpYB3;XMOT;rgu;QbW;115;5916;12;20240124;702414336;7;4962;7;6;1706095069940847147;173;8;1;7;rz83uNwsdtCKkKrI;EMO;50921;25;107;-1806786824216295568;2090590081356814102;;7753808290463003319;3;nE9ovUjR;1706095069940906901;4;10;1;4258292900197925241;uBcaUFdhuOdj1ZbDEX;R6tUE6QB;ACSCkCOS;tnf6TaFrKrrV;4;4;4009;-485409997;-1291977366;988890444;1121573447;0;DZAo2a7juLCwOKrU;IWKmzwcxaNs
