msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;rebroadcastIndicator;eMM;symbolIndex;indexLevel;indexLevelType;indexPriceCode;pctgOfCapitalization;prctVarfromPrevClose;numTradedInstruments
60;50;12240;0;331;GISXPIDX;0;0;198;1707915002005167616;17063806128161895763;K2CDWGISXPIDX;MTAH;DSS_CDW_test;7;7;7;17649996035600062801;y4;m4PtCqZwXANzbZQrdIlBaleJ4oy5edoOYgceVzQ9DHIn3gaNfCUmEpN6X2pkXoqtb1y24d;QX5;2817311705;1;1500233684;7;1707915002005167616;17063806128161895763;132;5;451161021;-8767652643132836663;2;22;822791220666658366;-4803850979650752841;26637
60;50;12240;0;331;GISXPIDX;0;0;199;1707915002006228992;16932874374634261772;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;12394693413727062746;ug;X9exMBSwqxeUwLunKGKCTjR8wTRIlMdCgfs8Fj3rFIlS2fYNzBvSBwCBG5QzY8TICdAyHN;7lO;2180949356;1;315526868;7;1707915002006228992;16932874374634261772;210;8;179056924;2951738776450436451;4;169;1279309413167071433;-6874952963624473253;13653
60;50;12240;0;331;GISXPIDX;0;0;200;1707915002007062528;15806573235124382397;K2CDWGISXPIDX;XMOT;DSS_CDW_test;7;7;7;10303292442040980450;UE;TeiYZQukhTSrhCLrEykHxdGZo4QmuBOt1tTYZ1Mf91HoY66ENjwOaFWuQ7ziaPsJTYiQDB;Qou;4243392910;0;3399151433;7;1707915002007062528;15806573235124382397;198;15;916475071;2016260459393650350;7;107;11653417419325873782;8303390010379348537;43195
60;50;12240;0;331;GISXPIDX;0;0;201;1707915002007881472;14267321793750842944;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;9751561908763964141;vZ;WVpX9nTvqnLWL7jGsWg3tGEjkmayf1FHmlTydihS7tz5kQiPpWegw6lib4mjjDspzCOH7z;epL;558546678;0;69290684;7;1707915002007881472;14267321793750842944;215;99;274114089;742545354645395249;5;80;14233390578986763957;8954504703155514218;58046
60;50;12240;0;331;GISXPIDX;0;0;202;1707915002008680704;5334915800610771752;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;13180576197349592966;Ya;LvoLr3gGSgjQ3CPkb0hw1PsQNlPhohcO0PkmG8buRVBEzBmZeCta4pOCzb9TXvplE2lD5n;ZEE;1370878464;0;564556373;7;1707915002008680704;5334915800610771752;86;2;882027164;-3725430976699548494;0;52;5294662829115879492;-5463750487398362594;56375
60;50;12240;0;331;GISXPIDX;0;0;203;1707915002009484288;1324342371551354954;K2CDWGISXPIDX;ETLX;DSS_CDW_test;7;7;7;2808618809613454277;3p;4KSTodHB88pDPow5fKpEqgnfimfTagNDvfM3EddVYqBlAdDkXIwq5HNzNYkc9HQwBmdHCF;bi5;3849503028;0;1744694244;7;1707915002009484288;1324342371551354954;94;11;213949604;3116298142785069816;1;236;3277609717794167587;1595295707224943452;55693
60;50;12240;0;331;GISXPIDX;0;0;204;1707915002010280704;17243735028436009928;K2CDWGISXPIDX;ETLX;DSS_CDW_test;7;7;7;15219404500678569998;yU;pYzfInj10xax2M5eN0Ke21OzovwHKLodoySra3aH7sMfNBDCiJfUz5yNXX19Wc8nlwiIzW;xNJ;2649737116;0;3640176814;7;1707915002010280704;17243735028436009928;63;10;411542454;-7594606486228189131;6;10;11081429577131397342;175358279397814776;17079
60;50;12240;0;331;GISXPIDX;0;0;205;1707915002011073536;695481831715028026;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;10967367424687215335;2v;W5yenAAoIomWU4kALbRaJMKENpFvG1I9IofaLLylfSITmofckklNWJLwhcjGliIh3jXYYc;LVD;1587570106;1;2079309820;7;1707915002011073536;695481831715028026;22;17;726810605;7503319081259062972;3;64;17682964419027841904;2631003652088999926;57707
60;50;12240;0;331;GISXPIDX;0;0;206;1707915002011885312;5054764048242488371;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;2197614320122933494;FU;vBUR4ZtLzc4weT3I5Qv1F7Jz716ykLGw1gMuPydSZkOXznNMlY6xOjLmARFkXSTPDeCKcc;dbq;3442516015;0;758568016;7;1707915002011885312;5054764048242488371;90;14;944323497;-2305422892182706597;3;222;14282067436042486298;7933864797143837358;46224
60;50;12240;0;331;GISXPIDX;0;0;207;1707915002012674304;15580720186201036066;K2CDWGISXPIDX;MIVX;DSS_CDW_test;7;7;7;8325768794453793185;zl;nukLWvsvRBQWKANCEt54Wbzl4z6PqoP7I8Ra3iChBcowaknKXHoR6CkdMQCW3ib5GWtFUR;mdb;2080053579;1;3025084632;7;1707915002012674304;15580720186201036066;43;9;418045634;-1790437315451272221;1;203;10336457857822262909;4340338824570822474;47244
60;50;12240;0;331;GISXPIDX;0;0;208;1707915002013468416;10672681184690515408;K2CDWGISXPIDX;MTAH;DSS_CDW_test;7;7;7;18446744073709551612;GY;cFOR1cVJ7MtXpi5RnS6p6mB2HGb6CRGcAxzLaYwmDkgkEKnGzpQsGz8Atlbfe3SZ2qtJqi;ll3;4294967291;244;4294967294;7;1707915002013468416;10672681184690515408;73;1;142043921;-7059889659803080786;1;99;10318424393514058647;3320720311356144576;64724
60;50;12240;0;331;GISXPIDX;0;0;209;1707915002014252544;4956161814968051909;K2CDWGISXPIDX;MTAA;DSS_CDW_test;7;7;7;12115424642110324892;Q6;Gc2KB0MzOKEGwQ3rpYiXONXtvBBOyqClkLjQN0K30vyUJND6014LOGrZCL0PqfrwEphTdS;0Zv;1972153778;0;1845816919;7;1707915002014252544;4956161814968051909;237;6;14113038;7016164762991083;3;111;1440798303135586781;3512730565623548798;42708
