msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;eMM;symbolIndex;iSIN;operatingMIC;marketPlace;tradingCurrency;indexLabel;longMnemonic;fullInstrumentName;instrumentShortName2;ratioMultiplierDecimals;priceDecimals;numberOfConstituents;indexCalculationFormula;indexCalculationFrequency;indexBroadcastMode;indexBroadcastFrequency;indexRoutingIndicator;indexMessageBroadcastIndicator;indexLevelBroadcastStartTime;indexLevelBroadcastEndTime;eSGProductClassification;mDGSetOfChannelsID;mDGSetOfChannelsName
367;357;12241;0;331;GISXPIDX;0;0;0;1707915002000849920;2953342876037473092;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;2337247468056382699;Ae;tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls;kFF;3527223126;0;4275500947;7;1707915002000849920;2953342876037473092;15;697925876;XvjLZlQTd9pd;0qSk;3sc;IIF;nLH9qZEszSZyZ1BJUG;rH3QGP;DREI5k3w9Jb1Va2wdYusniD8HkY7zOz2WdGKt1YIsu14JrtKL49XXzQPIgKKOOYlM3ZG4Afl6WQCxpve5nIGReKzOOUKuP1eUaCCvW;JQiGwI38VzWq9mw6SfVJRnyn6BIch0IqXHBVaKmU4aEVMJcqCaRCUooHgpOnNenIiA;7;7;55726;6;53066;1;33822;0;1;3036346722;3379795766;11;28;gWyloNDPFu41MRv16iLpLaHLkQ38sYxCCzjqhN6rf531lK2m1B6OJegfl24DdCqSKLXBORi8MZFSk5ny5Mt9iTicu9765GUF5l75
367;357;12241;0;331;GISXPIDX;0;0;1;1707915002001949184;7233145935111369491;K2CDWGISXPIDX;XMOT;DSS_CDW_test;7;7;7;9515101337159919625;Lq;kH7nIyLs9HS9idv5TyE8O2O3MM3Fv943nqIC2BQr86B8tH6Sx2wCn9ZDOsImz9o1oj43P6;U0S;1353536500;1;2729531948;7;1707915002001949184;7233145935111369491;2;47741981;AkT3PC8g7EFb;uWpd;K3P;WTx;CRplB5IHeOkcjkOxX8;Rur2JC;jME28RH5IiLPSd0NKV7SQk628TdPNTzOJCPqyNLJAmcVjDsfldR5aaEZL4stt6vGMaGXZHFJWdBbtmGqWk5StlHHm8XPYfQVbrTy61;OwaxkpmiQqgMXK1fQViaNqw3Jn5JQ7oTR1vU1HdgPHQcNYZJZcNJAqGhUuw97Cuikz;7;7;32564;10;1403;0;48217;1;3;2890073252;2034444974;8;100;yBkM93HhWdJzCUizjdH0gRBS26F3t9kiZxiQxAgLBnPyPqVoyw7cajJ7NSFGfxdRDpGItNfMBH8evWqk6iXV2wXuBGzxgrU8EpPA
367;357;12241;0;331;GISXPIDX;0;0;2;1707915002002809344;6365532486097907884;K2CDWGISXPIDX;EXGM;DSS_CDW_test;7;7;7;8421005763191075415;2G;H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie;hhg;3138991619;0;1248976379;7;1707915002002809344;6365532486097907884;14;897061568;ljJszmxRb4Ww;xrQl;NyI;vt7;PQjRqjUN82myXnCakP;6t6nTF;KLC5F9hD1PbU0g7py3dC1oHMYRbP5W1APInpLgrRxvYai3QDDI03Cid1soMo7ooPTcl0mwCStcSG0cqEAcHxJaTOxK704NeSxgfkVK;KVhe5HtNK5p2QA27bBf2LJAQhZ7nLUg71JDpbXeKHfQDoPwOMqu3JNjllfQ5BbQXDn;7;7;54129;7;23606;3;11909;0;0;1531764783;686927151;0;42;JazW3AMelXLswYNBJyJLlofwYSclrAFcjdTwTYY66hAOfnr1zBNYdj7PP1b2ujYDK746IkRxyXeKDVNqxAnJfTxNpcPpzVq1pMxn
367;357;12241;0;331;GISXPIDX;0;0;3;1707915002003645696;6385905944952485357;K2CDWGISXPIDX;ATFX;DSS_CDW_test;7;7;7;4680456038014810305;Zs;i3Gl8jfGYhBe7df2EkBouc1Tdv0526AGfOekKB839BiwRh4xc6Jzfib6JQ0SlbRcFkgfBP;kkp;1361693871;1;2961152153;7;1707915002003645696;6385905944952485357;5;282931915;XtejoubBN1G7;uAmw;H8U;MYH;QAMbLZBkvtIZB0Ozje;MrRdTP;40gORK2jvXKApfmwx42AdTbGqPv1LA8y0P8sWL6p5DUTmV2FfdbNdbDIVl7WtCdXG43e4k114MW1PfhBGZs2KjlwEYQH6Ve9Ea8FyQ;MGOf12i1YPld0e9eo4ldhPWuwgz8Rl1t5QRB6OUn60iDkvN74hZOr7SFp9DsyPMj9b;7;7;57357;0;3549;2;45391;1;2;991045510;3826251485;12;14;E9nrZbiiFf0jmcBbEiT5eED2IGI75EaEg0aqTmBuqpzXOQdd2qEgLmIneAJBEi3wJxotTkDVI2ALpRDg2qxN35j7839zgLHt0lOt
367;357;12241;0;331;GISXPIDX;0;0;4;1707915002004475904;9135685641997305973;K2CDWGISXPIDX;ETLX;DSS_CDW_test;7;7;7;4871479418555692688;92;6Ta980PnTTI0AYrc3xGHLIZ177OFgTUH4KSgiJIDZo3YFoQBcNrlMar3GAcBQ15tp725Rk;Htk;455828342;0;3467496179;7;1707915002004475904;9135685641997305973;11;51267762;inoViYXepSFa;2djq;tGj;cp3;3s7p6SdxbuTBIAYzNX;qGnJxO;4pWwaQG8j2DUBewDy0p79YAnAqcECk7HCQrjLfgaxp2TPlikYkYfjrbINmEJcFTKxe0iUNInSsCNsVDV2GMjfm0fp1h9h6RBsSXEWH;CaBs644rughBYVXtsFIvR8TcoKmriKgYEKbHUX1jTBnb1NFl2wWTmUR36bLa1RgrOa;7;7;42233;11;49460;1;41457;0;1;2458836638;1273970107;2;25;4wwivNklRFULZEOuz75PLCNsqR0qLkRjpkB2LfqsoKNyA3SODiIRYBNlBRv6rD8Jkf9fe9aDSh7QpmIdZMa7g8CgOgjr9WpN1FHH
367;357;12241;0;331;GISXPIDX;0;0;5;1707915002005297664;6563366666390141550;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;1225024392578737793;Lu;7l2wKT2IudYJgSd7xUGD2fcdDshQAlPY7MWXng33moAoTLjFTyEF09R9irRnV7QlXLBVxQ;zyp;1087523540;0;1116760316;7;1707915002005297664;6563366666390141550;17;650176422;Bv5Q3HEbskRG;mnsv;V6x;WCm;S5M3KS93r2KLJpJmIG;hTZmTM;1l6C03ic7lb8GKHpXJQoI1UqUFRhAURrkdiYM3TSC5Sg5da7G0QbMAP93JzaXcTyRSKqYZC0RTVJKBcge6RbGkC0mrULAZEh9Bcaw5;WUwo1oGRnL1wqpWGfL0njURecRNXJ2iUFkoSkCddnMue8G1bOJw8ZXvZ3qLPC8eo09;7;7;24883;4;36645;2;23826;0;0;1766806148;449633161;5;6;Y9jA6eeDbnFzLJlFOT4n36bmnuMx4c4M08RVELDLbYeNm3o4XHo6zYHdzY2WRhVh8Eo4Ja6MWx4f0T2bZPPbJ6HO6TjHcWorvFF5
367;357;12241;0;331;GISXPIDX;0;0;6;1707915002006115584;2008188791376536136;K2CDWGISXPIDX;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;1707915002006115584;2008188791376536136;8;941734235;TRhlt9e2zSIR;8xzg;Aur;5hO;m5gF4UdDOkDEzW4717;T8JCTV;EZA1ZUip8IhAPX7N4ee6TZ7FoizC380kevb3OjRJWICLWwodR34oAZK9cunoROyZwNr0LSs1lagcTPkx2qUXwqIJRw6nVRcXTw5Jlm;SjFffTLCJCMrDkh55zKIrKH2Fi5Izr8sZjoG1qoHG9PrcuuYpdExdbxqKyR59woDt7;7;7;42073;1;7199;2;9781;1;0;406937272;1680126945;6;16;uyC1DMNuyFmGeGprHXrRzEShxHcqaEtBxXm9DGmkev3WpdG6ffwYGk2Fklg6s7H7KucgMm8ZT9z7yt8aisq2kvDHBtq5RkR5BuVr
367;357;12241;0;331;GISXPIDX;0;0;7;1707915002006938880;2412642116897973945;K2CDWGISXPIDX;ETLX;DSS_CDW_test;7;7;7;18020418402651892188;OR;Zqxw76YAwHF4CI2lXYRKsjYDvlFVYwXDj8S4uHSIDXXCDD0KsVTeAIiCJss7o90QwqYLdy;pBm;2122758401;0;1600713454;7;1707915002006938880;2412642116897973945;4;326226168;jqxzeG6uIw0R;Xpa7;pff;MGT;75p7nqPIF3cBIhztO0;CtMRqU;cprtvcYz8wDE4Qt52lpXoCXql7kdV5QClHfOL1sBa8mppczGkaFizmUDffqxZb5Kju2JQs8ps9ulySRWkwXtLJiz484eCQMdAeRVYE;vLJFEUl9y1f8SGfiuqzljowG46OllMUVzoEdj7Lngc0IqLBGvGUlD2HAHlecbwLFbT;7;7;50354;9;47109;3;32466;0;1;2845823269;672047486;1;15;RmLh2hWKNRq8ZWjPyC9nW6pkKrQZD5lENaqcsvGb5pITjNlLULEZTmQpyFMyvsz5OmayJmq8qKLu8roYR26p17BNsAQpuGLs70PR
367;357;12241;0;331;GISXPIDX;0;0;8;1707915002007767808;2802404684241674591;K2CDWGISXPIDX;ETFP;DSS_CDW_test;7;7;7;802337334887254903;Up;HLJPPGEehNvpWH89DGOJ8PLMGzmiGW5paIkbZXyckbXBp3s7Kz5QDI53BAbUBarq8Ut3gy;vSr;2977716072;1;1562943352;7;1707915002007767808;2802404684241674591;9;270958719;gg4FnmYoRcx1;37nO;63E;ucR;WwI26C3vfhXFr2jDB7;tZQODa;P5LCNdfui0zKwF46yjMMJ8NNaByfxWYfAtdWiVSulxDKk6S5tZwJuPTEhLsWjWTuNYdTSo2e861Qahs3oThP11hZ2Ey4yNTCJuMKXm;bsNBCtujeqtW36DyEqD5NkUSVls4G4FJPsq0yDlZuDsjL4ZrNZYiPbpl0U6rmSqXz5;7;7;4379;8;65008;2;35560;1;3;3303479348;836846027;9;27;4C4wudQSqd4r9NV36dsmEQxGQDksqTvOWApTFOAZYJiZPy0J52ZqMVyuGl0to6yXiSJP6PsEZ53f7Rnewm7qmPykuU1PYUn8EDyo
367;357;12241;0;331;GISXPIDX;0;0;9;1707915002008588032;10629742168618153459;K2CDWGISXPIDX;SEDX;DSS_CDW_test;7;7;7;2783946669380047195;Oa;mQ2VUztgmK2dTmOtt91u678WwI7kf1IAPcHL6T2fMBoCPksBOeTQECumhOOqcw5VIIyf0s;73x;3274536388;1;1881204819;7;1707915002008588032;10629742168618153459;10;338352934;rYNiLmooiE2o;DrP8;n3z;RuI;VgVNh9WoXepwzRLoDE;AC4Ueo;YWf7CNwgjPm675Sax0Gyp9EdLOG0Os2VZNyrr9Txx2kK4r0Ki2MqeqYZQ7aLTI4IoqUM4EkckLDyh714XX5GUXsIYwFI1v97ifLQHC;cSZ57ojRrTNjCuwWNHi5hZTADJOg5wI62W6L4EdJXvNmORUUNScLDPsla9q8E7WESh;7;7;63191;13;39773;0;48270;0;0;2592791178;2217308468;10;1;VWne6cLrryEGwfl9zqVb0ITLIh2e2g8dz2L54m8ZfHR8wDqJBqozSOrhi0X0wjMFKkj5r9gyjMe4WKZ6qVNYkPKuufcXdPw4r864
