msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;iSINCode;reutersRICCode;pseudoCode;cFICode;underlyingID;underlyingMnemonic;underlyingName;underlyingTypeName;underlyingSubtypeName;underlyingCountryCode;underlyingIssuerLEICode;underlyingBenchmarkArea;depositaryReceiptISINCode;parentInstrumentID;underlyingCurrency;bloombergTickerCode;underlyingIndexTerm;underlyingMICCode
502;492;12251;0;331;MTXCREFD;0;;4048;1707914822002580992;1790251130609994706;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822002580992;1790251130609994706;1;l9DPL00x8izu;F3EQ7j1qwWffSeYRj1YbdQGf;YceDdqGU629OaVxl8CONFT3mxXGLHkTwTRS0vz3X;SbAPPs;15698879884733908252;EA5j84;H535f6bgb6Bfhn67QJJoCwFWrLRalg8WnaIzyRBVO95nLDhNWiYQx8wxxzvkHt935bxoCUTf0gqfHwksBpLWfnvbxxhVgYKi1VbzXe;xjFBOu6HYNRxwy0DZbslaaOLoYWKnEbK2RSP5yHc;6keNtyWZkGlQyQ2Adlugqz0GnSfVSM9mSBx79SHPOAWObVnTbaZeMzZs3TOUnykXViuxTJ;u9P;RuuYK4fPF9UxJrTI7PKY;UXK7hsG1QLYS6zcFHnoLMxxlNsl0r2tXqmbxpmr4mRIHkwLqQ4z6NHEChBytvRAq6SBLRSdvQmH7NuZzPHOkx7pjW9E1vgqZ3Oez;obfvO3XAs1Vk;1879232978819246581;ZAm;OnKRysxc2GpAM;ZvhAJkAV;
502;492;12251;0;331;MTXCREFD;0;;4049;1707914822003496960;9015428846438367798;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822003496960;9015428846438367798;1;K4qfJT9SspDo;q8bG1AwdGswt8999Ux65y8DU;jSomw4H7d1ZxbhWGqhJgenDOtiViupxQnc0VUOWh;OwuUu2;11491874912370451452;DB4gzz;hndfUtnzJ5EKavKHG9kaGcPdL3J3BW0g6e72q9adPLhVoKfOQBhygr0Q3OtDR3iKAGsxRmIvK04tsy5aOg2l2w03lqTA9dM5KxHkiO;9D1cBsx7NnKXZaD1J55auwrkDyXwg20oWMy9K1u5;UmEe1wZYSO4mtLMXeHaAUx1kkGZvp2rN6b9wPtRkIhT4nqvgI8EWTlPZZ47TIHkReIxm8A;QAS;BYt6nc20xRYwOyYxE0kv;hVvpDAl0i7FFVHjg7WxWWpJ87KZOOvM7HWKIDoJCvZz6oAhTPOGpub4XrUMVsePzld5MgkW2tHroV5rbp1pS9Ldl2wurxs58eU1j;rmklKr1SqPR3;17866660398180423014;z56;z6iBlFqE8Ljsk;ASjHSw7X;
502;492;12251;0;331;MTXCREFD;0;;4050;1707914822004340224;15859084678673496691;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822004340224;15859084678673496691;1;GPaHKWFHgCbX;QsXRBLjceGHEinZLLMsCQpWv;mzPzHxMtoO3lzP4G19bBHVFMvsMDS8cqs874gkrf;6e3Eyn;7795345371549469068;1iGBI5;kBbdNN1SRZgE87Y3fZBwI8AJ7qiUIs8BOcDH72p4uom1uUQspD4CB18MYBwBgBlwxdJUDlIk9zgjs23pwPn2XYxFkADBnobFKM8XX5;1I582ILDWzCCsL4SlnYYZ4SZVhJvFBHoujofvYod;veF41bIptHv6mdjjLucMoG6a8CHN1zQNs6x0sRyhAmO5uIPkiE1WZJZgWLseXI1FwSxwCG;Ncj;B4IchcPGuJoB7huEJL0j;5w9zT3x75snzAi94kG155VvaO1MEyv9chFj5i70Vpdgv6Rrqggwq4thOzdqDZeeDhf6YmAeOYH6GjPCyMaA8xkZIZMNxsdDsqlNQ;t4FUrSdt6ojT;203895674786571643;2gw;g5ia3VjRFJRa4;VtWwc8MS;
502;492;12251;0;331;MTXCREFD;0;;4051;1707914822005155584;18141739151566669944;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822005155584;18141739151566669944;1;QXwFcOIPltGX;RIQ3tiGHRn2scsANcAHNrDQq;vSEanJ4qvgeUK9T7WZg29kNM8jwnzxmmmyQuZJrI;qsx2ZI;17390165356018006689;V3tZZg;BjXH0lIYpKDMQIrqyiTGI4gcU3Xx1fV7jDrH63sUtOiBKdpnIlaXz83ZjXfkSfI56LdIXsFI4WkMnjfkigcTpfrhFg9OtfvisTqljB;G5SRS6EzjLuUU16nWyHGM0ursJLcvzB1hJIVzJJL;9gJ5ewNkE4wiLMNn77PaE0ECeMUQbCWTuXTXq1oNGukwjyYWviyU8lXgUvNw4OAzYDiU7h;oKy;Sc6NEVSr7rq0zYomDnLD;mFBBElkGaP5wmsW29BXxjBOL3K18ceshorRBtjMYvPxPn5rLsCFkT9HwQtuRoscGL2n3xCfXbVGCEz9Zg8Ax1L4fhYMSfXtNKLQA;eReGROMAxeco;10438888686647392898;8Ud;rnyyiakz2g8BH;mUf48bhX;
502;492;12251;0;331;MTXCREFD;0;;4052;1707914822005955328;18354146818152196157;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822005955328;18354146818152196157;1;KauvmlbuknJZ;AdwQoyD0kLGfeXzKIyzeaUBr;Y44D8DbFeg0VH3ivdbb1uRqkVhoFh0DLK3tL5C6U;R8jaLr;6623799141125612945;fUK4S5;CDciMKNMaGeGgiln2cQxpo5FOi62VAWk4kRzPsXkoAkYIDwLHcDpANg7bLawcx9KxAsR15moqwLGB7jzfSioCRrrHzYn8BDTlljRwo;pf8a7kZVDT2a7lwy2Zl7LJGZgHzW7cGqMnYND3hx;plXZyoIRli5dTUMeSqIdsWMmd73pXtXscz5x4cQW36OSuhsesBSLLuRh41GaOZMuizPBAT;glO;q1Kn8W1iGOriBcpfZHeO;7jL3H3zZVqBZFajDsgdTgQme8G9pVao5SbjBetuvHpmOEVG50IyXbiq84j4QRPzNJjpl5ezKR7K7nmLmsh9Eoc6DbXqvpDzyfyBE;HWF8mzSDeO4D;4138518755946516395;S27;IJ87sJisH84xa;uKFurdPm;
502;492;12251;0;331;MTXCREFD;0;;4053;1707914822006770432;13277793801854044084;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822006770432;13277793801854044084;1;Oqv9k50HqbL6;r78qqHrC5m6UAkEC9VFnqAvi;0Z3DeJEZPNb5T9f9gzM7aNG9scndKncxtPXoHsyr;ml5iOd;17228373180396121176;gAdIsU;xU1HF29VAWHVGwyQIXNDKY2LI1RSRhadpklEMU3wHk1o0d1clW0puHmmHl5kloaYoH9ac6coyI551f0FineUKPmYbDww4aVk1cTXzU;YQ0dBPgXrrXomETqTGL33Lj7CHKWLe2ko8fByKTY;Csu6y9K0FvIoQGgNmIllg6A8aTmTXB1uB0ZZKHh6i8U29dMoWBrgYSj5iHETetsn99wyrt;JmS;YdpgPsKJKrhNvRqoL8Ok;ZDSBzgkEeQu4NoqPvlFgK0P7MAHroP48749llWFOqj010KvhlrFbZap0Gn2LXBVokS05P0kDKcz2P3bf4eI58R9B0xtLKPZxfkmS;93MKXSCHcRFn;12123444643882685548;4rH;OiEFJ59N0spKs;uneU9ka2;
502;492;12251;0;331;MTXCREFD;0;;4054;1707914822007560960;13676309136219112726;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822007560960;13676309136219112726;1;b5bPKO5TFkSe;iAXk5hnjnTieaKpsQpF7G6L3;F5jFAgM83tG1Ech4B4dlNH4hZcuLq55o2RjBFLIh;G0K6Rp;16112639812633426665;d9tWcr;J3ElfBoWWh8YKK1ZDhG74jWAaN1lCdfVqx7Ff9Z2IjinXNhZVmc21noeHgTJ0BndEETHJI0QCVHyv2PDWjimgJyhrRP9DsC0hSVuSc;Ba4xYMOzaEv0bKwWQ2JDlRvHF7E1LB4ZnEGRwKaJ;gk0rPu9uapkJr0ZTwR4RSJPxYsYSdlOyumUmccQX0n120Z9rrGaKnvS2ms5WoQIcY0XVJb;uqf;Dr5yexcVeYUyogPk974z;LuBcQCt7DR4DPzBZjv8D8oBQd8EOMx2dweULQGp7Taxz62KdAFkvM5gIpPKGrsF46uJHq80DEPfw64dnF6AdB927s4IVEerOdVlC;6JA6eiRI2NQW;6166958250819933184;u0S;cG0hQIxxfKIxf;qMhf87cg;
502;492;12251;0;331;MTXCREFD;0;;4055;1707914822008374016;14111921167191282115;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822008374016;14111921167191282115;1;7H7zfc4HeQqD;WIapcfIsJcDZH2bhUBJwVsGe;tjUuRsrGdaIKMLATu561QYAOcuJsdcjjfUWkRBHS;LcrTEV;4255197555239807683;3i1mQv;5wLcE6Sf8zfrTStnmDKmlQBWgzM36TAnH4Y0onjWqP4nVS8HBGDC61r8dLNJ0mcFnIbtMB1nZ0Xyamn15pg9faHh18kPmfrX2f0Vgh;RMuAdQd1XMVvDRZ4pEvnkju3jfV7flL666FMFCVa;N1NW6PQ1JShHDh321KBavs9Pi48dOHBewbN7uMLDTPNY6GpiJrK7mV8Vy9EQjdtKVq0EfY;q9G;qh1ZN7jfbOZk4sNJZKOh;9MJTd61ADO2TTKHeP1x29L6gFkXgZzCIMaGeBCQMl2KBeZhJvarrM89go4ekBVvNeC2dGXoZFII0vJPISUeKX1T9bSYTVPoiL4Kp;e5kbqHSFYsao;17135714562028509881;iaA;aobBPZYpB9Fjf;LwhETzZa;
502;492;12251;0;331;MTXCREFD;0;;4056;1707914822009176064;17489367335095347456;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822009176064;17489367335095347456;1;vZBZycUnbVaa;X4C2ZeqAnQXX1fYD3GpgCAm5;7hEixAEJLOE0Ec2cKXiRfuUGBTXjXKQRWTmtPs80;RYQdHz;8435776617698304041;ou2Iqr;L7argTdoIF5sDlvKYKxeD3C5jZblf1uJhKm3VYWNJxjRQL5yNHlipcTpDsWsprcfVOfzwxiiuQUHPo8h9ma89LkaGlg6Z0NP5I2Otw;MNyht2X1y8W4pLB98EYsijBZCSKYz6WyxepigPIp;0zwhLvEIi4mWIauUNURnuRa1XrGsSvmLyCXM2duNDQEeDnHHY63rURy29nWObkTnGFzvev;M8z;uFCRlpz6XsfaRctOOOev;MLrPFfwkeZXpaT8Dt25pixXGWfvLQPUqyIt9Qs82wZmQNkN5VCeAFyXwCZjj290QRYAlDjCTKJJvrStufS5XdQ8bmheglV9wjTT4;F3dek2aEgBwm;15460057597519532184;fSb;aW3JeDjX7idtm;BwgwVHiv;
502;492;12251;0;331;MTXCREFD;0;;4057;1707914822009980928;4225168835349353693;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914822009980928;4225168835349353693;1;YWvTEJ89fJ8q;J2wFronYKUh1vqtC00KRuVJN;tZ4fis3zlWl0quiNJESlGQF0B0CswM2yaW2B1oSQ;V0DFjp;11947548119402399945;Z2PYGC;Ru8x5MFWbkFYJh1AXo18UDWyGm0oh05KVnr7hrrb10hCt2dUvYyRcIkUFKffRM8K732dJA4rOpNzScatICXjrmR95GVQtdJH76QQdK;HPwCdcgk6xxAEsUG12ltoewNcXh42VdtdiRUxa4b;y9ZqsruqbUw4HhPOIsSw1UEYwTpq0uPCH7EOq9jeva22TgsizHzvZiJOwuN6yu6YHIQr6v;X1e;ztVHq7gnTv4cLaGJ8A4m;8mBkBDxf36tdnFpC3p45DNsxYY0ZEJbImOFX478NS14RLA6TgT20FXyOHKoTTtGqnm9LumNNwl6hXxGGsXbrkuoVVz2p8HaJOMP0;ykWwuSh1HUHN;8806127453280321865;Pc1;u7cg9piWe1dXW;wBPx8ipK;
