msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;sequenceTime;bookInTime;symbolIndex;eMM;totalAffectedOrders;eventId
59;49;12253;0;331;2BLKFORD;0;0;1;1707914880005853952;17442749189760552565;K2CDW2BLKFORD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914880005853952;17442749189760552565;1706095069198191434;1706095069198193973;45567501;14;1280739666;7470383254906232880
59;49;12253;0;331;2BLKFORD;0;0;2;1707914880009819136;16600962307356602858;K2CDW2BLKFORD;BGEM;DSS_CDW_test;7;7;7;8455796870640476680;2e;NXYIUAMhe8F90Pq2HKu4UptMXR0WhWBVCzvMdKaPRTCLmkLM3HmCHdSRWiO0CBXbQHtWo0;R7n;183963952;0;1035156442;7;1707914880009819136;16600962307356602858;1706095069198590240;1706095069198592852;468896029;15;-1338762315;9848618943408181280
59;49;12253;0;331;2BLKFORD;0;0;3;1707914880027880704;8145025939223506369;K2CDW2BLKFORD;SEDX;DSS_CDW_test;7;7;7;1923596569799240162;YR;MFDMUANVIMKjubSSj2x50ufkIL1e4Rgmj6OsyJa2SEzT7K3LP3jr6h7jIJb0biQz3RjPcR;UQl;260465426;0;2334806526;7;1707914880027880704;8145025939223506369;1706095069200988928;1706095069200991712;742696025;6;1740225185;2794233559042244699
59;49;12253;0;331;2BLKFORD;0;0;4;1707914880031803648;5476141264992940286;K2CDW2BLKFORD;ATFX;DSS_CDW_test;7;7;7;16640777651013728151;Wr;w08mLhl4SkS6mmCIgNqPyNsOVmUkdxRoa95mGyA7uPFKzvcFBpRhjD6KJXG38VMkjvAQdS;y8t;723370767;1;2063910704;7;1707914880031803648;5476141264992940286;1706095069201619824;1706095069201622492;636453490;14;-1886033740;8429290903856751199
59;49;12253;0;331;2BLKFORD;0;0;5;1707914880041196800;13284451643051816855;K2CDW2BLKFORD;BGEM;DSS_CDW_test;7;7;7;14307308784099107851;C4;HYmPjrYjwYMtfp12fcinP3k0Ugqv3Mu1A2fNVuJxqKC704ZtWiSrdlfKfNh4ClqdhXOrkt;c1S;373537242;1;2314197216;7;1707914880041196800;13284451643051816855;1706095069203322556;1706095069203325301;267525860;17;-1216263300;5272865931378964914
59;49;12253;0;331;2BLKFORD;0;0;6;1707914880042769408;5495170648059963252;K2CDW2BLKFORD;EXGM;DSS_CDW_test;7;7;7;12641822112283066665;Kz;vtyaoOQwxIkSZH28TpXNQvLDZYKwWLH42IHCGPPgjHaOvb2biBgwxjRDgIIm5TnhGBn3er;IvE;481675619;0;2965735876;7;1707914880042769408;5495170648059963252;1706095069203628692;1706095069203631205;845948744;6;1524762449;2538161992693820713
59;49;12253;0;331;2BLKFORD;0;0;7;1707914880046682880;3540877993868665371;K2CDW2BLKFORD;BGEM;DSS_CDW_test;7;7;7;8961283129513184610;Tr;lh4fas3DzZqcCdIgmyBxbwrxMeoHzOyQK55X73SuHF5QR6JgJZvV0S5dzxc2CosSonpJSu;utl;2389041993;0;3640874400;7;1707914880046682880;3540877993868665371;1706095069204442145;1706095069204444794;584621813;6;334261605;521941464033559006
59;49;12253;0;331;2BLKFORD;0;0;8;1707914880054517248;1599489794485519526;K2CDW2BLKFORD;ETFP;DSS_CDW_test;7;7;7;7946700087367777004;yq;CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh;H5X;4105738847;0;4102579803;7;1707914880054517248;1599489794485519526;1706095069206201402;1706095069206203975;306138594;17;-245630932;12888070258385056891
59;49;12253;0;331;2BLKFORD;0;0;9;1707914880065456128;3071535911959511049;K2CDW2BLKFORD;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;1707914880065456128;3071535911959511049;1706095069208983593;1706095069208986187;946518645;9;1026373696;15130052978519882293
59;49;12253;0;331;2BLKFORD;0;0;10;1707914880070152448;10294994139572816504;K2CDW2BLKFORD;MTAH;DSS_CDW_test;7;7;7;167335769121138592;n3;QddX6EHSyMUkyaCqPHQ2yVkJPdfPnSQlrXBa2cYzoSeryKwcxTGF9lsyAAycELFbaI5507;kd0;1025439045;0;1521194008;7;1707914880070152448;10294994139572816504;1706095069210272401;1706095069210275153;648090412;10;-784960230;16710489024286440541
