msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;dayOff;calendarValueType;calendarValue
80;70;12254;0;331;MTXCREFD;0;;4448;1707914840003945984;17133950142604537934;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840003945984;17133950142604537934;1;4757;1;aLshKB70VPuQg8R8rxYQAiVZIlPKWrhkoO4UHSLa6HdZ4ZouHL
80;70;12254;0;331;MTXCREFD;0;;4449;1707914840004801024;15555375810047071286;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840004801024;15555375810047071286;1;40786;4;0Utv71R2Qrjz2C8oaBHFnkW2vQQJA7LD6nMBOtMs53E4UTUnBL
80;70;12254;0;331;MTXCREFD;0;;4450;1707914840005603072;15446107526502281615;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840005603072;15446107526502281615;1;37742;3;rxWng5iR2mUhJysLZK4UaBZqF583tgXRSsikhMOa0mvVPBJjja
80;70;12254;0;331;MTXCREFD;0;;4451;1707914840006395392;12741318224109651763;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840006395392;12741318224109651763;1;33960;2;xkuOJ6RbhKXvHWb1fyFh5itnEdZDBkfQvPFEonHMssnwgc9Iie
80;70;12254;0;331;MTXCREFD;0;;4452;1707914840007184128;10914109475587802975;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840007184128;10914109475587802975;1;30065;1;ltHaXpzrvij5oieb10eNoR9JwxtJNMXydfHndBUse5CBgq5dyA
80;70;12254;0;331;MTXCREFD;0;;4453;1707914840007970048;6783297709294655966;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840007970048;6783297709294655966;1;30754;1;OfVPcOdLh5bQEOZm8DWnCCjR8hfnWUJYfptZNW1uisZWGGsjdq
80;70;12254;0;331;MTXCREFD;0;;4454;1707914840008747776;2413953034466582674;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840008747776;2413953034466582674;1;33181;3;cnTsIy0v1TJCucNy0OnwL4unr4l4yzOUUi87XWrk9GEyVZkQET
80;70;12254;0;331;MTXCREFD;0;;4455;1707914840009560832;6845919795412724623;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840009560832;6845919795412724623;1;33025;3;nqbzeFITVBrawmiDBfLX1yJ1Zf8zXVNRtdt3SFSaiGuCDglCE7
80;70;12254;0;331;MTXCREFD;0;;4456;1707914840010346496;3498142599971530783;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840010346496;3498142599971530783;1;31482;1;w6kLx1Vi4pg1lyJaInM7Ge9f7pgLVatIXglNVVjXBXQCr2lt6U
80;70;12254;0;331;MTXCREFD;0;;4457;1707914840011137024;15143520230443080117;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840011137024;15143520230443080117;1;32248;3;KaPqmMTbC7ydPCBUjftr3hmhz24AnkAOB22R2PolVRkuwv7jJz
80;70;12254;0;331;MTXCREFD;0;;4458;1707914840011916544;316584616722336703;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840011916544;316584616722336703;1;35198;1;tjARN6bcBCcB12LvzqFh6JyDOXv3HY1x4f3lldVleCsvXG0HVj
80;70;12254;0;331;MTXCREFD;0;;4459;1707914840012701184;16320625731922866638;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840012701184;16320625731922866638;1;37098;3;ysGcssiKBcv94zpvVnUjh1pRS4Hp2rjJr6hh7PVY1GHArq93n0
80;70;12254;0;331;MTXCREFD;0;;4460;1707914840013485056;1671056791781397934;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840013485056;1671056791781397934;1;40575;3;lqN6ZcQyTCqDWGpA8vgdycWbh4MjtGcfTOeJQkz2gqH6smZJwK
80;70;12254;0;331;MTXCREFD;0;;4461;1707914840014267392;16428047823907982215;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840014267392;16428047823907982215;1;44525;3;BjInckHbs3psLSEOJ5O0A2ZJIfVxpq9jsAFKiEJI8LzNky93IM
80;70;12254;0;331;MTXCREFD;0;;4462;1707914840015039744;7340424312997018942;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840015039744;7340424312997018942;1;49894;1;rTsgnBxhBjVbgIVfJhc02sbXt2e7C1oqCLSGdRaGiPSmj5ZcUP
80;70;12254;0;331;MTXCREFD;0;;4463;1707914840015821056;11411935133125540997;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840015821056;11411935133125540997;1;56625;1;03U5PdZ9Z2hdq5TFtpCbxEEaJDRVkUt6fzS05nqdVAr0hBbanu
80;70;12254;0;331;MTXCREFD;0;;4464;1707914840016595456;7386068249883981418;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840016595456;7386068249883981418;1;62445;4;apvhnzC6J01rf4cvL9iLXQOJSlBms8d5zZsPBRoXjXy4HoFfes
80;70;12254;0;331;MTXCREFD;0;;4465;1707914840017375744;4245896033134140233;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840017375744;4245896033134140233;1;4995;4;wQNK7SaEjGYcLy4UYHWsxz0hi6TYKuhXJDnuVE55rG7hI8fdIF
80;70;12254;0;331;MTXCREFD;0;;4466;1707914840018153216;8657067118139625029;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840018153216;8657067118139625029;1;16798;4;y6p3k4QOxBmPGJG3FsitWlWUg6WuVOJscbxHgrIQFv6TQaN0du
80;70;12254;0;331;MTXCREFD;0;;4467;1707914840018940928;10009136365363104267;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840018940928;10009136365363104267;1;27702;4;trLGQG5NGKB6wZwTGC8v1g8vFYaHJeSeG0rWH6KMOJwCrCpqaV
80;70;12254;0;331;MTXCREFD;0;;4468;1707914840019723520;1267983323333251859;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840019723520;1267983323333251859;1;54809;3;refdIGw2kzYn640nR8EwRB4SQkf2rs4NoS6pzhyQKDKmpobOJi
80;70;12254;0;331;MTXCREFD;0;;4469;1707914840020497920;12398831639226338193;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840020497920;12398831639226338193;1;4199;3;X8C6RRqMyiNKPSWD3HzwcuSdqbyvpiyXph8n3mZi9GwrBV6KSS
80;70;12254;0;331;MTXCREFD;0;;4470;1707914840021283584;8793894360994400792;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840021283584;8793894360994400792;1;19777;1;tN4sirLTGFDZqsKW8sYZp3Tj6f0UjrJ1hDAeLt1fqidSEvJNYh
80;70;12254;0;331;MTXCREFD;0;;4471;1707914840022066176;14654636772676148646;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914840022066176;14654636772676148646;1;34886;1;nR9TDbb40uIfo0YPLZSxwBGeP2wFwPmXkgldyDn9davfPpa7BG
