msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;symbolIndex;instrumentID;optiqSegment;CDS_couponStartAccrualDate_1;CDS_couponDate_1;CDS_exDate_1;CDS_paymentDate_1;CDS_recordDate_1;CDS_couponValue_1;CDS_periodicRate_1;CDS_annualRate_1;CDS_couponCapValue_1;CDS_couponFloorValue_1;CDS_observationDate_1;CDS_structuredProductCouponQualifier_1
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;62157;13884;20552;24664;25404;15592476431404356421;761577060;556349809;3248707720562041231;6640023081732750125;55578;2
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;7628;23023;17408;31753;2353;1363401099586477996;1305890795;4112243599;10237702820915449722;2920454892201539228;41181;2
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;42935;55960;32641;35707;61762;1823731873466149963;719958;3182318537;3622661181857172673;16642001722221285561;60005;2
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;19309;1230;25762;20430;44126;8866097204025024509;2551070616;1967073110;12908210219888585192;17415118838501633040;41858;0
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;36923;36193;25893;51209;47493;16540819688936315716;4021343906;2626577768;2554023132574552032;9519015373874631248;42587;2
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;34014;51578;11998;56468;61176;5695305848127037731;832266532;80547009;9993742284711975918;8430742204128598843;60195;1
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;50865;33826;38283;20125;35181;16135336676724773394;3335032150;1854781839;17631189116032244644;1473168939950750132;12084;0
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;35091;61061;11284;51256;62906;3291178024841080936;2923425119;1425829428;421906330831517035;10438244387098047208;10401;2
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;55096;12708;34646;65459;58423;6632990991315677401;3686223482;402938574;6395462343906292950;3036340771801487869;12157;2
11472;30;12256;0;331;MTXCREFD;0;;4848;1707914858006417664;12371467203033216727;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;1931040184549803271;sP;eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS;pZS;2003829940;0;1804395850;7;1707914858006417664;12371467203033216727;1;710897910;11954404011739921556;15;23392;55517;4695;2322;44181;7502762562417772988;3439089957;3735334937;17237537182834937502;6380368894540185500;47102;2
