msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;oESessionID;firmID;messageSendingTime;clientOrderID;declarationID;symbolIndex;eMM;mICofSecondaryListing;operationType;preMatchingType;waiverIndicator
62;52;541;0;331;TCSALLOU;0;0;0;;;K2CDWTCSALLOU;EXGM;DSS_CDW_test;7;7;7;1372060987366733032;sa;YOGvsHtPStgtEDUgu7nK8KI3ZEXZPZ2LcGIFMgJgYCtpJMOALBh3wdXcyw4EVyWm7Sna9v;9Mx;2053645330;1;1659700653;7;6592136413012063657;Q9izdAv0;1706095049480934921;-1695931414338822006;1507955810323730930;83351337;1;y9PZ;5;2;7
62;52;541;0;331;TCSALLOU;0;0;1;;;K2CDWTCSALLOU;ETFP;DSS_CDW_test;7;7;7;7543779628463121226;Zv;oM9u2Gv4glWUDnxXjh73s9ROn7SFSFNDw5qgLKxrfyrz13xxSseTVmkqa6NNywvKXHdXoW;3pd;1144034105;1;3453138748;7;15845121290129257339;OTiS38Zy;1706095049481062305;-657487329562726102;95940583929207071;752014678;4;0h61;7;5;3
62;52;541;0;331;TCSALLOU;0;0;2;;;K2CDWTCSALLOU;SEDX;DSS_CDW_test;7;7;7;12542800833602624961;yI;Hf9fLzOBmlrkamWAHMwkjOWBQvKSsP9p5uGLaTYehw20VUtMKlX6GODnRU76H2MSQzzETU;NDy;2458137713;0;3291237633;7;10958280133667599145;mbLxKNaG;1706095049481144483;-5145242190227873902;11533725310357257702;273371376;9;RAfp;6;6;2
62;52;541;0;331;TCSALLOU;0;0;3;;;K2CDWTCSALLOU;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;9691770280905515925;AIGPKqlD;1706095049481225089;5862631787529404597;3892667698675939640;946518645;6;9Xuo;4;1;5
62;52;541;0;331;TCSALLOU;0;0;4;;;K2CDWTCSALLOU;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;15950561463876110754;Au6VJMEN;1706095049481306491;-7984582997727146182;13508173547631431553;941734235;14;HJ6M;1;3;6
62;52;541;0;331;TCSALLOU;0;0;5;;;K2CDWTCSALLOU;SEDX;DSS_CDW_test;7;7;7;12542800833602624961;yI;Hf9fLzOBmlrkamWAHMwkjOWBQvKSsP9p5uGLaTYehw20VUtMKlX6GODnRU76H2MSQzzETU;NDy;2458137713;0;3291237633;7;2664129902092260178;2pqNRXtL;1706095049481388046;6457813349396472257;10182509912722784518;273371376;17;48Ry;5;4;1
62;52;541;0;331;TCSALLOU;0;0;6;;;K2CDWTCSALLOU;SEDX;DSS_CDW_test;7;7;7;1225024392578737793;Lu;7l2wKT2IudYJgSd7xUGD2fcdDshQAlPY7MWXng33moAoTLjFTyEF09R9irRnV7QlXLBVxQ;zyp;1087523540;0;1116760316;7;15962680204017070771;wPXFMltw;1706095049481469311;-4619714342401016075;11468589584744143571;650176422;5;3moN;4;1;4
62;52;541;0;331;TCSALLOU;0;0;7;;;K2CDWTCSALLOU;MIVX;DSS_CDW_test;7;7;7;10929083452623909704;Qp;ZyDvZNtZftw347NF64GL6g1YOCjtNgTG4gn0PaO94v2iAMQffVIk7BpoCZpdvrCQIBcvGf;KGy;1159840746;1;561918784;7;17704292237781158476;IkarDd1C;1706095049481554915;9071153344722319515;6214273666002436347;221113253;2;rOWC;4;2;0
62;52;541;0;331;TCSALLOU;0;0;8;;;K2CDWTCSALLOU;MTAA;DSS_CDW_test;7;7;7;2;7Y;F9ZIkABhUOGHhxQckbPzh6g3fmvAOPZtuxlncvnwz9peMGTa35MnLmQeg4vcg0STmykArl;FVk;1;254;4294967293;7;18422199129359292568;ueqRs8gI;1706095049481638017;-6186209530907832450;5402637466554435813;225974287;8;YhdS;4;4;4
62;52;541;0;331;TCSALLOU;0;0;9;;;K2CDWTCSALLOU;MIVX;DSS_CDW_test;7;7;7;9222983221400517313;oi;nsSiNFv22775HnasYddBsXGpDWMQiL2lLW0ENLgtoMKC1O3HNSjc1tJWpuoMtjgByDoUQQ;8ZD;2235014983;0;2553562222;7;18116193813025257653;i9qMW75m;1706095049481732254;-6320259519298611943;5202344203133200179;132552347;15;KEfw;5;2;2
