msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;oESessionID;firmID;messageSendingTime;clientOrderID;symbolIndex;eMM;declarationID;actionType;tradeUniqueIdentifier
72;62;543;0;331;TCSALLIN;0;0;406;;;K2CDWTCSALLIN;SEDX;DSS_CDW_test;7;7;7;;hq;8jVfieJXJpV1K8NUtdBXWEs1xlRq9p3m7X7CNb0Sx3MU2u75rIJiJrlslOwJM7EQU5y8tU;R5d;4294967293;253;;7;0;DlCozPih;1707915022003753984;-9223372036854775805;304152982;26;;62;6znjmJAezkL7uZCD
72;62;543;0;331;TCSALLIN;0;0;407;;;K2CDWTCSALLIN;XMOT;DSS_CDW_test;7;7;7;4403052311478408602;ZJ;HR0owOlnfPpmCv5A5GnTBNqsBLe02c6ZYsy2F9GRoCwO78CZL9btXNrGjLHPLTuNkB0Q3A;4bF;4187754424;0;2043547757;7;18446744073709551612;2EA3WDJh;1707915022004797440;0;357076211;117;;75;7rzZ4rlnHtjWHu0f
72;62;543;0;331;TCSALLIN;0;0;408;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;10544058226050518423;yE;0u7en7xi0goL4hB9R3Ye4xD2iOUkPSWA2XgE5tmrT9LczLrNRBOQgEV94vNywaR8P649ck;SJV;1601985361;0;1943305045;7;;xPIuyq2t;1707915022005630464;9223372036854775807;946518645;109;0;250;NPqEBsnED697X8HA
72;62;543;0;331;TCSALLIN;0;0;409;;;K2CDWTCSALLIN;MIVX;DSS_CDW_test;7;7;7;2214246784611142582;Em;nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C;aDz;3596835518;0;932878956;7;;uorE3ojP;1707915022006445824;9223372036854775805;519103305;84;9223372036854775807;156;qKI7h2ZCPpvRfsxF
72;62;543;0;331;TCSALLIN;0;0;410;;;K2CDWTCSALLIN;SEDX;DSS_CDW_test;7;7;7;14324812313368930972;om;c1uuArs4e0ZYHf8Hg9ng85DEdL7EUnzWlPv9NQ7iHgNnRPmU37jBs4xvMnhRkwOm47Cccp;K1I;957906397;1;1372775908;7;18446744073709551613;DacKugvj;1707915022007248896;9223372036854775806;542212191;146;18446744073709551614;28;K3qJCXrHBhCPQM0g
72;62;543;0;331;TCSALLIN;0;0;411;;;K2CDWTCSALLIN;MIVX;DSS_CDW_test;7;7;7;6626312878980010912;A7;XpJ7cVaRyMP30xrLVjb2DWNh9ZaSjgvjw5YoFvjZvV64vsdrARuyXeNZBwa6YHzBH1Vevb;95U;313942368;1;3542517590;7;1;xKbfKau5;1707915022008068352;9223372036854775807;782873053;183;18446744073709551613;116;yTO5scO0m7mPxyud
72;62;543;0;331;TCSALLIN;0;0;412;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;2337247468056382699;Ae;tbVVNEcqbSuZRsn6gCPx1sFJaU44TJsd4JR3WfBjPcdBk9kslY4iSuGR7lal1tadGzExls;kFF;3527223126;0;4275500947;7;9223372036854775807;uVUnSgce;1707915022008867840;-9223372036854775806;697925876;115;18446744073709551612;209;fhr1sEhNYEUjc8us
72;62;543;0;331;TCSALLIN;0;0;413;;;K2CDWTCSALLIN;SEDX;DSS_CDW_test;7;7;7;9751561908763964141;vZ;WVpX9nTvqnLWL7jGsWg3tGEjkmayf1FHmlTydihS7tz5kQiPpWegw6lib4mjjDspzCOH7z;epL;558546678;0;69290684;7;18446744073709551612;N0NIsiUv;1707915022009668096;;274114089;75;18446744073709551612;172;H808F01AW3HisGZU
72;62;543;0;331;TCSALLIN;0;0;414;;;K2CDWTCSALLIN;ETFP;DSS_CDW_test;7;7;7;11871043582309635757;bK;zWIRpiGwyQnoiWiYLZUbYqgmNpu9KQRkXbitvFOIP16LfGeBnvxLxJSkh0hD88LU93YBRX;n53;4133966827;0;2968765200;7;18446744073709551614;W65DGMHa;1707915022010473472;-9223372036854775807;952282621;108;1;41;2axtB5FKkjgIACE8
72;62;543;0;331;TCSALLIN;0;0;415;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;12115424642110324892;Q6;Gc2KB0MzOKEGwQ3rpYiXONXtvBBOyqClkLjQN0K30vyUJND6014LOGrZCL0PqfrwEphTdS;0Zv;1972153778;0;1845816919;7;2;ZXja1NwW;1707915022011275008;;14113038;2;2;98;pdHWl6GtXxxpd6V6
