msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;oESessionID;firmID;messageSendingTime;clientOrderID;symbolIndex;eMM;price;bypassIndicator
56;46;544;0;331;TCSALLIN;0;0;198;;;K2CDWTCSALLIN;ATFX;DSS_CDW_test;7;7;7;10526347176353020884;aI;oVg3fgIkvwEBwJ9ICQpoUw6MhcuPwUaf4KXBUOa9G92vP3a0nrF0FuabP4DV7zR0zc4YGp;97D;1579314002;0;1496809732;7;267262546728990759;RN7BHqef;1706095049628351568;2656154719599266294;255231752;4;401;71
56;46;544;0;331;TCSALLIN;0;0;199;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;404485177659377737;Rc;wUqjOBFAr8ISYNTWIw0SAMImCjLpKw8hqkn0pPyKEQ0KWq28RYdHCjio9VSfzb3lq7bvwN;Wn9;1910389133;0;3823951554;7;8837551484293943765;BM14xm9B;1706095049628459802;-3185232607236213853;610827639;6;401;124
56;46;544;0;331;TCSALLIN;0;0;200;;;K2CDWTCSALLIN;MTAA;DSS_CDW_test;7;7;7;749269245730578301;UH;qp6muFVBEzRSwQwrmudAg1D8bkYSMVYBjoGK1uDzKV201ZJWKi51lpzj00OGRYAwFZSqJe;6jJ;1236754072;0;4163892170;7;11119140721400318365;kPgqsuwV;1706095049628532235;8934004151519728485;731342202;8;20;104
56;46;544;0;331;TCSALLIN;0;0;201;;;K2CDWTCSALLIN;XMOT;DSS_CDW_test;7;7;7;9223372036854775807;Cy;f8Lbb9JZ7O7Gwi20iSsSO9Cba5pCP0YgmPdsyK337Q9uD7H3JymHsvNq3PIjzwNPAMF5aT;u8D;2147483647;127;4294967284;7;6538121169100884617;4TRF6E9E;1706095049628599557;7480356415222127048;854171136;99;403;47
56;46;544;0;331;TCSALLIN;0;0;202;;;K2CDWTCSALLIN;MOTX;DSS_CDW_test;7;7;7;430287363295834731;qh;lyJGXsksPM6KIvyTRVIsJssrVnxgCY9eJscA9Xnj5K574gEIJaRgQRscJVuWX1mIEa3RU7;LEV;1272361034;0;754422102;7;7164518321959689849;IoNFKzdt;1706095049628668784;-5961863088022866736;149423575;10;179;207
56;46;544;0;331;TCSALLIN;0;0;203;;;K2CDWTCSALLIN;BGEM;DSS_CDW_test;7;7;7;8800164249227026528;C9;kcx8Dj57stdQ6lZI2BUg9zK9HQ2qZdi0ljW0624kkxLfFz4kkv77eyIXfgxwVkRmf3fNf5;mZZ;2572105786;1;1650941192;7;10025408294340982772;w4aEVGS4;1706095049628741992;1402133090955668832;243374731;17;269;129
56;46;544;0;331;TCSALLIN;0;0;204;;;K2CDWTCSALLIN;XMOT;DSS_CDW_test;7;7;7;14821398345820716570;hL;gK5WoDlJRHnYjLE8QEZdtw2bjkd23PeuUlXSLsSpMKcf33A51yZeF9HgbVpD1FfkdMObEN;ehZ;859163287;0;2067586902;7;17250130680292490694;uAYG22To;1706095049628814931;-4992882380530037364;592228969;14;425;94
56;46;544;0;331;TCSALLIN;0;0;205;;;K2CDWTCSALLIN;SEDX;DSS_CDW_test;7;7;7;4877442485009327040;N4;BH9BigX6VIVD0miBMBclwv9tbzoMnFvyMeButt22tC7gZ78l6IY7Uz7GlwEucfIQ7YCjPD;Ejj;2610298077;1;3847417095;7;15619835685001548980;66iCZm5b;1706095049628885120;-6759041536459132050;41437899;11;229;64
56;46;544;0;331;TCSALLIN;0;0;206;;;K2CDWTCSALLIN;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;8994527630275084062;T5LeCIMZ;1706095049628959595;-1871678203555075845;941734235;2;362;246
56;46;544;0;331;TCSALLIN;0;0;207;;;K2CDWTCSALLIN;ETLX;DSS_CDW_test;7;7;7;17038630954790900019;BG;wufBdvc2f0ap17FPYPHfdelr7IaY0UqqHeN1EpCDmNABkYZ450Rbol7F1IVPvNdS7yEP8F;DXt;2810650698;0;3380190096;7;5990897955346288736;Y5dFrd6t;1706095049629032139;6824265664987560189;577265363;5;64;124
