msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;oESessionID;firmID;messageSendingTime;clientOrderID;symbolIndex;eMM;mICofSecondaryListing;operationType;errorCode;rejectedMessage;rejectedMessageID
57;47;546;0;331;TCSALLOU;0;0;614;;;K2CDWTCSALLOU;ATFX;DSS_CDW_test;7;7;7;10618195290529947463;CQ;GQqjhpa21VTx8TCkBpV5FR3FvznQLLX5XON6mxg1QJYybU1mVnQboceOSJZM9WByB7QICD;AAq;2681927103;0;40643180;7;653392199321155634;se1jspAx;1706095049707695740;-192641461455299854;703220993;10;DiaB;7;63634;107;53516
57;47;546;0;331;TCSALLOU;0;0;615;;;K2CDWTCSALLOU;SEDX;DSS_CDW_test;7;7;7;11214469527078785917;6R;lRwk8TR9Sc0KXHiAXt7Y4QXHtl9mm3SSIpeOTNUukiXLFSfJJNd2V1hcljacnetCWVD4mE;fLc;3922324778;1;2984614128;7;4888010329588597474;WrLZAoRk;1706095049707803569;-2694021346100992862;641399268;1;urMU;6;46935;204;14072
57;47;546;0;331;TCSALLOU;0;0;616;;;K2CDWTCSALLOU;MIVX;DSS_CDW_test;7;7;7;10876687420597401492;IN;0YrTk8qmxXILLSzYXa7i2cHr656UfDDHDErVSOYXfcxppzO1U0d6jtxj1lU5tSXXhxTzTQ;KEK;467432495;1;1446895257;7;8593454987161290882;zrJilhzN;1706095049707872896;-3196637513712921443;840406118;4;bV8s;5;64917;1;54002
57;47;546;0;331;TCSALLOU;0;0;617;;;K2CDWTCSALLOU;ETFP;DSS_CDW_test;7;7;7;11773808196081417067;LG;J0df4zZIrnByZSOZVQA3ZNxQrO7DPfCKnCt128jz9Whke4KYRjUvIccBXitL29Xf9ol2dS;LOJ;3263351655;0;1338195933;7;14821125045614625326;3tWoEWHO;1706095049707939594;5132392932901715317;993224417;14;hwsE;1;38364;217;35473
57;47;546;0;331;TCSALLOU;0;0;618;;;K2CDWTCSALLOU;MTAH;DSS_CDW_test;7;7;7;16917003236363965301;Qk;jwDNjsVITWihoSQqmivXXAnC8XGisn3KeMwqbWGV5vy1gCn4tkRz1RXco3n3Pihz0Z5GI4;nlk;235036440;1;1142496033;7;18310985491717566884;5sK1lFEe;1706095049708007868;-789279576518787202;136283212;8;psJV;4;37222;233;7916
57;47;546;0;331;TCSALLOU;0;0;619;;;K2CDWTCSALLOU;EXGM;DSS_CDW_test;7;7;7;15700594716965461706;Iv;NI3ZigcstsvWfkMnISqY6spDplBqATUc42m8tSEaNn4D2ULsYNKsXX0GwIsrUg4h0yoBYk;pwc;1625613301;0;44528469;7;13691770938719663055;q2kkyFXV;1706095049708076780;2585379375819879682;971929135;6;koin;7;62070;231;12300
57;47;546;0;331;TCSALLOU;0;0;620;;;K2CDWTCSALLOU;SEDX;DSS_CDW_test;7;7;7;8072011793266017923;ad;gQfwK6xd82vEPEBO62Hr5lnI5lBo4dLQRbuoSIGk90H5pG2D4bw3mZpjQo1Yv253il8J8R;btU;1516155693;1;687048176;7;11762608445761191191;U8L73KML;1706095049708145970;2770463156447801713;376270613;15;bM7T;6;28691;172;19657
57;47;546;0;331;TCSALLOU;0;0;621;;;K2CDWTCSALLOU;EXGM;DSS_CDW_test;7;7;7;7233542875087553737;7l;py8nuKQ6UPmKROFkHUE2KnxZ4lm8sjk0YJhOL59oEYqEeMTRaDLcAzoeC2NvwvKPLotX24;3aZ;2929561295;1;3397842308;7;13975062198030271411;2P2b1DEQ;1706095049708216014;3027771748372467686;839729658;5;JyU3;4;13793;190;41814
57;47;546;0;331;TCSALLOU;0;0;622;;;K2CDWTCSALLOU;ETLX;DSS_CDW_test;7;7;7;16171179892472711912;kG;sI5F8aR0S6q9fBp73Qq8vMWpqiFCqpqRvY7k6nBPe7HwO2XYXMkvvm9k5D7fX8WxABCrbH;T49;342248851;0;3943033858;7;13487891142165960975;UW885ODL;1706095049708287275;6116341140942556839;587677045;99;AWW2;4;18774;45;46425
57;47;546;0;331;TCSALLOU;0;0;623;;;K2CDWTCSALLOU;ETLX;DSS_CDW_test;7;7;7;7098185481396160225;K4;lpS6vWoUolUmGWHXkKXlicPLknfumE7IxQayxm2dfpRvYdKxbr1X7YLTpuIk33RVcylHsr;ERY;2210663297;0;3262542249;7;15309467786182763312;9BL4RNcC;1706095049708359789;-6689008612125606251;366139516;11;oSq0;6;60654;127;10650
